"Source:","http://www.lib.berkeley.edu/MRC/2030svid.html"
"Source:","http://www.lib.berkeley.edu/MRC/2030svid.html"
"The Twenties and Thirties"
"â€¢149;Ѭ href=""#20s"">The 1920'sЖ","â€¢149;Ѭ href=""#30s"">The 1930'sЖ","See also the following MRC Videographies:"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/flappers.html"">Vamps, Flappers, and Shieks: Films of The Roaring 20's (separate page)Ж","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/newsreels.html"">NewsreelsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html#harlem"">Harlem RenaissanceЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/music.html"">Musical Traditions of the WorldЖ(for music documentaries and features about 20's and 30's music)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/UShistory.html"">US HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics and GovernmentЖ","The Twenties and Thirties"
"","The Twenties and Thirties"
"","The Twenties and Thirties","Documentary Works and Primary SourcesЖ"
"The 1920's","Documents the decade of social change and exuberance that followed World War I. Describes the conflict between those who accepted the complexity of the twentieth century and tried to cope with it, and those who rejected the new and tried to live according to past values. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3544"">DVD X3544Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"The Age of Ballyhoo","A television documentary about the Twenties told through the use of Hollywood movies, audio recordings and newsreels of the period. Narrated by Gloria Swanson. 1973. 52 min. Supplementary feature on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1996"">DVD X1996Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"Al ""Scarface"" Capone: The Original Gangster","A biography of Al Capone, the Italian-American gangster who led the Chicago crime syndicate involved in smuggling and bootlegging of liquor and other illegal activities during the Prohibition Era of the 1920s and 1930s. Features archival film footage with commentary by authors and historians. Supplementary short issued with: The Adventures of young Indiana Jones. 2007. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X235"">DVD X235Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"American Musical Theater: 1800's to 1960's: Pt3. The Twenties and the Thirties","Contents: Irene (1920). Sally. Shuffle along. Lady be good (1924). Bombo.Music Box revues (1921). Rose-Marie (1924). Student Prince. Showboat(1927). Of thee I sing (1931). Porgy and Bess (1935). Pins and needles(1937). Cradle will rock. Anything goes. Jumbo (1935). Babes in arms.
Presents a chronicle of the evolution of the American musical theater usingcontemporary visuals and original recordings. An engaging chronicle of themusical stage, it covers the minstrel and variety shows of the 19th century,the growth of the theater of social significance in the 20's and 30's, continueddevelopments through the 1960's and the careers of major composers andproducers of the era. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4044"">Video/C 4044Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"American Visions: Streamlines and Breadlines.","Examines the mythic images of the 1920's and 30's as skyscrapers rise in New York and the rural heartland is idealized by Regionalists like Thomas Hart. Artists of the WPA celebrate the worker as hero, while Jacob Lawrence tells stories of black America, and ambitious New Deal projects like Hoover Dam project self-confidence in hard times. Also examines the work of Raymond Hood, Edward Hopper, Stuart Davis, and Grant Wood. Written and narrated by Robert Hughes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4780"">Video/C 4780Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"Baseball: Fourth Inning, 1920-1930, A National Heirloom.","As America roars through the 1920's, baseball grows popular worldwide. One big reason is the astounding play of Babe Ruth, which secures his legend forever and makes it ""A National Heirloom."" 117 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3606"">Video/C 3606Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"[Benchley, Robert] Robert Benchley and the Knights of the Algonquin","This special collection of rare short films pays homage to the great American satirist Robert Benchley and two other witty literati who shared his company at the Hotel Algonquin's legendary round table and personified the sophisticated literary scene of New York in the 1920's and 1930's. Contents: The witness / directed by Leslie Roush ; photographed by William Steiner (1941) -- The trouble with husbands / directed by Leslie Roush ; photographed by William Steiner (1940) -- The man's angle / directed by Leslie Roush ; photographed by William Steiner (1942)-- Mr. W's little game / directed by Lynn Shores (1934) -- The treasurer's report / directed by Thomas Chalmers (1928) -- Traffic regulations (1929) -- Sex life of a polyp (1928) -- Humorous flights / directed by Fred Fleck (1929) -- Crime control / produced and directed by Leslie Roush ; photographed by William Steiner. Robert Blauvelt (1941). 86 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:3224"">Video/C 999:3224Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"Coming of Age, 1924-1928 (American Diary Series)","Presents the history of the United States between 1924 and 1928 including the flapper era, the boom times after the war which brought peace, prosperity and Prohibition. Examines ""Silent Cal"" Coolidge as president, Lon Chaney's ""Phantom of the Opera,"" the release of the first talking motion picture, Lindbergh's flight from New York to Paris, Al Capone in Federal Court and other events of the mid-twenties. 25 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7397"">Video/C 7397Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"Demon Rum.(The American Experience)","Portrays Detroit, Michigan before, during and after Prohibition. Includes segments about Henry Ford's influence and recollections of Detroitians. 58 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1543"">Video/C 1543Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
"The Devil's Music: 1920s Jazz(Culture shock; 2)","Second of a four part series exploring why particular works of art became controversial. Part 2: In its early years, jazz faced resistance across America. Like rap today, jazz music was considered a dangerous influence on young people and society. It featured improvisation and the liberating rhythms of the black American experience instead of classical music forms. As jazz's popularity grew, moralists fought to suppress the music before it finally won acceptance as an art form. Directed by Maria Agui Carter & Calvin A. Lindsay, Jr. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6909"">Video/C 6909Ж","The Twenties and Thirties","Documentary Works and Primary SourcesЖ","The 1920'sЖ"
