"Source:","http://www.lib.berkeley.edu/MRC/50svid.html"
"The Fifties"
"â€¢149;Ѭ href=""#documentaries"">Documentary Works and Primary SourcesЖ","â€¢149;Ѭ href=""#blacklist"">McCarthyism and BlacklistingЖ","â€¢149;Ѭ href=""#movies"">Movies Set In/About the 1950'sЖ","â€¢149;For Fifties TV programs SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">TVЖ","â€¢149;For Fifties TV commercials SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/commercials.html"">CommericalsЖ","â€¢149;For Fifties popular music SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/music.html"">Musical Traditions of the WorldЖ","â€¢149;For Cold War Propaganda and Atomic Hysteria/1950's Social and Cultural Propaganda SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","The Fifties"
"","See also the following MRC Videographies:","The Fifties"
"","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for documentaries on the Korean War, The Cold War, and the beginnings of the Vietnamese War)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">The 1960'sЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/africanamvid2.html"">African American/African Diaspora StudiesЖ (for videos on the Civil Rights Movement)","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/BeatGen.html"">The Beat GenerationЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US History, Politics, and GovernmentЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">TVЖ (for TV news and programs of the 1950s)","The Fifties"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50sbib.html"">Hollywood and the Movies in the 1950'sЖ","The Fifties"
"","Related web sites:","The Fifties"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/blacklist.html"">The Hollywood TenЖ (includes listing of films by blacklisted writers, directors, and producers)","â€¢149;Ѭ href=""http://www.english.upenn.edu/~afilreis/50s/home.html"">The Literature & Culture of the American 1950sЖ (Professor Al Filreis, University of Pennsylvania)","The Fifties"
"","The Fifties"
"45/85: America and the World Since World War II","v. 1. From the jubilation of V-J day to the shocking Rosenberg Trial, 1945-1952 -- v. 2. From the invention of television to the first steps in space, 1953-1960 -- v. 3. From the Kennedy era to the final U.S. withdrawal from Vietnam, 1961-1975 -- v. 4. From America's bicentennial celebration to the Geneva summit, 1976-1985. 213 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+963"">Video/C 963Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Adlai E. Stevenson, Welcoming and Acceptance Speeches at the Democratic National Convention, July 1952. Sound/C 918","Arguing the World.","Traces the lives of four of the 20th century's leading thinkers, Daniel Bell, Nathan Glazer, Irving Howe and Irving Kristol. They have been disagreeing with a vengeance since they studied together at New York City College in the 1930s. This film traces their early idealistic days, their controversial role in the McCarthy era, their battle with the New Left in the sixties, and their vastly differing political views today. A film by Joseph Dorman. 1997. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5541"">Video/C 5541Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"The Atomic CafeЖ","A documentary exploration of the United States government's propaganda promoting the atomic bomb. Relies on film clips of the 1940's and 1950's, including bits and pieces of propoganda films, newsreels, popular songs, and defense training films. Includes such issues as bomb shelters, atomic fallout and teaching children to ""duck and cover."" 1982. 92 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1133"">DVD 1133Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1025"">Video/C 1025Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?Atomic+Cafe,+The+(1982)"">Credits and other information from the Internet Movie DatabaseЖ","See Also: Ѭ href=""#PublicShelter"">Public ShelterЖ

","Related web sites:","The Fifties","Documentary Works and Primary SourcesЖ"
"Beefcake","A chronicle of the rise and fall of queer cult photographer Robert Henry Mizer, creator of the popular 1950's magazine Physique Pictorial. A blend of fact and fiction, Beefcake focuses on the 1950's world of male-physique magazines and Mizer's Athletic Model Guild. Written and directed by Thom Fitzgerald. 1999. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1867"">DVD 1867Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"The Best of See It Now","Contents: Korean War -- Desegregation in the South --Eisenhower/Taft election -- Quality of American schools -- Peacetime uses of atomic energy -- Discussion with the scentists who discovered nuclear energy -- Flying into the eye of Hurricane Edna -- Flooding of the Missouri River -- Conversation with Carl Sandburg -- Marian Anderson's goodwill tour of Asia -- Two American originals: Grandma Moses and Louis Armstrong. Edward R. Murrow; host, Mike Wallace.
Hosted by Mike Wallace, this documentary presents original footage from the CBS See It Now television series in which Edward R. Murrow documented the news of the previous week, inviting viewers to witness history and to meet the people directly shaping events. Originally broadcast in 1991. 90 min.   

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4010"">DVD 4010Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2923"">Video/C 2923Ж","Related web sites:","The Fifties","Documentary Works and Primary SourcesЖ"
"â€¢149; Ѭ href=""http://www.museum.tv/archives/etv/S/htmlS/seeitnow/seeitnow.htm"">See It Now website (Museum of Broadcast Communications)Ж","â€¢149; Ѭ href=""http://www.museum.tv/archives/etv/M/htmlM/murrowedwar/murrowedwar.htm"">Edward R. Murrow information (Museum of Broadcast Communications)Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"See also:","â€¢149;Ѭ href=""#murrow"">This is Edward R. MurrowЖ","â€¢149;Ѭ href=""#murrow2"">This ReporterЖ","The Fifties","Documentary Works and Primary SourcesЖ"
"Brave New World, The Cold War (People's Century)","Just over fifty years ago, Soviet and American troops met at the River Elbe and rejoiced at the defeat of Nazi Germany but their optimism was short lived. This film tracks the building tensions between these two superpowers, from the post-war world of the late 1940s through the early 1960s, as the hope for peace swiftly disintegrated into a ""cold"" war. Here eyewitnesses recall the meeting on the Elbe, the impact of Stalin, Churchill and Khrushchev, propaganda wars between the two nations, the Berlin blockade, the Hungarian uprising and the installation of the Berlin Wall. 1998. 56 min 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5552"">Video/C 5552Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Building the American Dream: Levittown, NY.","Discusses the history of the housing development Levittown, New York, the first suburb that was made up of tract houses which established the prototype for modern suburbia. Tracing the period from 1947 to the present day, the film includes rare archival footage and photos, an interview with William Levitt and the reminiscences of numerous Levittown residents. The film also shows how a policy of racial discrimination prevented blacks from buying the homes and traces the subsequent collapse of Levitt's construction empire. c1994. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6289"">Video/C 6289Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Call It Home.Ж","A pictorial history of suburban development planned by developers, government agencies and savings and loan companies. Begins at the time of the Depression (1929-1940) and concludes with the 1960's. Includes garden cities and Levittowns and financial, real estate and building industries. Maps show racial segregation. Depicts the mutual influence of highways and urban sprawl. And ends with interior design and Special features: 17 rare film clips from advertising, industrial and government films. Over 2,800 archival photographs, advertisments, maps, plans, and documents tracing suburban history from 1934 to 1960. Archival audio track with historical radio programs and additional film soundtracks. 24-page booklet with chapter index, full bibliography, image log with notes, and graphic study of comparative suburban morphology. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+153"">Video/D 153Ж","The Fifties","Documentary Works and Primary SourcesЖ"
