"Source:","http://www.lib.berkeley.edu/MRC/FSM.html"
"
The Free Speech Movement


"
"â€¢149; Sound Recordings: See separate listings for:

â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/FSM/pacificafsm.html"">UC Berkeley Social Activism Sound Recording ProjectЖ

","The Free Speech Movement"
"","See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">The 1950'sЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">The 1960'sЖ","The Free Speech Movement"
"","Related web sites:","â€¢149; Ѭ href=""http://www.fsm-a.org/"">Free Speech Movement ArchivesЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/BANC/FSM"">Bancroft Library Free Speech Movement ProjectЖ","â€¢149;Ѭ href=""http://www.calisphere.universityofcalifornia.edu/themed_collections/subtopic6b.html"">FSM photosЖ (via Calisphere)","The Free Speech Movement"
"","The Free Speech Movement"
"","The Free Speech Movement"
"Academic Freedom and Berkeley.","Presenter William F. Buckley Jr.; guest, Harold Taylor. Harold Taylor, former President of Sarah Lawrence College, and William F. Buckley discuss the effects of the Free Speech Movement and associated radicalisms on breaking down academic discipline at Berkeley and which views, such as racism and Communism, might and which might not, under the tenets of academic freedom, disqualify a scholar from being hired by a university. Originally taped as an episode of the television program Firing Line on January 16, 1967. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2669"">DVD X2669Ж","The Free Speech Movement"
"Berkeley in the Sixties.","Contents: Pt. 1 Confronting the university: the Free Speech Movement-- pt. 2. Confronting America: the anti-war movement (32 min.) -- pt. 3. Confronting history: the counter-culture movement(45 min.). Through interviews with participants and archival footage, presents a history of Berkeley, California in the 1960s. A film by Mark Kitechell. 1990. 117 min.   
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx/d1460.asx"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1460"">DVD 1460Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1761"">Video/C 1761Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/afamdocbib.html#sixties"">See separate bibliography of reviews and articles about this filmЖ
","The Free Speech Movement"
"[Work in Progress] Berkeley in the Sixties.","Newsreel clips of the Free Speech Movement and demonstrations, anti-draft demonstrations against the Vietnam War, and riots during the People's Park controversy at the University of California, Berkeley in the 1960s. Interviews with Mario Savio, Jack Weinberg, Jackie Goldberg, John Gage, Susan Griffin, Barbara Arnold (Jentri), Bobby Seale, Frank Bardacke. Contents: Free Speech Movement, Fall 1964 (7 min.) -- Stop the draft movement, October 1967 (7 min.) -- Peoples' Park, May 1969 (7 min.). Shown in connection with the opening of the Free Speech Movement Cafe, Moffitt Library, University of California, Berkeley on February 3, 2000. 21 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6838"">Video/C 6838Ж","The Free Speech Movement"
"Berkeley in the 90's: What Happened to Student Activism?","A film by Jason Leal and Tom Pollock. Berkeley in the 90's interviews currently enrolled students at UCB concerning why the present generation does not engage in political activism as was done in the 1960's. Includes interviews with now middle-aged Free Speech Movement activists. Produced by students enrolled in Documentary Film (Film 28B) at the University of California, Berkeley. Instructor: B. Ruby Rich. 1993. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3277"">Video/C 3277Ж","The Free Speech Movement"
