"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149; Ѭ href=""#gaydocu"">Misc. GLBT TopicsЖ","â€¢149; Ѭ href=""#marriage"">GLBT Families and MarriageЖ","â€¢149; Ѭ href=""#color"">GLBT People of ColorЖ","â€¢149; Ѭ href=""#outside"">GLBT People Outside the USЖ","â€¢149; Ѭ href=""#homophobia"">Homophobia/Violence Against GLBT PeopleЖ","â€¢149; Ѭ href=""#intersexual"">Transexuality, Intersexuality, and Gender MutabilityЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"","See also:","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/GayVid2.html#gaymovies"">Gays/Lesbians in Motion PicturesЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/medhealth.html#disease"">Medical Sciences and TechnologyЖ (for works about international AIDS epidemic)","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pacificalgbt/pacificalgbt2.html#gaymovies"">LGBT HistoryЖ (Berkeley/Pacifica Social Activism Collection)","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Documentaries and Related WorksЖ","Absolutely Positive.","Men and women who are HIV positive talk about how afraid they are of getting AIDS, how they handle the disease, and how it affects their lives. Directed by Peter Adair. 1991. 87 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5436"">DVD 5436Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2323"">Video/C 2323Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;International Documentary Association","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#positive"">See separate bibliography of reviews and articles about this filmЖ
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"After Stonewall: From the Riots to the Millennium","In 1969 the police raided the Stonewall Inn, a gay bar in New York City's Greenwich Village, leading to three nights of rioting by the city's gay community. This documentary chronicles the history of lesbian and gay life and the Gay Liberation Movement from the riots at Stonewall to the end of the century. Captures the hard work, struggles, tragic defeats and exciting victories experienced since then. It explores how AIDS changed the direction of the movement. Special features: Interview with director John Scagliotti; Dorothy Allison & Jewelle Gomez on Vito Russo; Armistead Maupin on PBS and the Christian Right; Barney Frank on Post-Stonewallian stories of travel; Jewelle Gomez on poetry as a galvanizing force; Dorothy Allison on making an alternative family; trailer gallery. Produced and written by John Scagliotti. 1999. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5662"">DVD X5662Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Aggressives","Features intimate interviews with 6 transgendered lesbians (5 African American, 1 Asian) living in New York City who define themselves as ""aggressives."" They exhibit masculine appearances and behaviors, but do not aspire to be men. Shows their daily lives and their participation in the underground lesbian ""ball"" scene, where cross-dressers compete for trophies. Directed and produced by Daniel Peddle. 2005. 73 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6805"">DVD X6805Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"AIDS Quarterly.","58 min. each. Spring 1989: Stopping AIDS stopping drugs -- The art of medicine.  Fall 1989: AIDS and the second sex -- What is a family -- A question of civil rights.  Winter 1989: The education of Admiral Watkins -- AIDS update -- A death in the family.  Winter 1990: The Trial of Compound Q -- Money and morals. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2337"">Video/C 2337Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2338"">Video/C 2338Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2336"">Video/C 2336Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2239"">Video/C 2239Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"A.I.D.S.C.R.E.A.M.","AIDS has become a convenient excuse to desexualize gay men and thereby destroy gay liberation. This experimentally processed film expresses Queer anger and rage at the no-win constructs of straight culture's refusal to accept the political impact of the disease on gay identity.c1990. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2964"">Video/C 2964Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Akermania, Volume One.","Early films by director Chantal Akerman exploring real time, self-definition and sexual identities. 1992. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:980"">Video/C 999:980Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"All God's Children.","A look at the Black Church's embracement of African American lesbians and gay men as dedicated members of its spiritual family with commentary by prominent political and religious leaders in the Black community. c1996.26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6200"">Video/C 6200Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Anatomy of Desire.","Looks at the history of scientific research on the question of sexual orientation and how this research has affected lesbian and gay rights. Utilizes interviews with historians, psychiatrists and writers blended with rare archival footage to illuminate the growing debate on the origins of sexual preference. 1995. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5078"">Video/C 5078Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"And the March Continues! (Y sigue la marcha andando!)","A film by Guadalupe Olvera San Miguel. Combines documentary and narrative forms to present a history of the lesbian movement in Mexico from its orgins to the present. Interviews with Mexican lesbians and movement leaders present impressions of daily life in their country. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. 1997. 30 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7275"">Video/C 7275Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Anyone and Everyone","Connected by having a son or daughter who is gay, parents across the country discuss their experiences. Individuals from such diverse origins as Japanese, Bolivian, and Cherokee; as well as religions such as Mormon, Catholic, Hindus and others share intimate accounts of how their children revealed that they're homosexual and discuss their responses. The parents also talk about struggling with the pain their sons and daughters have dealt with, such as not being accepted by relatives and/or friends and being ostracized by religious congregations. Directed by Susan Polis Schutz. c2007. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4056"">DVD X4056Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Army of Lovers or the Revolt of the Perverts (Armee der Liebenden Oder Aufstand der Perversen)","In 1978, German gay rights activist filmmaker Rosa von Praunheim documented segments of the American gay liberation movement at the celebration of a San Francisco gay rights march. Among the individuals interviewed are a gay Nazi, porn-film stars, author John Rechy who defends gay male promiscuity, and members of the Gay Activists Alliance, the National Gay Task Force, the Mattachine Society, and the founders of the Daughters of Bilitis. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9518"">Video/C 9518Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ballot Measure 9.","Documentary investigation of events surrounding the 1992 campaign for Oregon's anti-gay ballot initiative. Videocassette release of a film originally produced bythe Oregon Tape Project in 1994. A film by Heather MacDonald. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4325"">Video/C 4325Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"See also:","â€¢149; Ѭ href=""#lavender"">Interview with Heather MacDonald in Lavender Limelight.Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#ballot"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Beefcake","A chronicle of the rise and fall of queer cult photographer Robert Henry Mizer, creator of the popular 1950's magazine Physique Pictorial. A blend of fact and fiction, Beefcake focuses on the 1950's world of male-physique magazines and Mizer's Athletic Model Guild. Written and directed by Thom Fitzgerald. 1999. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1867"">DVD 1867Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"ЖBefore Stonewall: The Making of a Gay and Lesbian Community.","A social history of homosexuality in America from the 1920s to 1969, showing how this group has moved from a secret shame to the status of a publicly viable minority group. Tells how a group consciousness coalesced after the 1969 police raid on Stonewall Inn, a gay bar in New York City, and the three-day riot that followed gained them national publicity and the birth of the gay movement. Director, Greta Schiller. 1985. 87 min.    [See Also: Ѭ href=""#archives"">Stonewall ArchivesЖ]","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2766"">DVD 2766Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1461"">Video/C 1461Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149; Nichols, Peter M. ""Tracing 30 Years Of Gay Life,"" New York Times, Jun 4, 1999; Late Edition (East Coast); pg. E.1:25","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Being Gay: Coming Out in the 21st Century","This program presents the accounts and stories of people who have recently taken the step of coming out. Interviewees and experts discuss the benefits of this transition by examining the six stages of coming to terms with one's sexual identity. Written, produced & edited by Charlotte Angel and Kyle Boyd. 2003. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2412"">DVD X2412Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"[Benning, Sadie] The Videos of Sadie Benning.","Eighteen-years-old Sadie Benning recorded thoughts and images of her nascent lesbianism with the help of a Fisher Price Pixelvision camera. 1989-1992. Contents: [v.1] A new year.-- Living inside. -- Me and Rubyfruit. -- If every girl had a diary. -- Jollies. [v.2] A place called Lovely. -- It wasn't love. -- Girl power. 86 min.  :1-2","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2105"">DVD X2105Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2749"">Video/C 2749Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/GayBib.html#benning"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
