"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Related web sites:","â€¢149; Ѭ href=""http://www.umiacs.umd.edu/users/sawweb/sawnet/cinema.html"">South Asian Women (SAWNET) Movie PageЖ","â€¢149;Ѭ href=""gopher://gopher.cc.columbia.edu:71/11/clioplus/scholarly/SouthAsia/Bibinfo/VID"">Columbia University Libraries listing of South Asian video catalogsЖ","â€¢149;Ѭ href=""http://www.library.wisc.edu/databases/SEAvideo/"">University of Wisconsin South/Southeast Asia Video ArchiveЖ","â€¢149;Ѭ href=""http://www.hotbot.com/director.asp?target=http://www.lib.virginia.edu/area-studies/SouthAsia/SAvideos/saVideos.html&id=11&userid=04DwYMoOhlaG&query=MT=South+Asian+videos&base=10&RD=RG"">South Asian Videos, University of Virginia LibraryЖ"
""
"+ve Living","In India over 2 million women are infected with HIV. For the majority of them, the only risk they were ever exposed to was marriage. This documentary follows 4 HIV infected women in rural Andhra Pradesh, who have battled with not just the virus but also the trauma, stigma and the ostracization that comes with it. 2007. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9669"">DVD 9669Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"1-800-INDIAЖ","Over the past decade, India has emerged as the leader in the global market for white-collar ""outsourcing"" jobs-- a notable component of India's rapid economic growth. This documentary explores the experience of young Indian men and women who have been recruited into these new jobs requiring long hours, night shifts, and westernized work habits. Also reveals the human and cultural effect on Indian family life, the evolving cities and towns, and on the aspirations and daily lives of young Indians, especially women, entering the work force. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж Originally broadcast on PBS television program Wide angle on Sept. 13, 2005. 57 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6570"">DVD 6570Ж","See also:","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Ѭ href=""#bombay"">Bombay CallingЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#kingcalls"">King of CallsЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#calcutta"">Calcutta CallingЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8682"">DVD 8682Ж","â€¢149;Ѭ href=""#nalini"">Nalini by Day, Nancy by NightЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5383"">DVD 5383Ж","â€¢149;Ѭ href=""#diverted"">Diverted to DelhiЖ ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1893"">DVD X1893Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9721"">Video/C 9721Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Reviews and articles:","â€¢149;Hudson, Dale. ""Undesirable Bodies and Desirable Labor: Documenting the Globalization and Digitization of Transnational American Dreams in Indian Call Centers."" Cinema Journal; Fall2009, Vol. 49 Issue 1, p82-102, 21p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=47852159&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Absorption in Brahman.","A short history of India is followed by the story of the development of Hinduism in that country. Includes a discussion of the Hindu religion and beliefs. 25 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2466"">Video/C 2466Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Acting Like a Thief: A Documentary","This story of a Chhara tribal theatre group in Ahmedabad, India. The members of the Budhan Theatre are tribal rebels who were notified as ""born criminals"" by the British in 1871, and imprisoned in a labor camp in Ahmedabad. After Indian independence, they were de-notified, but the stigma of being ""born criminal"" follows them to this day. This documentary reveals how theatre has transformed the lives of adults and children within the community. Directed and produced by P. Kerim Friedman & Shashwati Talukdar. 2005. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6990"">DVD 6990Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.der.org/films/acting-like-a-thief.html"">Description from Documentary Educational Resources catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Adhi Adhuri Jhooti Sacchai: 4 Skits on Communal Stereotypes.","Puppets and short skits examine stereotypes of Hindu, Muslim and Christian communities. Accompanied by printed study guide in English: ""Partly true and wholly false: a study guide on communal stereotypes."" New Delhi, Indian Social Institute, 1986. 26 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4726"">Video/C 4726Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Aftermath of the Cyclone in Kutch","Explores the impact of the cyclone which struck the Kutch district of Gujurat in May 1999, killing hundreds and destroying nearly 50,000 cattle and 9000 homes. The film discusses relief efforts and the need to mobilize support. 1999. 15 min. PAL format ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9320"">Video/C 9320Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Aftershocks: The Rough Guide to Democracy","Investigates how the Gujarat Mineral Development Corporation (GMDC) used the Kutch earthquake of Jan. 26, 2001 to disposess the local villagers of their lignite rich land under the guise of giving aid. The film shows how the corporation worked with and through the state, an example of the corporatization of democracy in India. A film by Rakesh Sharma. 2002. 66 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9680"">Video/C 9680Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ahmedabad: Life of a City in India.","Traces the history of the city as Hindu rulers were replaced by Muslim rulers, who, in turn, were replaced by British colonial powers. The film shows Ahmedabad today as a modern industrial and administrative center. 1990. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3379"">Video/C 3379Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ajit (The Unconquerable).","Film is a close-up view of an eight-year-old boy who works as a domestic in a middle class Calcutta household. He is shown at his daily tasks--sweeping, cleaning, laundry, and caring for his employer's children. There is no time for school but when he is interviewed, Ajit says he is fortunate for in this household he is given ample food as wages, while in the countryside he often went hungry. 1996. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4915"">Video/C 4915Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ajuba Dance and Drama Co.","Introduces a troupe of popular entertainers in North India. Performing in private compounds, factory yards, and mango groves, they stage a type of theatre known as Nautanki, an amalgam of music, dance, comedy routines, and drama. Nautanki draws as easily from the arts of royal courts as it does from the latest Bombay feature films. 1990. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3380"">Video/C 3380Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Altar of Fire","Documents the last performance of the Agnicayana or Atriatra, a Vedic sacrificial ritual, enacted by the Nambudiri Brahmins in Panjal, a village in Kerala, southwestern India in April 1975. Explains the origin of the Vedic sacred literature, discusses how the oral tradition is perpetuated, shows construction of sacrificial altars and sheds, and introduces the principle participants in the ritual. Produced by Robert Gardner and Frits Staal. 1976. 45 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5496"">DVD 5496Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8152"">Video/C 8152Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Amrit Beeja: The Eternal Seed","Rural peasant women in India struggle to maintain traditional farming practices in defiance of the spread of technologically-based cultivation in this documentary exploring the changing meanings of healthy land use. 1996. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4265"">DVD 4265Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Amrita Imroz","A presentation on the life and works of the Hindi and Panjabi authoress, Amrita Pritam, b. 1919, including an interview of the writer by Imaroza. 1998. 60 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6960"">Video/C 6960Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ancient Futures: Learning From Ladakh.","Describes traditional Ladakhi culture and the change brought by tourism and development. Also examines the disturbing direction of Western society and some thoughts on the lessons that the West can learn from traditional cultures. 1993. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4383"">Video/C 4383Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ancient India.","This program examines the religious tension between Hinduism, Buddhism, and Islam, and the historical events that shaped the great Indian civilizations from the Morian Empire through the Mogul Empire, providing insight into a culture that remains vibrant and diverse today. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1999. 47 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7032"">Video/C 7032Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"--And Nomads Took Root","Documentary on the struggle of Nomads from Rajasthan for settlement and social rights. 2006. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9333"">DVD 9333Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Animating the Inanimate: Puppet Theatre in Pakistan","Covers the history of the development of puppetry in Pakistan. Includes marionette and puppet performances and extensive interviews with puppeteers, including backstage footage of how they create their puppets and manipulate them during performances. 2006. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9800"">DVD 9800Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Another Way of Learning; There's More to School.","Two documentaries by the voluntary group Eklavya, presenting their philosophy and efforts to provide more effective and meaningful educational opportunities for rural children in India. 50 min. [199-?]. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9306"">Video/C 9306Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Antarnaad (Inner Voice).","The film is about the true life experiences of two villages and the trasformation that occured through Swadhyaya activity. 1992. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3703"">Video/C 3703Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Arranged Marriages","Explores attitudes among educated Indian couples, asking them how they met and married their spouses. In India marriages are a family matter often arranged to improve the social standing of the family. This documentary makes a visit to a marriage bureau, wherearriages earnest parents look over the qualifications of potential mates for their children; education, caste, religion, profession and physical attribues all figure in the equation. 2001. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9260"">Video/C 9260Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.filmakers.com/indivs/ArrangedMarriages.htm"">Description from Filmakers Library catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Art of Forgetting","Documentary based on the civil war and ethnic conflict between Sinhalese and Tamils in Sri Lanka. Covers the past thirty years of the war and assassinations in the North, East and South of Sri Lanka. The subject of the film is the impact and scale of human suffering for people caught in the clash between those demanding a motherland and those defending a motherland. A film by Lisa Kois. 2005. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8957"">DVD 8957Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
