"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/EuroVid.html"">Eastern and Western Europe videographyЖ"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html"">Bibliography of books and articles on Soviet and East European CinemaЖ"
"Ѭ href=""#top"">To the topЖ
","
Russia (Soviet Union)Ж



See also:
â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Movies.aspx"">Mosfilm Films OnlineЖ
","Russia (Soviet Union)Ж"
"4 (2005)","Directed by Ilya Khrjanovsky. Cast: Marina Vovchenko, Irina Vovchenko, Svetlana Vovchenko, Sergei Shnurov, Yury Laguta, Konstantin Murzenko, Alexei Khvostenko, Anatoly Adoskin. Originally banned in Russia, presents an apocalyptic journey through the dark heart of the new Russia. Two men and a woman happen to meet in a bar. Through their conversations, both the intriguing and banal details of their lives emerge. But is anyone really telling the truth? Topics are discussed from the meat market, to the president's drinking habit and even the Soviet cloning project. Following their late-night lies, they go their separate ways through a landscape filled with decaying meat, wild dogs, ravenous crones, cloned piglets, and modern industrial horrors. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X145"">DVD X145Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0445161/"">Credits and other information from the Internet Movie DatabaseЖ
"
"9th Company (9 rota) (Finland | Russia | Ukraine, 2005)","Directed by Fyodor Bondarchuk. Cast: Artur Smolyaninov, Alexei Chadov, Konstantin Kryukov, Ivan Kokorin, Ivan Kokorin, Artyom Mikhalkov, Mikhail Porechenkov ... [et al.]. Based on a true story of the 9th company during the Soviet invasion of Afghanistan in the 1980s. Young Soviet Army recruits are sent from boot camp directly into the war in Afghanistan. Real war is not like boot camp at all. This inexperienced company is sent to defend a difficult position, a task which may be beyond their capabilities. 140 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5015"">DVD X5015Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0417397/"">Credits and other information from the Internet Movie DatabaseЖ

"
"12 (Russia, 2007)","Directed by Nikita Mikhalkov. Cast: Sergey Makovetsky, Nikita Mikhalkov, Sergei Garmash, Valentin Gaft, Alexei Petrenko, Yuri Stoyanov, Sergey Gazarov, Mikhail Efremov, Alexei Gorbunov, Sergey Artsbashev, Victor Verzhbitsky, Roman Madyanov, Alexander Adarashian. Set in contemporary Moscow where 12 men must decide the fate of a young man accused of murdering his step-father. Consigned to a makeshift jury room, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1875"">DVD X1875Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0488478/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Lane, Anthony. ""12"" New Yorker, 3/16/2009, Vol. 85 Issue 5, p36-36 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=36975555&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Toumarkine, D. ""12."" Film Journal International v. 112 no. 3 (March 2009) p. 41 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fcafef41cd6dade1191aa2a9b47ed9bab7b894c6fb0654496ad&fmt=P%20Toumarkine,%20D.%2012.%20Film%20Journal%20International%20v.%20112%20no.%203%20(March%202009)%20p.%2041"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rapold, Nicolas. ""12"" Film Comment, Mar/Apr2009, Vol. 45 Issue 2, p73-73, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=37007895&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Smorodinska, Tatiana. ""Rule of law vs. 'Russian justice': Nikita Mikhalkov's 12."" Studies in Russian & Soviet Cinema, 2010, Vol. 4 Issue 2, p161-170, 10p Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fca8b74cd13f59cd9df1a3db98763ae15a60a85ac84262c217f&fmt=P%20Smorodinska,%20T.%20Rule%20of%20law%20vs.%20'Russian%20justice':%20Nikita%20Mikhalkov's%2012%20[Part%20of%20a%20special%20section:%20The%20theme%20of%20retribution%20in%20contemporary%20Russian%20cinema].%20Studies%20in%20Russian%20&%20Soviet%20Cinema%20v.%204%20no.%202%20(2010)%20p.%20161-70"">Full-text of this article / review is available:UC users onlyЖ




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ

"
"Aerograd (1935)","Directed by Alexander Dovzhenko. Set in a mythical Far Eastern Soviet city and air base, the film reflects Soviet anxieties about Japanese aggression. In the story Glushak, a Siberian hunter, kills his long-time friend who is exposed as a traitor to the U.S.S.R. Completion of this film was jeopardized by bureaucrats until Dovzhenko met with Stalin who insured the film's completion. In Russian with English subtitles. 89 min. 999:1089","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0026040/"">Credits and other information from the Internet Movie DatabaseЖ","Reviews and articles:

â€¢149; Kepley, Vance, Jr. ""Strike Him in the Eye: Dovzhenko's Aerograd and the Stalinist Terror."" Post Script: Essays in Film and the Humanities, vol. 2 no. 2. 1983 Winter. pp: 37-54.




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#dovzhenko"">Dovzhenko bibliographyЖ


"
"Alexander (Aleksandr) Nevsky (1938)","Directed by Sergei Eisenstein and Dmitri Vasilyev. Musical score, Sergei Prokofiev. Historical drama set in 1242 which deals with the defence of Russia by the prince, Alexander Nevsky, from invasion by Teutonic crusaders. Special features: Audio essay by film scholar David Bordwell ; Russell Merritt's multimedia essay on the Eisenstein-Prokofiev collaboration ; reconstruction of Eisenstein's unfinished film Bezhin Meadow by the Eisenstein Museum's Naum Kleiman, plus scholar Jay Leyda's photos and documents from the set ; drawings and production stills ; restoration demonstration ; new English subtitle translation. 108 min.  (Criterion); ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6653"">DVD 6653Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+192"">DVD 192Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:72"">vhs 999:72Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0029850/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=0159f2cc-99dc-416f-afd2-82f2b531805b"">View this video onlineЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#nevsky"">See separate bibliography of reviews and articles about this filmЖ
"
"Alexandra (2007)","Directed by Aleksandr Sokurov. Cast: Galina Vishnevskaia, Vasilii Shevtsov, Raisa Gichaeva, Evgenii Tkachuk, Andrei Bogdanov, Rustam Shakhgireev, Aleksei Neimyshev. In a desolate, sun-sorched corner of the world, an elderly woman has come to see her beloved grandson. He is a young officer stationed at a remote military outpost. With the enemy just beyond the compound, she wanders the barracks, observing the routines of military life, before making a sudden trip into the outlying countryside. Special features: Press conference with director Aleksandr Sokurov, actress Galina Vishnevskaia and composer/producer Andrei( Sigle (60 min.); ""Patience labour:"" a short film by Aleksandr Sokurov (10 min.); theatrical trailer; essay by film critic David Shengold. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2688"">DVD X2688Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1034427/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#alexandra"">See separate bibliography of reviews and articles about this filmЖ
"
"Andrei Rublev (1966)","Directed by Andrei Tarkovsky. Story of the famed 15th century icon painter who survives the cruelties of medieval Russia to create works of art. ; :1&2","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+336"">DVD 336Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:865"">VHS 999:865Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Andrei+Rublev+(1969)"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=f84c642e-5824-4247-be97-d83a54056006"">View this video onlineЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#rublev"">See separate bibliography of reviews and articles about this filmЖ"
