"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"","U.S. History"
"The A.C.L.U.: A History","This program, with commentary from Oliver North, Dave Barry, and Molly Ivins, traces the tumultuous history of the ACLU from its inception by founder Roger Baldwin, through dozens of legal challenges over the past century, including the Scopes trial, the 1930s labor strikes, Japanese internment, the HUAC hearings and blacklisting, the Vietnam war crimes trials, the American Nazi Party's bid to march in Skokie, Illinois, and others. Baldwin's story is interwoven throughout. A film by Lawrence R. Hott and Diane Garey. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1998. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6495"">DVD 6495Ж","U.S. History"
"America.","With Alistair Cooke. 52 min. each installment","â€¢149;The New Found Land.Explains how the white man got to North America and what he was seeking. Describes the arrival of the Spanish, the French, and the British in North America. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1415"">Video/C 1415Ж","â€¢149;Home Away From Home. Describes how merchant adventurers and social dissenters poured in from Elizabethan England to settle America's east coast. Explains that regional character evolved as Puritans, Pilgrims, and Quakers struggled with the rocky North while a landed gentry prospered in the highly productive feudal South. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1416"">Video/C 1416Ж","â€¢149;Making a Revolution. Explains that the diverse colonies in America drew together in common complaints against England. Traces the tradition of turning to arms in the face of trouble, from Concord Bridge and the antique long reifles, to the modern National Rifle Association. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1417"">Video/C 1417Ж","â€¢149;Inventing a Nation.Discusses the writing of the Constitution and the secret Independence Hall debates which set precedence for modern politics. Visits Jefferson's Virginia home, giving insight into the man who created our Bill of rights, and follows the westward surge across the Appalachians which expanded the character of the new Republic. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1418"">Video/C 1418Ж","â€¢149;Gone West.Deals with the Louisiana Purchase, the Lewis and Clarke Expedition, the exploration of the distant reaches of the waterways, the forcing of Indian nations west of the Mississippi, and the gold rush. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1419"">Video/C 1419Ж","â€¢149;A Firebell in the Night.Discusses the causes and miseries of the Civil War and the racial wounds that still trouble the United States. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1420"">Video/C 1420Ж","â€¢149;Domesticating a Wilderness.Discusses the Mormons' establishment in Utah, the first transcontinental rail link, the settlement of the midlands by European immigrants, and the Indians' last desperate struggles which exploded in the Custer massacre and the Battle of Wounded Knee. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1421"">Video/C 1421Ж","â€¢149; Money on the Land.Deals with the turn-of-the-century industrialization of the United States. Discusses early American inventors whose newly discovered methods and resources were exploited by the Rockefellers, Carnegies, and other industrialists for business purposes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1422"">Video/C 1422Ж","â€¢149; The Huddled Masses.Visits ships' holds, Ellis Island, and the Lower East Side garment factory sweat shops in order to depict turn-of-the-century immigration. Uses old photographs of the poor immigrants in contrast with oil portraits of tycoons who became rich at their expense. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1423"">Video/C 1423Ж","â€¢149;The Promise fulfilled and the Promise Broken.Deals with the promise of unlimited prosperity after World War I, the boom of the 1920's, the Depression and the New Deal. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1424"">Video/C 1424Ж","â€¢149;The Arsenal. Deals with the American way of war from colonial Williamsburg to the modern sentimental traditions of the armed forces. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1425"">Video/C 1425Ж","â€¢149;The First Impact.Presents a record of Alistair Cooke's impressions of the people, places, institutions, and landscapes of America. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1426"">Video/C 1426Ж","â€¢149;The More Abundant Life. A potpourri of impressions of America: Hoover Dam from the confident 30's, neon Los Vegas in the glittering 79's, Los Angeles strangled with motor cars, Hawaii showing racial harmony amid pollution and overdevelopment. A summary of America's present status and prospects for the future. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1427"">Video/C 1427Ж","U.S. History"
"America at War. 1995. 45 min. each installment.","â€¢149; Our Troops Train for War. Two training films used to prepare the American soldier for the perils and dangers he faced when encountering the enemy. Baptism of fire: A drama designed to teach soldiers how to deal with their fears of going into battle for the first time. Jap Zero: An interesting film starring Ronald Reagan as a novice pilot trying to distinguish the Japanese Zero fighter plane from one of our own--with nearly disastrous results. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5701"">Video/C 5701Ж","â€¢149; Our Troops Under Fire. Four films containing graphic historical footage of land, air, and amphibious assaults on enemy strongholds. Cameramen at war: Documentary on the cameramen of the British military film units and the newsreel companies that documented battles of both World Wars. 957th day: Shows the Pacific Fifth Fleet engaged in combat action on the 957th day of WWII. Mission completed: A film about American bombers returning to the ship after a bombing run. Battle for the beaches: Documentary footage examining Allied machinery and methods used to attack the Axis powers on the beach fronts. Includes the Battle of Dunkirk and amphibious assaults on Sicily, Salerno, and Dieppe, France. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5702"">Video/C 5702Ж","â€¢149; Preparing for War. Contains an interesting, powerful look at various films produced to alert the American public about the looming threat of world war and to muster sentiment and support towards the effort. Hitler's ascent to power: Documents Hitler's chilling rise to power. Britain on guard: Shows how the British coped with German aerial attacks and the devastating VI rocket. All Hands: A British officer talks too much in a pub run by spies with disastrous results. Story of Corporal Jolley: A true first person account by an American soldier who survived a Japanese prison camp and the Bataan Death March. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5700"">Video/C 5700Ж","â€¢149; Show Business in War. Three films showing how Hollywood and the business community were involved in the war effort. War Bonds: Features Bette Davis selling war bonds. Hollywood Canteen: Dinah Shore takes the viewer on a tour of a typical war canteen where Hollywood stars mingled with the troops and special performances helpted lift morale. Strictly GI: Highlights the special radio show broadcast weekly for the enjoyment of troops worldwide. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5703"">Video/C 5703Ж","â€¢149;Victory. Victory focuses on the reaction of America to the end of the war. D-Day minus one: Presents the saga of the paratroopers who dropped into Europe behind enemy lines five hours before the D-Day invasion. Focus on 1945: Features the victory of Allied troops as they reclaim Europe, the liberation of POW camps, the trial of General Yamashita of Japan for high war crimes, and footage of a top ranking Nazi leader on trial at Nuremberg. Japan surrenders: Looks at the dropping of the atomic bomb on Hiroshima and Nagasaki, and Japan's unconditional surrender to General MacArthur. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5704"">Video/C 5704Ж","U.S. History"
"America in the '40s: A Sentimental Journey 1998. 3 segments, 57 min. each.","â€¢149;Part 1, On Borrowed Time. In this first segment the decade begins with optimism, but the attack on Pearl Harbor brings America into its second world war. Popular music and movies of the time are featured along with wartime footage, home movies, and original stories from Americans who lived through those momentous years. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5807"">Video/C 5807Ж","â€¢149;Part 2, War Stories. This second segment focuses on riveting battle footage as the war accelerates, while veterans recount poignant tales of frontline terror and bonds of friendship that survive today. Includes archival footage of the war, of performances by USO troops, and of war plant workers at home, plus popular songs of the era. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5808"">Video/C 5808Ж","â€¢149;Part 3, Coming Home. In this final segment join the crowds who celebrated the end of World War II, and watch as GIs adjust to civilian life, marriage, and babies. Then re-live America's introduction to the gadget that would change life forevermore: Television. Features archival footage and popular songs that helped define the era. 57 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5809"">Video/C 5809Ж","U.S. History"
"America and Lewis Hine","One of the most influential photographers in the world, Lewis Hine recorded the changing face of America in more than 10,000 images taken over 40 years. This documentary using historical photographs and footage, follows America's pioneer industrial photographer on his odyssey through the mines, mills, and factories of America in the first half of the twentieth century. An incredible collection of his photographs including many never seen before, presents the power of his work. c1996. 56 min. .","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8841"">Video/C 8841Ж","U.S. History"
"America 1900","A 4-part series, on two videotapes, examining the turn of the century pivotal year: 1900. This program chronicles the forces of change which ultimately shaped the coming century. 1998.
","â€¢149;Part 1: Spirit of the age (47 min.) -- Part 2: Change is in the air (27 min.). Parts one and two focus on technological innovations, the challenges faced by President McKinley, the advent of the Conservation Movement, early photojournalism, the War of Independence in the Philippines, the lives of immigrants, the Scofield Mine Disaster, and popular culture at the turn of the century. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5810"">Video/C 5810Ж","â€¢149;Part 3: Great civilized power (50 min.) -- Part 4: Anything seemed possible (42 min.). Part three and four examine the presidential campaign of Fall 1900, the 1900 Paris Exposition, the Boxer Rebellion in China, racism against Afro-Americans, the Galveston hurricane, labor unrest among coal miners resulting in the formation of the United Mine Workers Union, the developing music industry and popular culture at the turn of the century. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5811"">Video/C 5811Ж","U.S. History"
"America on the Road (A Walk Through the 20th Century with Bill Moyers).","A history of the automobile and its profound effects on American society. 1984. 60 min.  60 min.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+805"">Video/C 805Ж","U.S. History"
"The American Future: A History","After 9/11, after Katrina, Enron and Baghdad, the robustness of American optimism is struggling to reassert itself against the sobering reality of military frustration and domestic anxieties. This is an America grappling with an un-American sense of its own limits. Turning to fascinating moments in American history to understand the present, connecting legendary presences such as Thomas Jefferson, Henry Ford, and others with contemporary soldiers, businessmen, truckers and politicians looks at the United States, past and present, facing its moment of truth. Special features: Special introduction by Simon Schama filmed on Nov. 5, 2008, where he discusses why he chose to do this project, how the presidential election has inspired him and how America is once again reinventing itself; photo gallery. Produced and directed by Sam Hobkinson. 240 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1187"">DVD X1187Ж","U.S. History"
"The American Gangster","With vintage film and photographs, this documentary chronicles the birth of organized crime in the United States and the most infamous deeds of gangsters such as Bugsy Siegel, Al Capone, John Dillinger, Pretty Boy Floyd, and Lucky Luciano, from Prohibition to prostitution, gangland massacres to gambling empires. c2006. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5337"">DVD 5337Ж","U.S. History"
