"Source:","http://www.lib.berkeley.edu/MRC/Videoseries.html"
"
Area Studies
Videos in the Media Resources Center,
UC Berkeley Library

"
"","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"Africa .","Hosted by Basil Davidson. The story is unfolded on location all over Africa, showing life as it is today, plus archive film and dramatized reconstructions. Two programs per cassette, each an hour long. See Ѭ href=""http://www.lib.berkeley.edu/Catalogs/"">OskiCat or MELVYLЖ for individual episode information. -2490.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2487"">Video/C 2487Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"Africa: Search for Common Ground .","A series profiling formal efforts by various Sub-Saharan African countries to peacefully resolve contemporary conflicts. -5356.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5344"">Video/C 5344Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"The Africans (BBC, 1996).","Explores the history, culture, and politics of Africa. Includes discussions of the influences of Islam and the West. :1-9","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+945"">Video/C 945Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"Africans in America","A four part series portraying the struggles of the African people in America, from their arrival in the 1600s to the last days before the Civil War. 1998. 90 min. each installment -","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5838"">Video/C 5838Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5841"">Video/C 5841Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"Against All Odds. (Annenburg/CPB, 1989).","Unlock the mystries of statistics with this series on the real-world application and timeless equations of this essential subject. :1-22 - 2910:25-26. (56 min. ea.).","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2910"">Video/C 2910Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"Age of Uncertainty. (BBC, 1977).","Economist John Kenneth Galbraith discusses views and ideas on economics presented in his book of the same title. -489.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+447"">Video/C 447Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"AIDS Quarterly. (PBS, 1989).","With Peter Jennings.","See OskiCat or MELVYL for individual title information. -2339.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2336"">Video/C 2336Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
"America. (PBS, 1987).","Narrated by Alistair Cooke. -1427.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1415"">Video/C 1415Ж","Area Studies
Videos in the Media Resources Center,
UC Berkeley Library"
