"Source:","http://www.lib.berkeley.edu/MRC/asianamgen.html"
"

General and Miscellaneous Works

"
"Contents:","â€¢149; Ѭ href=""#video"">VideosЖ","â€¢149; Ѭ href=""#sound"">Sound RecordingsЖ","General and Miscellaneous Works"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnicImagesVid.html"">The Movies, Race, EthnicityЖ (for cinema works by Asian American filmmakers or films with images of Asian Americans","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/mixedracevid.html"">People of Mixed Race - Interracial Marriage/DatingЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/CJKVid.html"">China, Japan, Korea, & Pacific IslandsЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"">South and South East Asia and Oceania StudiesЖ (includes videos about South/South East Asians living in countries other than the US)","General and Miscellaneous Works"
"","General and Miscellaneous Works"
"","General and Miscellaneous Works"
"Abandoned: The Betrayal of America's Immigrants","Looks at the most recent wave of anti-immigrant sentiment in the United States and at the personal impact of new immigration laws, focusing on the severity of current detention and deportation policies. Legal residents find themselves torn away from their American families and sent to countries they barely know while political asylum seekers are kept for years in county jails that profit from their incarceration. Directed by David Belle and Nicholas Wrathall. 2000. 55 min.  
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/abandoned.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6747"">DVD 6747Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7695"">Video/C 7695Ж","General and Miscellaneous Works"
"Related web sites:","â€¢149; Ѭ href=""http://bullfrogfilms.com/catalog/aban.html"">Description from Bullfrog Films catalogЖ","General and Miscellaneous Works"
"Affirmative Action Under Fire: When is it Reverse Discrimination?","The account of a reverse discrimination court case over the firing in 1989 of a white teacher in a Piscataway, New Jersey high school because of her race. Shows how this court case became a national battle for affirmative action and how affirmative action preference advocates paid the white teacher $450,000 to drop her case in order to avoid a Supreme Court decision that would potentially invalidate all affirmative action programs in the United States. Originally produced for the ABC television program Nightline aired on November 11, 1997 under the title: Black teacher, white teacher, affirmative action under fire. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6874"">Video/C 6874Ж","General and Miscellaneous Works"
"Afterbirth.","Examination of stereotypes held by Asian Americans, which have in turn been internalized in varying degrees by Asians themselves. Drawing from a diverse set of characters, the film looks at the maturing and unpredictable relationships between inner identity and outer appearances which affect us all. 34 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1965"">Video/C 1965Ж","General and Miscellaneous Works"
"All Orientals Look the Same.","A brief exploration of the common misperception that all orientals look alike. 8 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3833"">Video/C 3833Ж","General and Miscellaneous Works"
