"Source:","http://www.lib.berkeley.edu/MRC/australianfilm.html"
"
Australian and New Zealand Cinema


Ж
"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/australianbib.html"">Australian/New Zealand Cinema BibliographyЖ
","Australian and New Zealand Cinema"
"Adventures of Priscilla, Queen of the Desert. (1994)","Directed by Stephan Elliott. Bernadette, a drag queen, relives her theatrical glory days with two young friends on one wild road trip through rural Australia. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2204"">DVD 2204Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0109045/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/GayBib.html#priscilla"">See separate bibliography of reviews and articles about this filmЖ","Australian and New Zealand Cinema"
"Age of Consent (Australia, 1969)","Directed by Michael Powell. Cast: James Mason, Helen Mirren, Jack MacGowran. Based on the life of controversial Australian artist Norman Lindsay. Lindsay is a jaded painter who heads Down Under looking for a way to revitalize his creative soul. His self-imposed exile is interrupted by Cora, an uninhibited young woman on her own journey of self-discovery. Based on the novel by Norman Lindsay. Special features: Director Martin Scorsese on Age of consent; commentary with historian Kent Jones; making Age of consent; Helen Mirren: a conversation with Cora; Down Under with Ron and Valerie Taylor. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1382"">DVD X1382Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0063991/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Craven, Allison; Mann, Chris. ""The Girl with the Bush Knife: Women, Adventure and the Tropics in Age of Consent and Nim’s Island"" Published Tue, 08 May 2012 04:32 Copyright 1995 to 2012, James Cook University. Ѭ href=""http://www.jcu.edu.au/etropic/ET9/CravenMann.htm"">Full-text of this article / review is available:Ж
â€¢149; Hoorn, Jeanette. ""Comedy and Eros: Powell's Australian films They're a Weird Mob and Age of Consent."" Screen, Spring2005, Vol. 46 Issue 1, p73-84, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=16720510&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Australian and New Zealand Cinema"
"Alexandra's Project (2003)","Directed by Rolf de Heer. Cast: Gary Sweet, Helen Buday, Bodgan Koca. Alexandra's project: It's Steve's birthday, and things can't seem to get better. After receiving a much awaited promotion, Steve returns home expecting to find his wife Alexandra and his two children waiting to surprise him. Instead, he discovers an abandoned house and a mysterious video tape that he is forced to watch. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6311"">DVD 6311Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0338706/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Aoun, Steven. ""Alexandra's Project"" Metro, Autumn2004, Issue 140, p174-175, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=12875878&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Duncanson, Ian. ""Identities in the Colony and the Family: Tragedies of Ascription and Transgression in Two Australian Films."" Social Identities, Nov2007, Vol. 13 Issue 6, p697-713, 17p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=27528819&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Hoskin, Dave. ""Entering Thriller Country Rolf De Heer's 'Alexandra's Project'."" Metro, Autumn2003, Issue 136, p20, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9955585&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Australian and New Zealand Cinema"
"Angel at My Table (K | Australia | New Zealand | USA, 1990)","Directed by Jane Campion. Cast:Kerry Fox, Alexia Keogh, Karen Fergusson, Iris Churn, Kevin J. Wilson. A dramatization of the true-life story of Janet Frame, New Zealand's most distinguished author. The film follows Frame along her inspiring journey, from a poverty-stricken childhood to a misdiagnosis of schizophrenia and electroshock therapy to, finally, literary fame. Based on the autobiographies of Janet Frame (Main (Gardner) Stacks PR9639.3.F7 Z475 1984). Special features: Audio commentary featuring Jane Campion, Stuart Dryburgh and Kerry Fox; a documentary about the making; theatrical trailer; ""My Say"", an audio interview with Janet Frame from 1983; deleted scenes; stills gallery; a new essay by film critic Amy Taubin and reprinted excerpts from Frame's autobiography. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4068"">DVD X4068Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0099040/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Venice Film Festival - Grand Special Jury Prize; Elvira Notari Prize; Filmcritica ""Bastone Bianco"" Award; Little Golden Lion; OCIC Award
â€¢149;Toronto International Film Festival - International Critics Award (FIPRESCI)


Ѭ href=""http://www.lib.berkeley.edu/MRC/campion.html#angel"">See separate bibliography of reviews and articles about this filmЖ
","Australian and New Zealand Cinema"
"BabaKiueria (Australia, 1986)","Directed by Don Featherstone. Cast: Michelle Torres, Bob Maza, Kevin Smith, Cecily Polson, Kelan Angel, Marguerita Haynes. A satire where the roles of Blacks and whites in Australia have been reversed. A fleet of black settlers arrives to colonize an area inhabited by white natives. A black reporter does an investigation into white native customs and white political issues. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4416"">DVD X4416Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0166032/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Weaver-Hightower, Rebecca. ""Revising the Vanquished: Indigenous Perspectives on Colonial Encounters."" Journal for Early Modern Cultural Studies Fall/Winter 2006, Vol. 6 Issue 2, p84-102, 19p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=brb&AN=509788072&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Australian and New Zealand Cinema"
"Bad Boy Bubby(Australia | Italy, 1993)","Directed by Rolf de Heer. Cast: Nicholas Hope, Claire Benito, Ralph Cotterill, Carmel Johnson. Bubby is a demented man-child kept locked his entire life in a squalid apartment by his depraved mother. But when Bubby - who can only communicate by mimicking what others say and do - escapes into the outside, he soon discovers the wonders of sex, crime, rock & roll and pizza. Will this 'mad bastard' be destroyed by the realities of our cruel world, or does a higher calling ultimately await him in the most unlikely place of all? Special features: ""Christ kid, you're a weirdo"", interview with director Rolf de Heer; ""Being Bubby"", interview with star Nicholas Hope; 'Confessor caressor"", short film starring Nicholas Hope; theatrical trailer; poster & still gallery. 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4611"">DVD X4611Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0106341/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Ellis, Katie. ""Disability in Rolf de Heer's Early Films."" Metro, Jun2011, Issue 169, p106-110, 5p, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=63892205&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Hickey-Moody, Anna; Iocco, Melissa. ""Sonic Affect(s)"" Metro, Autumn2004, Issue 140, p78-81, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=12876031&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Iocco, Melissa; Hickey-Moody, Anna. ""'Christ Kid, You're a Weirdo': Aural Construction of Subjectivity in Bad Boy Bubby."" In: Reel tracks : Australian feature film music and cultural identities / edited by Rebecca Coyle. Eastleigh, UK : John Libbey Pub. ; Bloomington : Distributed in North America by Indiana University Press, c2005. (Main (Gardner) Stacks; Music ML2075 .R44 2005)
â€¢149;Jubis, Oscar. ""Bad Boy Bubby"" Film International, 2010, Vol. 8 Issue 4, p71-73, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=aft&AN=505298842&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kemp, Philip. ""Bad Boy Bubby"" Sight & Sound, November 1994, Vol. 4, p39-40, 2p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00088884"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Starrs, D. Bruno ""If We Stretch Our Imaginations': The Monstrous-Feminine Mother in Rolf de Heer's Bad Boy Bubby (1993) and Alexandra's Project (2003)."" Scope: An Online Journal of Film Studies, vol. 10, 2008 Feb Ѭ href=""http://eprints.qut.edu.au/8739/1/8739.pdf"">Full-text of this article / review is available:Ж

","Australian and New Zealand Cinema"
"BeDevil(Australia, 1993)","Directed by Tracey Moffat. Three short films from Australia concerning spirits, ghosts and unexplained happenings. Mr. Chuck concerns an island community that still feels the malevolent presence of an American GI who died in the swamps nearby. Choo choo choo choo tells the story of a family who is haunted by invisible trains which run on the tracks next to their home. The final story ""Lovin' the spin I'm in"" tells of a woman's sense of loss when her son and his lover leave their community to escape opposition to their marriage. The couple dies, but as a young boy discovers, their spirits will never find peace. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3752"">vhs 999:3752Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0106373/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Baron, Cynthia. ""Films by Tracy Moffatt: Reclaiming First Australians' rights, celebrating women's rites."" Women's Studies Quarterly. New York: Spring 2002. Vol. 30, Iss. 1/2; p. 151 (27 pages)
Ѭ href=""http://proquest.umi.com/pqdweb?did=182283851&sid=1&Fmt=4&clientId=1566&RQT=309&VName=PQD"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Mimura, Glen Masato. ""Black memories: Allegorizing the colonial encounter in Tracey Moffatt's beDevil (1993)."" Quarterly Review of Film and Video. Apr-Jun 2003. Vol. 20, Iss. 2; p. 111
â€¢149;Senzani, Alessadra. ""Dreaming Back: Tracey Moffatt's Bedeviling Films."" Post Script, Fall2007, Vol. 27 Issue 1, p50-71, 22p, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=iyh&AN=31973521&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Summerhayes, Catherine. ""Haunting Secrets: Tracey Moffatt's ""beDevil""."" Film Quarterly, No. 4, Summer, 2004, pp. 1-72 Ѭ href=""http://www.jstor.org/page/termsConfirm.jsp?redirectUri=/stable/pdfplus/3697261.pdf"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Turcotte, Gerry. ""Spectrality in Indigenous Women's Cinema: Tracey Moffatt and Beck Cole."" Journal of Commonwealth Literature. St. Giles: 2008. Vol. 43, Iss. 1; pg. 7

","Australian and New Zealand Cinema"
"Black SheepЖ (New Zealand, 2006)","Directed by Jonathan King. Cast: Nathan Meister, Danielle Mason, Peter Feeney, Tammy Davis, Glenis Levestam. An experiment in genetic engineering turns harmless sheep into blood-thirsty killers on a New Zealand farm. After a 15-year absence, Henry returns to his farm to discover that his brother Angus has been performing genetic experiments on the sheep. Unfortunately for both the brothers and the rest of the humble farmers who make their living off of the land, these experiments have produced a strain of sheep that crave human flesh and will stop at nothing to satisfy their diabolical hunger. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X837"">DVD X837Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0779982/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Cameron, Allan. ""The Locals and the global: transnational currents in contemporary New Zealand horror."" Studies in Australasian Cinema; 2010, Vol. 4 Issue 1, p55-72, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=aft&AN=505293381&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Howe, Janette. ""Baaaad to the Bone."" Metro, Autumn2007, Issue 152, p28-32, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=25258476&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Australian and New Zealand Cinema"
"Breaker Morant (Australia, 1979)","Directed by Bruce Beresford. Cast: Edward Woodward, Jack Thompson, John Waters, Bryan Brown. Following the brutal death of a British captain in the Boer War in South Africa in 1901, Lt. Harry Morant leads his unit in pursuit of the Boers, attacks their camp, and has a captive executed. Other executions and deaths lead to the arrest and trial of Morant and two other lieutenants in this dramatization based on true events. DVD special features: Documentary, Boer War ; Original 30-second radio spot. 102 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2236"">DVD X2236Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1951"">vhs 999:1951Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0080310"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Bryant, Hallman B. ""'Breaker' Morant In Fact, Fiction, and Film."" Literature Film Quarterly, 1987, Vol. 15 Issue 3, p138, 8pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=iyh&AN=6904869&site=ehost-livee"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Heung, Marina. ""Breaker Morant and the Melodramatic Treatment of History."" Film Criticism, vol. 8, no. 2, pp. 3-13, January 1984 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31286211&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Jolly, Roslyn. ""'Frontier Behaviour' and Imperial Power in Breaker Morant."" Journal of Commonwealth Literature, vol. 32, no. 2, pp. 125-39, 1997
â€¢149;Kershen, Drew L. ""Breaker Morant A Symposium on Film and the Law."" Oklahoma City University Law Review 22(1997) p. 107- Ѭ href=""http://www.heinonline.org/HOL/Page?handle=hein.journals/okcu22&id=117&collection=journals&index=journals/okcu"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kirschke, James J. ""Say Who Made Her So: ""Breaker Morant"" and British Empire."" Film & History 38:2 (Fall 2008) p. 45-53 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00495044"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Mortimer, Lorraine
""The soldier, the shearer and the mad man: Horizons of community in some Australian films."" Literature Film Quarterly, 1993, Vol. 21 Issue 2, p139, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=iyh&AN=9608203677&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Niemi, Robert. ""Breaker Morant."" In: History in the media : film and television Santa Barbara, Calif. : ABC-CLIO, c2006. (MAIN: PN1995.9.H5 N54 2006)

","Australian and New Zealand Cinema"
