"Source:","http://www.lib.berkeley.edu/MRC/biopic.html"
"
Movie Biographies


"
"See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/biography.html"">Biographical documentariesЖ","Movie Biographies"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/biopicbib.html"">Bibliography of books/articles about biopicsЖ","Movie Biographies"
"Related web sites:","â€¢149;Ѭ href=""http://www.filmsite.org/biopics.html"">Biopic FilmsЖ [from filmsite.org]","Movie Biographies"
"Names: Ѭ href=""#A"">AЖ Ѭ href=""#B"">BЖ Ѭ href=""#C"">CЖ Ѭ href=""#D"">DЖ Ѭ href=""#E"">EЖ Ѭ href=""#F"">FЖ Ѭ href=""#G"">GЖ Ѭ href=""#H"">HЖ Ѭ href=""#I"">IЖ Ѭ href=""#J"">JЖ Ѭ href=""#K"">KЖ Ѭ href=""#L"">LЖ Ѭ href=""#M"">MЖ Ѭ href=""#N"">NЖ Ѭ href=""#O"">OЖ Ѭ href=""#P"">PЖ Ѭ href=""#Q"">QЖ Ѭ href=""#R"">RЖ Ѭ href=""#S"">SЖ Ѭ href=""#T"">TЖ Ѭ href=""#U"">UЖ Ѭ href=""#V"">VЖ Ѭ href=""#W"">W-YЖ Ѭ href=""#Z"">ZЖ
","
AЖ
","Movie Biographies"
"[Adams, John] John Adams (TV, 2008)","Directed by Tom Hooper. Cast: Paul Giamatti, Laura Linney, Danny Huston, John Bedford Lloyd, Justin Theroux, Ritchie Coster, Guy Henry, Stephen Dillane, David Morse, Zeljko Ivanek, John Dossett, Jean-Hugues Anglade, Judith Magre, Steven Hinkle, Madeline Taylor, Neal Huff, Tom Wilkinson, Tom Hollander, Sarah Polley, Ebon Moss-Bachrach, Rufus Sewell, Samuel Barnett, Andrew Scott. While our new nation was suffering attacks from both within and without, John Adams had a vision of a nation of liberty and justice for all. He guided his peers --General George Washington, Benjamin Franklin and Thomas Jefferson --in setting the values and agenda for a glorious, free America. Adams and his wife Abigail refined these ambitious democratic ideals, and their partnership became one of the most moving love stories in American history. Special features: Discs 1-3: Facts are stubborn things: an exclusive onscreen historical guide; disc 3: Documentary: ""David McCullough: painting with words"" (a rare and personal glimpse at the life and works of author David McCullough); ""The making of 'John Adams'"" featurette. Originally broadcast on HBO as a seven-part mini-series in 2008. 501 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1696"">DVD X1696Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0472027/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Broadcast Film Critics Association Awards - Best Picture Made for Television
â€¢149;Emmy Awards - Outstanding Miniseries
â€¢149;Golden Globes, USA - Best Mini-Series or Motion Picture Made for Television

","Movie Biographies"
"[Adams, Patch] Patch Adams (1998)","Directed by Tom Shadyac. Cast: Robin Williams, Monica Potter, Philip Seymour Hoffman, Bob Gunton, Daniel London, Peter Coyote. Patch Adams is a doctor who doesn't look, act or think like other doctors. For Patch, humor is the best medicine, and he's willing to do just about anything to make his patients laugh-- even if it means risking his own career. Based on a true story. Based on the book Gesundheit! : bringing good health to you, the medical system, and society through physician service, complementary therapies, humor, and joy by Patch Adams. Special features: Commentary by director Tom Shadyac ; ""The Medicinal value of Laughter,"" (12 min.) an original documentary featuring interviews with the real Patch Adams, producer Mike Farrell and cast members Robin Williams and Monica Potter ; outtakes ; theatrical trailer ; production notes ; cast & filmmaker's bios ; film highlights. 116 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8226"">DVD 8226Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0129290/"">Credits and other information from the Internet Movie DatabaseЖ","Movie Biographies"
"[Adams, Robert] The Last Confederate: The Story of Robert Adams (ala Strike the Tent) (2005)","Directed by A. Blaine Miller and Julian Adams. Cast: Julian Adams, Gwendolyn Edwards, Amy Redford, Eric Holloway, Joshua Lindsey, Tippi Hedren, Bob Dorian, Mickey Rooney. Robert Adams is a strong-willed southern captain, in the midst of the American Civil War, whose leadership and heart of fire rally his men to fight for their land. Filled with passion, blood, and tragedy, this is a true story of one man's love for his country and for Eveline McCord, his beloved from the North. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8127"">DVD 8127Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0339743/"">Credits and other information from the Internet Movie DatabaseЖ","Movie Biographies"
"[Albert, Prince Consort of Victoria, Queen of Great Britain] The Young Victoria (UK | USA, 2009)","Directed by Jean-Marc Vallée. Cast: Emily Blunt, Rupert Friend, Paul Bettany, Miranda Richardson, Jim Broadbent, Thomas Kretschmann, Mark Strong, Jesper Christensen, Harriet Walter. Chronicles the life and times of Queen Victoria from her childhood to her early rise to power and the first turbulent years of her rule. Her romantic relationship and eventual marriage to Prince Albert culminates in a royal power struggle which ultimately is the key to her happiness when she comes to the realization that he is someone she can fully trust and believe in. Special features: Deleted & extended scenes; Making of the Young Victoria featurette; The Real Queen Victoria featurette; The Coronation featurette; The Wedding featurette; Lavish History: A look at the costumes and locations. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3179"">DVD X3179Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0962736/"">Credits and other information from the Internet Movie DatabaseЖ
","Movie Biographies"
"[Alexander, Grover Cleveland]The Winning Team (1952)","Directed by Lewis Seiler. Cast: Doris Day, Ronald Reagan, Frank Lovejoy. Grover Cleveland Alexander is the Hall of Fame pitcher whose baseball victories paralleled triumphs in his personal life. Suffering from alcoholism, double vision and fainting spells, Alexander sees his career bottom out. But, helped by his wife, he makes a successful return that reaches its peak in the 1926 Yankees/Cardinals World Series. 93 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X198"">DVD X198Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0045332/"">Credits and other information from the Internet Movie DatabaseЖ
","Movie Biographies"
"[Alexander the Great] Alexander (2004)","Directed by Oliver Stone. Cast: Colin Farrell, Angelina Jolie, Val Kilmer, Anthony Hopkins. The story of Alexander the Great, who in 4th century BC conquered ninety percent of the known world of the time by defeating Greece, Persia, Afghanistan, and India in just eight years. 167 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4171"">DVD 4171Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0346491/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/stone.html#alexander"">See separate bibliography of reviews and articles about this filmЖ","Movie Biographies"
