"Source:","http://www.lib.berkeley.edu/MRC/cedlectures.html"
"
UC Berkeley
College of Environmental Design Lectures

"
"Ж","UC Berkeley
College of Environmental Design Lectures"
"[Abe, Hitoshi]The Elephant and the Architecture","A lecture presented by Hitoshi Abe, architect and professor at Tohoku University, considered one of the most promising young architects in Japan today. Winner of the Architects Institute of Japan Award and Business Week/Architectural Record Award in 2003, he is known for work that is spatially complex and structurally innovative. This event took place at the University of California, Berkeley on February 2, 2006. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5938"">DVD 5938Ж","UC Berkeley
College of Environmental Design Lectures"
"[Adams, Annmarie]Sex & the Single Building: the Weston Havens House","This lecture is presented by Canadian professor and architect AnnMarie Adams. She is the first Arcus Endowment Scholar-in-Residence at UC Berkeley, where she taught a graduate seminar. This talk focuses on The Weston Havens House in Berkeley, with its innovative architecture designed around stunning views of the Bay Area, which was built by architect Harwell Hamilton Harris in 1941. This event took place at the University of California, Berkeley on October 1, 2008. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1018"">DVD X1018Ж","UC Berkeley
College of Environmental Design Lectures"
"[Adjaye, David]Recycling, Reconfiguring, Rebuilding.","A speech by David Adjaye, one of the leading architects of his generation in the United Kingdom. He formed a partnership in 1994 and quickly built a reputation as an architect with an artistry vision, recognized for his ingenious use of materials and showcasing of light. He reformed his studio in June 2000 as Adjaye/Associates and he has gone on to win a number of prestigious commissions. Introduction: Stanley Saitowitz. This event took place at the University of California, Berkeley on November 3, 2004. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM741"">Video/C MM741Ж","UC Berkeley
College of Environmental Design Lectures"
"[AlSayyad, Nezar] Cinematic Cities: Historicizing the Modern from Reel to Real","In this lecture Nezar AlSayyad, professor of Architecture, Planning and Urban History at UCB, addresses some of the themes in his book Cinematic cities, historicizing the modern from reel to real. This event took place at the University of California, Berkeley on November 28, 2007. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9315"">DVD 9315Ж","UC Berkeley
College of Environmental Design Lectures"
"Alternative Models of Practice: Lecture and Discussion","Presents a panel of San Francisco Bay Area architects discussing alternative methods of architectural design and practice. The panel includes Thom Faulders of Beige Design, Berkeley; Jane Martin of Shift Design Studio, San Francisco; Larissa Sand, of South Park Fabricators and Helen Hilton Raiser, Curator of Architecture and Design at the San Francisco Museum of Modern Art. This event took place at the University of California, Berkeley on October 23, 2002. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9545"">Video/C 9545Ж","UC Berkeley
College of Environmental Design Lectures"
"[Anderson, Mark; Anderson, Peter]What About the People?","This lecture is presented by university professors Mark Anderson (UCB) and Peter Anderson (Calif. College of the Arts), principals of Anderson Anderson Architecture. This event took place at the University of California, Berkeley on April 2, 2008. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9681"">DVD 9681Ж","UC Berkeley
College of Environmental Design Lectures"
"[Ando, Tadao]Beyond Architecture: Contemplating Our Environment.","A presentation by noted Japanese architect and founder of Tadao Ando Architect & Associates. His work is primarily in reinforced concrete, defining spaces that allow for constantly changing patterns of light and wind in all his structures, from homes and apartment complexes to places of worship, public museums and commercial shopping centers. This event took place at the University of California, Berkeley on March 16, 2005. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM671"">Video/C MM671Ж","UC Berkeley
College of Environmental Design Lectures"
