"Source:","http://www.lib.berkeley.edu/MRC/chineseamvid.html"
"

Chinese Americans


"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnicImagesVid.html"">The Movies, Race, EthnicityЖ (for cinema works by Asian American filmmakers or films with images of Asian Americans","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/mixedracevid.html"">People of Mixed Race - Interracial Marriage/DatingЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/CJKVid.html"">China, Japan, Korea, & Pacific IslandsЖ","Chinese Americans"
"","Agent Yellow: Not a Chinaman's Chance","This film focuses on the ambiguous role forced upon Chinese scientists and engineers who have contributed significantly to American military research while still remaining largely invisible, except when singled out for disloyalty, as in the recent case of Wen Ho Lee, or the 1950's McCarthy Era case of Hsue-Shen Tsien. It explores the pervasive American perception of China in either/or terms: either a sinister threat or a potential partner, and explores how these attitudes have led to a wariness about Chinese involvement in U.S. military technology. Produced and directed by Christine Choy. 2006. 27 min. 

Related web sites:
â€¢149;Ѭ href=""http://filmakers.com/indivs/AgentYellow.htm"">Description from Filmakers Library catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6519"">DVD 6519Ж","Chinese Americans"
"Alleged Espionage at National Laboratories.","U.S. Dept. of Energy Secretary Bill Richardson discusses the allegations of Chinese espionage at U.S. nuclear laboratories. He focuses on the dismissal of an employee at the Los Alamos lab due to security breaches potentially compromising nuclear weapons codes and stresses that this dismissal would not affect any other Asian-American employees in the lab. After his prepared remarks he took questions from the audience. Recorded 4/30/99 in New York City. 45 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6931"">Video/C 6931Ж","Chinese Americans"
"American Chinatown.","Focuses on the last rural Chinatown in the U.S., Locke, California. Documents the struggle between preservationists and developers. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+432"">Video/C 432Ж","Chinese Americans"
"The American Tapestry: Searching for the American Dream","Gregory Nava's trenchant but human examination of the American migration experience. In this documentary the much celebrated Hispanic filmmaker (""El Norte"", ""Mi Familia"", ""Selena"", etc.) explores the very personal accounts of five American families from a variety of enthnic and racial backgrounds. An elderly Polish Jew relates his arrival at Ellis Island as a seven year-old boy in the 1920's. A Chinese-born grandmother from Oakland, California recalls her own childhood arrival on Angel Island in San Francisco Bay in the early 1930's. Unlike the Ellis Island experience, which was a happy and welcoming one, her arrival thrust her into an atmosphere charged with racial tension, discrimination and hostility. An African-American woman, the daughter of a slave, describes her childhood on a sharecropper's farm in Alabama and her eventual migration to Chicago. In the film's most emotionally powerful moment, he follows a young Mexican woman as she risks her life clandestinely crossing the border into the U.S. Directed by Gregory Nava. 1999. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1281"">Video/C MM1281Ж","Chinese Americans"
"Ancestors in the Americas: Chinese in the Frontier West, an American Story.","A film by Loni Ding. Chronicles the arrival of the Chinese during the 1850s to 1880s in California during the Gold Rush period and their subsequent settlement in the Western states of Oregon, Washington, Idaho, Montana, Wyoming and South Dakota. Includes the history of their labor, community building and activism for justice and equality in the courts of mid-19th century America. 1998. 60 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2990"">DVD X2990Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5573"">Video/C 5573Ж","Chinese Americans"
"Ancestors in the Americas: Coolies, Sailors, Settlers","A film by Loni Ding. The untold story of how Asians--Filipino, Chinese, Asian Indian--first arrived in the Americas. Film crosses centuries and oceans from the 16th century Manila-Acapulco trade, to the Opium War, to the 19th century plantation coolie labor in South America and the Caribbean. 2001. 64 min. ; 

Reviews and articles:
â€¢149;Liu, Haiming. ""[Film Review: Loni Ding's Ancestors In the Americas: Coolies, Sailors, Settlers]"". Amerasia Journal 2000-01 26(3): 200-203.

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2989"">DVD X2989Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9659"">Video/C 9659Ж","Chinese Americans"
"Another America.","Both the riots in Los Angeles and the murder of an uncle at his store in Detroit forced the filmmaker to start a personal investigation to examine the relationships between the Korean-American and Afro-American communities. Through his camera and many personal interviews, Cho reveals a rarely seen portrait of life in the inner city and takes a hard look at his own uncle's murder, telling how this crime affected not only his family, but the entire city. 56 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.10&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4495"">Video/C 4495Ж","Chinese Americans"
