"Source:","http://www.lib.berkeley.edu/MRC/chuckjones.html"
"
The Films of Chuck Jones"
"
Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/about.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/access.html"">Ж

Ѭ href=""http://www.lib.berkeley.edu/MRC/moviedb.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/FilmBibMenu.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/Catalogs/"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/filmstudies/index.html"">Ж","
"
"
","See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/animation.html#warner"">Warner Brothers Cartoon videography/bibliographyЖ","â€¢149; Kenner, Hugh. Chuck Jones a flurry of drawings. Berkeley : University of California Press, c1994 Ѭ href=""http://ark.cdlib.org/ark:/13030/ft6q2nb3x1/"">Ж","â€¢149;Inge, M. Thomas. ""Mark Twain, Chuck Jones, and the Art of Animation."" Studies in American Humor; 2008, Vol. 3 Issue 17, p11-17, 7p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=32473842&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149; Schaffer, Bill. ""Chuck Jones"" (Great Directors: A Critical Database) Senses of Cinema Ѭ href=""http://archive.sensesofcinema.com/contents/directors/02/jones.html"">Full-text of this article / review is available:Ж","â€¢149;Telotte, J. P. ""What's Up--and Down--Doc?: Warner Brothers, Chuck Jones, and Abstract Space."" In: Animating space: from Mickey to WALL-E / J.P. Telotte. Lexington, Ky. : University Press of Kentucky, c2010. (Ѭ href=""http://site.ebrary.com/lib/berkeley/Doc?id=10409220"">Full-text available onlineЖ [UC Berkeley users only])","â€¢149; Thompson, Rick","""Chuck Jones Tribute."" Senses of Cinema vol. 19, pp. (no pagination), March 2002. Ѭ href=""http://archive.sensesofcinema.com/contents/01/19/chuck.html"">Full-text of this article / review is available:Ж"
