"Source:","http://www.lib.berkeley.edu/MRC/corporationsmovies.html"
"
Corporations, Wall Street, and Sundry Capitalism
in the Movies

"
"See also the following MRC Videographies:

â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/labormovies.html"">Labor Themes in the MoviesЖ
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/lawfilms.html"">Lawyers in the MoviesЖ


","See also:","â€¢149;Boozer, Jack. Career Movies : American Business and the Success Mystique Austin : University of Texas Press, 2002. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10172711"">Full text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PN1995.9.B87 B66 2002)","â€¢149;Dickenson, Ben. Hollywood's new radicalism: war, globalisation and the movies from Reagan to George W. Bush / Ben Dickenson. London ; New York : I.B. Tauris ; New York, NY : In the United States and Canada distributed by Palgrave Macmillan, 2006. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10132944"">Full text available onlineЖ (UC Berkeley users only); Print: Main (Gardner) Stacks; Moffitt PN1995.9.P6 D53 2006)","â€¢149;Feldman, Stuart. ""Business Gets a Bad Rap."" Management Review, Nov92, Vol. 81 Issue 11, p49, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=6137128&site=ehost-live"">Full-text of this article / review is available:UC Berkeley users onlyЖ","â€¢149;Kinkle, Jeff; Toscano, Alberto. ""Filming the Crisis: A Survey."" Film Quarterly , Vol. 65, No. 1 (Fall 2011), pp. 39-51 Ѭ href=""http://www.jstor.org/stable/10.1525/FQ.2011.65.1.39"">Full-text of this article / review is available:UC Berkeley users onlyЖ","â€¢149;Ribstein, Larry E. ""Wall Street and Vine: Hollywood's View of Business."" University Illinois Law & Economics Research Paper No. LE05-010 March 8, 2009 Ѭ href=""http://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1355397_code47251.pdf?abstractid=563181&mirid=1"">Full-text of this article / review is available:UC Berkeley users onlyЖ","â€¢149;Shugan, Steven M. ""Antibusiness Movies and Folk Marketing."" Marketing Science; Nov/Dec2006, Vol. 25 Issue 6, p681-685, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=23934031&site=ehost-live"">Full-text of this article / review is available:Ж","â€¢149;Surowiecki, James. ""The Business-Movie Business."" The New Yorker. October 11, 2010 Ѭ href=""http://www.newyorker.com/talk/financial/2010/10/11/101011ta_talk_surowiecki"">Full-text of this article / review is available:UC Berkeley users onlyЖ","â€¢149;Wiesenfeld, Batia, Cattani, Gino, ""Business Through Hollywood's Lens."" Harvard Business Review, October 2010, Vol. 88, Issue 10 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=brb&AN=504482440&site=ehost-live"">Full-text of this article / review is available:UC Berkeley users onlyЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"American Psycho (2000)","Directed by Mary Harron. Cast: Christian Bale, Willem Dafoe, Jared Leto, Josh Lucas, Samantha Mathis, Matt Ross, Bill Sage, Chloe Sevigny, Cara Seymour, Justin Theroux, Guinevere Turner, Reese Witherspoon. A young, handsome man with a Harvard education, a stunning fiancee and success on Wall Street appears to have everything. But his circle of friends doesn't know his other side of terrible urges that take him in pursuit of women, greed, and murder. Based on the novel by Bret Easton Ellis. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3528"">DVD 3528Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0144084/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/gangsterbib.html#americanpsycho"">See separate bibliography of reviews and articles about this filmЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Apartment (1960)","Directed by Billy Wilder. Cast: Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, David Lewis, Joan Shawlee, Naomi Stevens, Hope Holiday, Edie Adams. An ambitious office clerk plans to get ahead by lending out his apartment to his boss, but falls in love with the boss's girlfriend. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1758"">DVD 1758Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0053604/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors

â€¢149;Academy Awards - Best Picture; Best Director
â€¢149;British Academy of Film and Television Arts Awards - Best Film from any source; Best Foreign Actor (Jack Lemmon); Best Foreign Actress (Shirley MacLaine)
â€¢149;Golden Globes - Best Motion Picture, Comedy; Best Motion Picture Actor, Musical/Comedy (Jack Lemmon); Best Motion Picture Actress, Musical/Comedy (Shirley MacLaine)
â€¢149;New York Film Critics Circle Awards - Best Film; Best Director
â€¢149;Venice Film Festival - Best Actress (Shirley MacLaine)
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


Ѭ href=""http://www.lib.berkeley.edu/MRC/wilderbib.html#apartment"">See separate bibliography of reviews and articles about this filmЖ

See also:
â€¢149;Spector, Bert. ""The Man in the Gray Flannel Suit in the executive suite: American corporate movies in the 1950s. Journal of Management History 14:1, 87-104, 2008 Ѭ href=""http://www.emeraldinsight.com/Insight/viewContentItem.do;jsessionid=8F1EACCBBAE671B152E578F70146B651?contentType=Article&hdAction=lnkpdf&contentId=1642046&dType=SUB&history=false"">Full-text of this article / review is available:UC users onlyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
