"Source:","http://www.lib.berkeley.edu/MRC/disasterfilms.html"
"

Disaster Films


"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/disasterbib.html"">Disaster film bibliographyЖ","Disaster Films"
"See also the following MRC Videographies:"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Scififilm.html#apocalypse"">Science FictionЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorismmovies.html"">Terrorism in the MoviesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilm.html#wwIII"">War films (for nuclear apocalypse films)Ж","Disaster Films"
"","Disaster Films"
"2012 (2009)","Directed by Roland Emmerich. Cast: John Cusack, Chiwetel Ejiofor, Amanda Peet, Oliver Platt, Thandie Newton, Danny Glover, Woody Harrelson. A geophysical team, who are investigating the effect radiation from other solar systems has on the Earth, learn that the core of the Earth is heating up and warn the President of the United States. While the leaders of the world race to build 'arks' to escape the impending doom, volcanic eruptions and earthquakes of unprecedented strength wreak havoc all over the world. Special features: Commentary with writer/director Roland Emmerich and co-writer Harald Kloser; alternate ending; deleted scenes; ""Roland Emmerich: the master of the modern epic"" featurette; music video ""Time for miracles"" by Adam Lambert. 158 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2738"">DVD X2738Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1190080/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Aftershock (Tangshan dadizhen) (China, 2010)","Directed by Xiaogang Feng. Cast: Xu Fan, Zhang Jingchu, Li Chen, Zhang Zifeng, Zhang Jiajun, Lu Yi, Zhang Guoqiang, Wang Ziwen, Yang Lixin, Lu Zhong, Yong Mei, Liu Lili, Chen Daoming, Chen Jin. Follows a family who became victims in the 1976 Tangshan earthquake. The father, Fang Daqiang, was crushed dead while trying to rescue his twin children, Fang Deng and Fang Da, who were trapped in the house. Unable to save both kids, the mother, Li Yuanni, is forced to sacrifice Fang Deng for her feeble younger brother Fang Da, a decision that proved agonizing for the entire family. Though left behind as dead, the little girl miraculously survives, unbeknownst to her family. 135 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6855"">DVD X6855Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1393746/"">Credits and other information from the Internet Movie DatabaseЖ","Disaster Films"
"Airplane (1980)","Directed by David Zucker, Jim Abrahams, Jerry Zucker. Cast: Leslie Nielsen, Robert Hays, Robert Stack, Lloyd Bridges, Peter Graves. In this spoof of disaster movies, Ted Striker, an ex-Navy pilot, just got dumped by his long-time girlfriend Elaine Dickinson, who works as a stewardess. In his wish to get her back, he follows her aboard a plane, although he has had a deep aversion against anything winged since he lost several men in the war. During flight, he tries to make up with her again and again, but a crisis looms as the crew and many passengers get seriously ill due to a bad fish meal. Now, it is up to him to land the airplane safely, before the poisoning starts causing casualties. But Ted Striker's aversion to piloting is a serious psychosis, which needs to be cured--right now. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4976"">DVD 4976Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0080339/"">Credits and other information from the Internet Movie DatabaseЖ","Disaster Films"
"Airport (1970)","Directed by George Seaton. Cast: Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset, George Kennedy, Helen Hayes, Van Heflin, Maureen Stapleton, Barry Nelson. The manager of an international airport must juggle personal crises with professional responsibilities as he attempts to keep his blizzard-torn facility open to rescue a bomb-damaged jetliner. 137 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4630"">DVD 4630Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0065377/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Lev, Peter ""Disaster and Conspiracy: Airport, The Poseidon Adventure, Jaws, The Parallax View, Chinatown."" In: American films of the 70s : conflicting visions / Peter Lev. Austin, TX : University of Texas Press, 2000. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10194811"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; Moffitt PN1993.5.U6 L44 2000)

","Disaster Films"
"Airport 1975 (1974)","Directed by Jack Smight. Cast: Charlton Heston, Karen Black, Geoge Kennedy, Gloria Swanson, HElen Reddy, Efrem Zimbalist, Jr., Susan Clark, Sid Caesar, Linda Blair, Dand Andrews, Roy Thinnes, Nancy Olson. A private plane hits a 747 in midair. The chief stewardess must act as the blinded pilot's hands and eyes to take control of the plane and land it or die trying. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4630"">DVD 4630Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0071110/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Airport 1977 (1977)","Directed by Jerry Jameson. Cast: Jack Lemmon, Lee Grant, Brenda Vaccaro, Joseph Cotten, Olivia de Haviland, Darren McGavin, Christopher Lee, George Kennedy, James Stewart. Passengers aboard a luxurious 747 must be rescued after the plane crashes into the ocean in the Bermuda Triangle and are trapped underwater. 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4630"">DVD 4630Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0075648/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Airport 1979: The Concorde (1979)","Directed by David Lowell Rich. Cast: David Warner, Mercedes McCambridge, Martha Raye, Avery Schreiber, Cicely Tyson. A jet-setting TV reporter puts everyone on board a Moscow-bound Concorde in jeopardy when she becomes the target of her former lover, a traitorous arms smuggler. 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4630"">DVD 4630Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0078740/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
