"Source:","http://www.lib.berkeley.edu/MRC/drugs.html"
"
Drugs and Alcohol in the Movies


"
"â€¢149;Ѭ href=""#alcohol"">Alcohol/Alcoholism in the moviesЖ","â€¢149;Ѭ href=""#drugs"">Drugs in the MoviesЖ

â€¢149;Ѭ href=""#opium"">Opium Smoking in the MoviesЖ

","Drugs and Alcohol in the Movies"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/drugmoviesbib.html"">Alcohol/Alcoholism and Drugs in the MoviesЖ","Drugs and Alcohol in the Movies"
"","Drugs and Alcohol in the Movies"
"Alcohol in the MoviesЖ","[Absinthe] The Four Earliest Known Absinthe-related Films","Presents four movies from the silent film era concerning the distilled, highly alcoholic spirit absinthe. Almost from the very outset motion picture producers found a lucerative niche producing films with an anti-alcohol message. The 1902 film ""Les victimes de l'alcoolisme"" was the first attempt by the newly formed Pathé company to exploit the burgeoning demand for anti-absinthe and anti-alcohol propaganda. ""Les Victimes de l'alcool"" (1911), a far more sophisticated film, was enthusiastically promoted by the temperance movement and was a huge success for Pathé. ""Absinthe"" (1913) is the only surviving U.S.-made absinthe related motion picture from the pre-ban era, featuring one of the very few filmed versions of absinthe being prepared and consumed. Contents: La Bonne absinthe / produced by Gaumont Film Company ; directed by Alice Guy (1899, 1 min.) -- Les Victimes de l'alcoolisme / produced by Pathé ; directed by Ferdinand Zecca (1902, 4 min.) -- Les Victimes de l'alcool / produced by Pathé ; directed by Gerard Bourgeois (1911, 26 min.) -- Absinthe / produced by the Gem Motion Picture Company ; starring Glen White and Sadie Weston (1913, 12 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2294"">DVD X2294Ж","Drugs and Alcohol in the Movies"
"The Alcohol Years (2005)","A film by Carol Morley. A poetic retrieval of the years filmmaker Carol Morley spent in Manchester, where in the early 1980s, her life was lost in an alcoholic blur. In Morley's search for her lost self, conflicting memories and viewpoints weave in and out, revealing a portrait of the city, its pop culture, and the people who lived it. 79 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4127"">DVD 4127Ж","Drugs and Alcohol in the Movies"
"Altered States (1980)","Directed by Ken Russell. Cast: William Hurt, Blair Brown, Bob Balaban, Charles Haid. An American researching different states of consciousness with the aid of mind altering drugs and an isolation chamber begins to experience disturbing physical changes in his body that point toward an evolutionary regression. Based on the novel by Paddy Chayefsky. 73 min. ; also ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4556"">DVD 4556Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+291"">DVD 291Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:110"">VHS 999:110Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0080360/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Chayefsky, Paddy. The screenplays / Paddy Chayefsky. New York : Applause Books, 1995. (Main (Gardner) Stacks Call No. PS3505.H632 A19)

","Drugs and Alcohol in the Movies"
"Bank Dick (1940)","Directed by Eddie Cline. Cast: W.C. Fields, Una Merkel, Cora Witherspoon, Franklin Pangborn, Shemp Howard, Grady Sulton. Egbert Souse accidently foils a bank robbery and is hired as a bank guard. ""How could you pick a single performance from the late, great W.C. Fields to honor? He essentially played a drunk wallowing in some state of dysfunction or another in every movie he made. Perhaps our favorite for the purposes of the drunk list? His role as Egbert Souse ('soo-say!') in The Bank Dick, a classic Fields film by any measure. The quotes attributed to Fields (in character and out of it) are a running homage to drinking, including his classic line: 'A woman drove me to drink and I didn't even have the decency to thank her.' No, W.C. Thank you."" [Ѭ href=""http://www.filmcritic.com/features/2008/12/the-21-best-movie-alcoholics-of-all-time/"">filmcritic.comЖ] 73 min. ; also ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4556"">DVD 4556Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+291"">DVD 291Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:110"">VHS 999:110Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0032234/"">Credits and other information from the Internet Movie DatabaseЖ","Drugs and Alcohol in the Movies"
"Barfly (1987)","Directed by Barbet Schroeder. Cast: Faye Dunaway, Mickey Rourke, Alice Krige, J. C. Quinn, Frank Stallone. Quasi-autobiography of writer-alcoholic Charles Bukowski and life on the skids in L.A.'s bars and flophouses and his choice between that booze-ridden existence or a new life as a poet. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3367"">DVD 3367Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0092618/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Bukowski, Charles. The movie, ""Barfly"" : an original screenplay by Charles Bukowski ; for a film by Barbet Schroeder. Santa Rosa, CA : Black Sparrow Press, 1987. (Main (Gardner) Stacks PN1997 .B263 1987)

","Drugs and Alcohol in the Movies"
"Betty (France, 1991)","Directed by Claude Chabrol. Cast: Marie Trintignant, Stephane Audran, Jean-Francois Garreaud, Yves Lambrecht, Christiane Minazzoli, Pierre Vernier. Betty Etamble, a promiscuous and alcoholic woman who has lost her family, ends an evening at a bar and meets Laure, an elegant retiree who lives in a luxury hotel. Laure takes the girl under her wing, and gradually details of her sinister story unfold and evolves into a lethal game of cat and mouse. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6597"">DVD 6597Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0103800/"">Credits and other information from the Internet Movie DatabaseЖ
","Drugs and Alcohol in the Movies"
"Birds Anonymous (1957)","Directed by Friz Freleng. Animated short. In this spoof of Alcoholics Anonymous, pussy cats are cast as bird-eating addicts and go through the 12-step process to deal with their addiction. Sylvester, who could never quite get the best of the object of his desire, Tweety Bird, joins and resolves to quit chasing and eating the canary. Tweety innocently asks the puddy ""Don't you wike me anymo'?"" setting off a series of events which will test the puddy tat's resolve. Several attempts to get his mind off eating Tweety backfire, leading him to a delirious attempt to eat the bird. Sam (Sylvester's B.A. sponsor, introduced earlier) intervenes and shows how birds and cats can peacefully co-exist, but he falls off the wagon when he kisses Tweety and thus getting a taste of him and wanting a lot more! ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9503"">DVD 9503Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж","Drugs and Alcohol in the Movies"
