"Source:","http://www.lib.berkeley.edu/MRC/dutchfilm.html"
"
Dutch Language Films


Ж
"
"","Dutch Language Films"
"1-900 (1996)","Directed by Theo van Gogh. Cast: Ariane Schluter, Ad van Kempen. Two lonely professionals meet through a sex-line and begin a weekly rendezvous via the telephone. It turns erotic, funny, frustrating, and even sinister, as they become increasingly attached to one another. Based on the stage play ""06"" by Johan Doesburg. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6529"">DVD X6529Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0109001/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Alles moet weg (Everything Must Go) (Belgium, 1996)","Directed by Jan Verheyen. Cast: Stany Crets, Peter Van den Begin, Jaak van Assche, Camilia Blereau, Alice Toen. In this black comedy, a pair of young losers face-up to the futility of fighting conservative Belgian Establishment. Tony comes from an upper middle class family. Both of his parents are prominent lawyers. Soon after flunking his legal exams, the aimless Tony steals some of his parents cash and takes off for a cross-country drive in his van. Along the way, he encounters the ex-con Andreeke, a man who loves wandering about and steals for the joy of it. Wanting some kicks, the new buddies rob Tony's house. Afterward, Andreeke departs and returns to the tiny bistro he owns. Tony is still yearning for more trouble so tries to con a cagey, dying old woman. Unfortunately for him, she proves to be the better con artist. Later, Andreeke, who has lost his restaurant, and Tony reteam to try and rob a bank. Only one of them survives the heist. In Dutch with optional subtitles in French, English and Dutch. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7975"">DVD 7975Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0131278/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Als twee druppels water (Like Two Drops of Water) (1963)","Directed by Fons Rademakers. Cast: Lex Schoorel, Nan Los, Elise Hoomans, Guus Verstraete, Van Doude. The fainthearted cigar trader Ducker keeps to himself during World War II, but that changes when parachutist Dorbeck lands in his backyard. It turns out the parachutist bears a remarkable resemblance to Ducker. As a secret agent, Dorbeck enlists Ducker's help in his missions and Ducker follows Dorbeck blindly, becomes involved in the Dutch resistance and soon starts killing people. When he escapes through German lines to the freed South Netherlands, he discovers no one has ever heard of Dorbeck. 121 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7826"">DVD 7826Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0056823/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Antonia (Antonia's Line) (1995)","Directed by Marleen Gorris. Cast: Willeke van Ammelrooy, Els Dottermans, Jan Decleir. Set in the Netherlands this is a remarkable portrait of a family and a community, of mothers and daughters, and of one indomitable woman. Earthy, sexy, romantic, filled with laughter and warmth, it's a joyous celebration of simple pleasures and enduring passions. 102 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8446"">DVD 8446Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1645"">vhs 999:1645Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0112379/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Academy Award - Best Foreign Language Film



Reviews and articles:

â€¢149;Gillett, Sue. ""Just Women: Marlene Gorris's Antonia's Line."" Senses of Cinema, vol. 17, pp. (no pagination), November 2001 Ѭ href=""http://www.sensesofcinema.com/contents/cteq/01/17/antonia.html"">Full-text of this article / review is available:Ж
â€¢149;Jaehne, Karen. ""Antonia's Line."" Film Quarterly 50.n1 (Fall 1996): 27(4). Ѭ href=""http://www.jstor.org/stable/1213325"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Keller, James R. ""Dreaming of the Pure Vegetable Kingdom: Ecofeminism and Agriculture in A Thousand Acres and Antonia's Line."" In: Food, film and culture : a genre study Jefferson, N.C. : McFarland & Co., c2006. (MAIN: PN1995.9.F65 K45 2006)
â€¢149;Sellery, J'Nan Morse. ""Women's communities and the magical realist gaze of Antonia's Line."" West Virginia University Philological Papers (Fall 2001): 115(10). Ѭ href=""http://find.galegroup.com/itx/infomark.do?contentSet=IAC-Documents&docType=IAC&type=retrieve&tabID=T002&prodId=EAIM&docId=A85240571&userGroupName=ucberkeley&version=1.0&searchType=BasicSearchForm&source=gale"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Sklar, Robert. ""Marlene Gorris: The Lighter Side of Feminism."" In: The Cineaste interviews 2 : on the art and politics of the cinema / Gary Crowdus, Dan Georgakas. Chicago : Lake View Press, c2002. (Main Stack PN1998.2.C51 2002; PFA PN1998.2.C51 2002)
â€¢149;Spencer, Liese. ""Antonia's line/Antonia."" Sight and Sound 6.n9 (Sept 1996): 34(2).

","Dutch Language Films"
"De avonden (Evenings) (1989)","Directed by Rudolf van den Berg. Cast: Thom Hoffman, Rijk de Gooijer, Viviane de Muynck, Pierre Bokma. A autobiographical Dutch drama set in 1946 about the complicated psychology of young Fritz van Egters who lives with his parents. He has difficulty growing up and his contacts with friends, neighbors, and women are rather unsatisfactory so he prefers to make love with his rabbit-doll. In Dutch without subtitles. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7444"">DVD 7444Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0096862/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Blind Date (1996)","Directed by Theo van Gogh. Cast: Stanley Tucci, Patricia Clarkson. Don and Janna's relationship has been on the verge of collapse since the death of their daughter, and they're trying to reconnect with each other through role playing, so each evening they pretend they're meeting for the first time on a blind date after discovering one another through personal ads. Sometimes they assume characters that are openly confrontational, while other times they try to bring a sweetness and intimacy back into their lives, but more often than not their struggle to reclaim the love they knew ends in confusion and frustration. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6529"">DVD X6529Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0115702/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Het bittere kruid (1985)","Directed by Kees Van Oostrum. Cast: Ester Spitz, Gerard Thoolen, Kitty Courbois, Frank Rigter. This interpretation of the life of a Jewish girl in Holland -- who escapes being sent to German death camps in 1942 while the rest of her family is deported -- is loosely based on the autobiographical novel by Marga Minco. The author sued to insert a disclaimer before the title that a fictional Nazi family introduced in this film and the young Jewish girl could never have had the relationship shown, a relationship contrary to her book and her experience. Screenwriter Maurice Noel added the Nazi family whose father is a VIP in the Nazi youth, whose son is a Nazi soldier, and whose daughter makes friends with the Jewish Sara while the two are in the hospital. Later, viewers are to believe that Sara visits the Nazi family often and is welcomed -- wearing her yellow star -- in complete safety. The real ""Sara"" was hidden for three years by friends in the Dutch Resistance and miraculously escaped deportation and death only because of their own risk in hiding her. In Dutch without subtitles. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7825"">DVD 7825Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0088812/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"Cool! (Netherlands, 2004)","Directed by Theo van Gogh. Cast: Fouad Mourigh, Farhane El Hamchaoui, Jones Kruijne, Remco Alberts, Julien de Roover. Set to gangsta rap, this film tells the tale of three teenage criminals - (Abdel, Jacky, and Jeffrey) - who end up doing time in a juvenile detention center after messing up a bank robbery. Abdel, who has been changed for the better by his time in the correctional system, learns that their former gang-leader Prof is setting up another big heist. Abdel decides that Prof needs to be taken down and sets about sabotaging Prof's plan. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8247"">DVD 8247Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0382615/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Dokter Pulder zaait papavers (Doctor Pulder Sows Poppies)(1975)","Directed by Bert Haanstra. Cast: Kees Brusse, Ton Lensink, Dora van der Groen, Henny Orri, Karin Loeb, Manon Alving, Peter Römer. A smalltown doctor gets a visit from an old friend, now a famous neurologist. What he doesn't know is that this former surgeon has become a junkie and wants to steal his morphine. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2165"">DVD X2165Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0072892/"">Information about Nightmail from the Internet Movie DatabaseЖ","Dutch Language Films"
