"Source:","http://www.lib.berkeley.edu/MRC/euroimmigrants.html"
"
The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US



"
"â€¢149;Ѭ href=""#immigrants"">Immigrants and Cultural Outsiders Within EuropeЖ","â€¢149;Ѭ href=""#gypsies"">Gypsies (Romanies, et al.)Ж","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/euroimmigrantsbib.html"">Immigrants Within Europe BibliographyЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Ж","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"40 qm Deutschland (Turkey / West Germany, 1986)","Director, Tevfik Baser. The tale of a young Turkish woman who, after an arranged marriage, follows her much older husband to Hamburg, where he had been working for some time. Instead of allowing his wife to experience for herself life in this German city, the husband anxiously shields her from any contact with the host culture and keeps her a prisoner in their apartment. PAL format. In Turkish with German subtitles. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2995"">vhs 999:2995Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0090566"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Adieu, Gary (France, 2009)","Directors, Nassim Amaouche. Cast: Jean-Pierre Barci, Dominique Reymond, Yasmine Belmadi. When their factory is closed down, some irreducible people stay to live in the factory city where they've been spending all their lives. Some of them also keep going to work, to repair the machinery. Soundtrack and subtitles in French without English subtitles. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4736"">DVD X4736Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1298828/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Adventures of Felix (Drôle de Félix) (France, 2000)","Directors, Olivier Ducastel & Jacques Martineau. Cast: Sami Bouajila, Patachou, Ariane Ascaride, Pierre-Loup Rajot, Charly Sergue, Maurice Benichou. This French comedy-drama features Felix, an unemployed, gay Frenchman of Arab descent, who has a series of adventures during a trek through the French countryside. The film examines the familiar theme of a man's search for his identity. Felix is forced to confront the anger he feels toward his father for abandoning him, and the fear and shame he feels, living as an outsider in a predominantly straight, Caucasian world. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4736"">DVD X4736Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0228242"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/frenchbib.html#felix"">See separate bibliography of reviews and articles about this filmЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Ainsi meurent les anges (Senegal, 2001)","Mory is a troubled Senegalese poet living outside Paris with his French wife and their children. His marriage falls apart under cross-cultural pressures, specifically his father's demand that he take a second wife in Senegal. Homeless in winter, separated from his children, his poems scattered over a Paris street, Mory returns to Senegal, penniless and with uncertain prospects. 57 min. 

Related web sites:
â€¢149; Ѭ href=""http://www.newsreel.org/films/ainsi.htm"">Description from California Newsreel catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3240"">vhs 999:3240Ж","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"April Children (Aprilkinder) (Germany, 1999)","Directed by Yuksel Yavuz. The story of a Kurdish family in Hamburg. The brothers Cem and Mehmet live with their sister Dilan and their immigrant parents in Germany. Mehmet drifts off into a world of crime while Cem works in a meat factory and falls in love with a German prostitute before obeying his father's will and marrying a relative from his faraway Kurdish village. The ""Aprilchildren"" are the descendants of a generation torn between two worlds: they have lost their former native country, its traditions and its values, but are still alienated in their new country. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2796"">vhs 999:2796Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0181295"">Credits and other information from the Internet Movie DatabaseЖ
","Reviews and articles:

â€¢149;Anderson, Susan C. ""Unification and Difference in German Post-Wall Cinema."" In: Beyond Political Correctness: Remapping German Sensibilities in the 21st Century German Monitor, 72Amsterdam, Netherlands: Rodopi, 2010. (Main (Gardner) Stacks DD261 .G17)
â€¢149;Kraenzle, Christina. ""At Home in the New Germany? Local Stories and Global Concerns in Yüksel Yavuz's Aprilkinder and Kleine Freiheit."" The German Quarterly Volume 82 Issue 1, Pages 90 - 108 Ѭ href=""http://www3.interscience.wiley.com/cgi-bin/fulltext/121671932/PDFSTART"">Full-text of this article / review is available:UC users onlyЖ

","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Baran (Iran, 2001)","Director, Majid Majidi. A moving and humorous love story of illegal Afghan immigrants living and working at a construction site in Tehran, Iran. When one of the workers is injured,his daughter, posing as a man, becomes the breadwinner. But a hot-headed 17 year-old local youth also working at the site discovers the secret. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2059"">DVD 2059Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0233841/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/mideastfilmbib.html#majidi"">See separate bibliography of reviews and articles about this filmЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bhaji on the Beach(UK, 1995)","Directed by Gurinder Chadha. Cast: Lalita Ahmed, Peter Cellier, Amer Chadha-Patel, Souad Faress, Tanveer Ghani, Jimmi Harkishin, Sarita Khajuria, Shaheen Khan, Rena Kochar, Surendra Kochar, Akbar Kurtha, Nisha Nayar, Zohra Segal, Mo Sesay, Kim Vithana. A comedy about a group of Indian women, living in England, who are brought together by a day at the beach. In the course of their day together , their ordinary lives become an extraordinary celebration. A unique look at female friendship. 100 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6285"">DVD X6285Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1331"">vhs 999:1331Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0106408/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#bhaji"">See separate bibliography of reviews and articles about this filmЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"The Beat That My Heart Skipped (De battre mon coeur s'est arrêté) (France, 2005)","Directed by Jacques Audiard. Cast: Romain Duris, Niels Arestrup, Linh-Dan Pham, Aure Atika, Emmanuelle Devos, Jonathan Zaccai, Gilles Cohen. In this remake of Fingers, Tom, a ne'er-do-well, works with two scheming real estate men who have little or no morals. He decides to return to the piano and become a concert pianist, like his mother. His piano teacher is a Chinese piano virtuoso who has recently come to live in France. She doesn't speak a lick of French so music becomes the only language they have in common. Before long, Jacques' bid to be a better person means that he begins to yearn for true love. But, when he finally has the chance of winning his best friend's wife, his passion only succeeds in scaring her. And then, one day, his dubious past comes to light... 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X608"">DVD X608Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0411270/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Dobson, Julia. ""Jacques Audiard and the filial challenge."" Studies in French Cinema; 2007, Vol. 7 Issue 3, p179-189, 11p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=26989725&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Beautiful People (UK, 1999)","Directed by Jasmin Dizdar. Cast: Linda Bassett, Charlotte Coleman, Edin Dzandzanovic, Nicolas Farrell, Julian Firth, Walentine Giorgiewa, Dado Jehan. ""In London, during October 1993, England is playing Holland in the preliminaries of the World Cup. The Bosnian War is at its height, and refugees from the ex-Yugoslavia are arriving. Football rivals, and political adversaries from the Balkans all precipitate conflict and amusing situations. Meanwhile, the lives of four English families are affected in different ways by encounter with the refugees; one of the]families improbably becomes involved with a Balkan refugee through the England vs. Holland match."" [Ѭ href=""http://www.imdb.com/title/tt0159272/plotsummary"">IMDBЖ] 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1948"">DVD 1948Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0159272/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bend It Like Beckham (UK / Germany / USA, 2002)","Directed by Gurinder Chadha. Cast: Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher, Archie Panjabi, Shaznay Lewis, Frank Harper, Juliet Stevenson. Eighteen year-old Jesminder's parents want her to be a nice, conventional Indian girl. But she just wants to play soccer like her hero, David Beckham. For Jess, that means kicking a ball around the local park with the lads until she's spotted by Jules, who invites her to join the local women's team. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1948"">DVD 1948Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0286499/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#beckham"">See separate bibliography of reviews and articles about this filmЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bhaji on the Beach (UK, 1995)","Directed by Gurinder Chadha. A comedy about a group of Indian women, living in England, who are brought together by a day at the beach. In the course of their day together , their ordinary lives become an extraordinary celebration. A unique look at female friendship. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1331"">vhs 999:1331Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Bhaji+on+the+Beach+(1993)"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#bhaji"">See separate bibliography of reviews and articles about this filmЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
