"Source:","http://www.lib.berkeley.edu/MRC/frenchculture.html"
"
French History and CultureContents:
"
"â€¢149; Ѭ href=""#history"">French History and Culture:Ж

â€¢149; Ѭ href=""#arts"">Art, Architecture, Music, Dance, TheaterЖ
â€¢149; Ѭ href=""#life"">History and LifeЖ
â€¢149; Ѭ href=""#war"">World Wars I and IIЖ
â€¢149; Ѭ href=""#audiotapes"">Audiotapes on French History and CultureЖ

","â€¢149; Ѭ href=""#literature"">French Literature:Ж

â€¢149; Ѭ href=""#bio"">Literary Biography and CriticismЖ
â€¢149; Ѭ href=""#works"">Literary and Theatrical WorksЖ


See also the following MRC Videographies: 
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Frenchfilm.html"">French cinema in the Media Resources CenterЖ
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/EuroVid.html"">Europe/Eastern Europe videographyЖ
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/philosophy.html"">Europe/Eastern Europe videographyЖ (for works about Deluze, Derrida, Sartre, et al.)


â€¢149;For documentaries and movies related to francophone Africa, see:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanVid.html"">African Studies videographyЖ
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Africanfilm.html"">African Cinema videographyЖ

"
""
"Ж"
"Architecture","Architectures de Nancy: Les Temps d'une École (1994)","On the occasion of the opening of the new Ecole d'architecture de Nancy designed by Livio Vacchini, the faculty and students of the college discuss their attitudes towards the design and planning of school and college facilities. In French. 52 min. [Format: M-PAL] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4702"">Video/C 4702Ж","French History and Culture"
"Architectures de Nancy: Les Temps d'une Ville (1994)","Architects and city planners discuss the architectural development of Nancy, France from the Middle Ages to the year 2,000. In French. 26 min. [Format: M-PAL] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4701"">Video/C 4701Ж","French History and Culture"
"At the Louvre with the Masters","All through the 19th century, painters visited the Louvre. For them the museum was a school, a studio, a salon, a laboratory, a reservoir of techniques, and above all, a source of inspiration. This film invites the viewer to tour the Louvre in the company of three great 19th century painters: Courbet, Degas, and Cezanne, discovering how the museum played an essential role in the formation of their ideas through evidence found in notebooks, paintings and studios of these inventors of modern painting. Along the way, the viewer also meets Ingres, Delacroix, Zola, Manet, and Picasso. Presented in ""celebration of the bicentennial of the Louvre Museum & the opening of the Richelieu wing and the Grand Louvre."" c1993. 47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9456"">Video/C 9456Ж","French History and Culture"
"Capitalising Paris, Building a City: History, Buildings & Streets (1995)","Paris has an urban plan and architectural style that has been emulated by other cities since the 17th century. Focusing on the great expansion and development which took place in the 16th and 17th centuries, this film explores how the city changed and grew: its buildings, streets, squares and the history behind the changes. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4271"">Video/C 4271Ж","French History and Culture"
"Cathédrale de Reims (7 Siecles d'Aventures) (1991)","Examines the history and artistry of the Reims Cathedral including stone sculptures dating from the 13th century, royal history connected to the cathedral, Henri Deneux's reconstruction of the roof, film footage from World War I, twelve generations of stained glass window artists, and a view of the cathedral as seen by painters across the centuries. In French. 50 min. [Format: SECAM] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4094"">Video/C 4094Ж","French History and Culture"
"Centre Georges Pompidou","Using computer graphics and archival photos and footage, this program reveals how Renzo Piano and Richard Rogers designed and constructed the immensely popular Georges Pompidou Center, with its whimsically industrial-looking exoskeleton and exterior escalators. Interior footage illustrates how that immense space is divided up to house, among other things, a museum, a library, a design center, and a music center. 1997. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1858"">DVD 1858Ж","French History and Culture"
"Dans le quartier de San Gervais: Exploring the interactive documentary (1991)","In English and French with English voiceovers. 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5471"">Video/C 5471Ж","French History and Culture"
"French Romanesque architecture & sculpture: in 4 Parts (1994)","Detailed examination of Romanesque architecture and sculpture in French cathedrals and abbeys built between 808 and 1130.","French History and Culture"
