"Source:","http://www.lib.berkeley.edu/MRC/greekfilm.html"
"
Greek Cinema


Ж
"
"Act of Faith (Sto dromos tou theou) (1982)","Directed by Dimitris Arvanitis. Cast: Marialena Karbouri, Ersi Malikenzou, Olga Tournaki, Katerina Bourlou, Mirka Kalantzopoulou, Eleni Velidou, Froso Kokola, Kostas Tsakonas. Story of a young woman who, disillusioned with herself, her life and modern society, retreats to a monastery. There, she experiences the same exploitation and degradation she is trying to escape and also finds herself at odds with the mother superior who is hiding a secret that could ruin the convent. 90 min. 999:1841","â€¢149; Ѭ href=""http://us.imdb.com/Title?0237780"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
"Alexander the Great (O Megalexandros) (Greece | Italy | West Germany, 1991)","Directed by Theodoros Angelopoulos. Cast: Omero Antonutti, Eva Kotamanidou, Mihalis Giannatos, Grigoris Evangelatos. Based on some historical events, the film gives a romanticized biography of Theodoros Kolokotronis (1770 – 1843), a Greek historical hero serving as a metaphor for Greece herself. Based on a circular view of history, the film presents conflicting ideologies - primitive communism, anarchism, chiefdom or kingdom, personality cult - and shows the institutions of property and power in a bad light. 199 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7188"">DVD X7188Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0081148/"">Credits and other information from the Internet Movie DatabaseЖ","Greek Cinema"
"Antigone (Antigoni) (1961)","Directed by Yorgos Javellas (George Tzavellas). Featuring Irene Papas, Manos Katrakis. The Greek tragedy of Sophocles in which King Creon orders Antigone's death for burying her slain brother against the King's desire. 86 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3141"">DVD 3141Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:373"">vhs 999:373Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0055375/"">Credits and other information from the Internet Movie DatabaseЖ","Greek Cinema"
"Attila 1974: A Testimony on Film (Documentary, 1974)","Directed by Michael Cacoyannis (Mihalis Kakogiannis). In July 1974, the Turkish Army invaded the Republic of Cyprus, forcing thousands of Greeks into displaced persons camps and causing the deaths of thousands more. Upon hearing the devastating reports from his homeland, director Michael Cacoyannis rushed to Cyprus to document the events on film. Once there he interviewed political leaders as well as victims and refugees, providing a candid, personal look at the injustices imposed on an innocent people. 101 min. 

Reviews and articles:
â€¢149; Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+707"">DVD 707Ж","Greek Cinema"
"The Beekeeper (O melissokomos) (Greece | France | Italy, 1986)","Directed by Theodoros Angelopoulos. Cast: Marcello Mastroianni, Nadia Mourouzi, Serge Reggiani, Jenny Roussea. A melancholy drama portraying the mid-life crisis experienced by former teacher Spiros. Facing an empty and uncertain future following his retirement and his daughter's wedding, Spiros sets out from the north to the south of Greece in search of a warm spring climate for his colony of bees. Along the way he meets a girl hitchhiker and an unconventional relationship develops between the two. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7189"">DVD X7189Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0091506/"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
"The Cherry Orchard (Greece / Cyprus / France, 1999)","Directed by Michael Cacoyannis (Mihalis Kakogiannis). Cast: Charlotte Rampling, Alan Bates, Katrin Cartlidge, Owen Teale, Frances de la Tour, Michael Gough, Tushka Bergen, Ian McNeice, Xander Berkeley, Melanie Lynskey, Andrew Howard. Madame Ranevskaya returns to her decaying estate in pre-Revolutionary Russia after an exile in Paris. The estate and its beloved cherry orchard are threatened by Ranevskaya's financial problems. The family must either find their footing in a Russia turned upside down or flounder in a sea of longing and doubt, a luxury that they can literally no longer afford. From the play by Anton Chekhov. 141 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1790"">DVD 1790Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0144134/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149; Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж
â€¢149; Holden, Stephen. ""Grand but idle in old Russia, a state of denial."" (The Cherry Orchard) The New York Times Feb 22, 2002 pB1(N) pE1(L) col 1 (25 col in)
â€¢149; Jays, David. ""The Cherry Orchard/O Visinokipos/La Cerisaie."" (movie reviews) Sight and Sound Feb 2000 v10 i2 p42(1)
â€¢149; Kauffmann, Stanley. ""On Films - The Truth of Form."" (The Cherry Orchard) (movie review) The New Republic March 18, 2002 p26 Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A83774328&dyn=37!xrn_5_0_A83774328?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж
â€¢149; Marks, Peter. ""Chekhovian angst amid real trees: Michael Cacoyannis, attacking the Chekhov-can't-be-filmed curse, starts his own 'Cherry Orchard' with a lavish orchard."" The New York Times Feb 17, 2002 pAR12(N) pAR12(L) col 1 (35 col in)

","Greek Cinema"
"Days of '36 (Meres tou '36)(1972)","Directed by Theo Angelopoulos. Cast: Kostas Pavlou, George Kyritsis, Thanos Grammenos, Yannis Kandilas, Christoforos Himaras. Political and crime thriller set in Greece in 1936 and based on a true story. Concerns for political stability override concerns for justice or fair play at this chaotic time in Greek history. When the man convicted of murdering a politician protests his innocence of the crime by holding a lawman hostage in his cell, it creates a national crisis. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7184"">DVD X7184Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0068939/"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
