"Source:","http://www.lib.berkeley.edu/MRC/homelessnessmovies.html"
"
The Homeless, Hobos, Tramps, and Bums in the Movies


","See also:"
"â€¢149;Belton, John. ""Film Noir's Knights of the Road."" Bright Lights, November 2006 | Issue 54 Ѭ href=""http://www.brightlightsfilm.com/54/noirknights.htm"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Boyer, Jay. ""Superfluous People: Tramps in Early Motion Pictures."" In: Beyond the stars: Stock characters in American popular film (vol 1) / edited by Paul Loukides and Linda K. Fuller. Bowling Green, Ohio : Bowling Green University Popular Press, 1990 (Main Stack PN1995.9.C36.B49 1990; Moffitt PN1995.9.C36.B49 1990)","â€¢149;Brigham, William. ""Down and Out in Tinseltown: Hollywood Presents the Disposessed."" In: Beyond the stars Vol 5. Bowling Green, Ohio : Bowling Green University Popular Press, 1990. (Main Stack PN1995.9.C36.B49 1990; Moffitt PN1995.9.C36.B49 1990)","â€¢149;Fuller, Linda K. ""From Tramps to Truth-Seekers: Images of the Homeless in Motion Pictures."" In: Reading the homeless : the media's image of homeless culture / edited by Eungjun Min. Westport, Conn. : Praeger, 1999. (Main Stack P96.H62.R43 1999)","â€¢149;Kahana, Jonathan. ""The Forgotten Man; or, How Hollywood Invented Welfare."" Camera Obscura, 2006; 21: 74 - 107. Ѭ href=""http://cameraobscura.dukejournals.org/cgi/reprint/21/2_62/74?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=&fulltext=forgotten+man&searchid=1&FIRSTINDEX=0&sortspec=relevance&resourcetype=HWCIT"">Full-text of this article / review is available:UC users onlyЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"À Nous la liberté (France, 1931)","Directed by René Clair. Cast: Henri Marchand, Raymond Cordy, Rolla France, Paul Olivier, André Michand, Germaine Aussey, Jacques Shelly, Leon Lorin, William Burke, Vincent Hyspa. A landmark film in early sound production this is a left-wing satirical comedy about two ex-convicts, one of whom works his way up from salesman to factory owner. He oversees a highly mechanised operation where the workers are reduced to mere automatons. Blackmailed over his past, he joins up with his old cellmate, and the pair take to the road as tramps. Frequently acknowledged as the inspiration for Chaplin's ""Modern times."" Special feature: Entr'acte (1924), the classic surrealist short by Clair and artist Francis Picabia. 83 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1274"">DVD 1274Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:98"">vhs 999:98Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0022599/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149; Kramer, S.P. ""René Clair: Situation and Sensibility in A Nous la Liberté."" (Article). Literature/Film Quarterly XII/2, Apr 84; p.142-144.



See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/frenchbib.html#clair"">René Clair bibliographyЖ


","The Homeless, Hobos, Tramps, and Bums in the Movies"
"The Adventures of Billy(1911)","Directed by D. W. Griffith. Cast: Donald Crisp, Edna Foster, Joseph Graybill, Dell Henderson, Claire McDowell. The second in a series of rare silent films from the early film-making period of 1911-1915. Billy witnesses two tramps accidentally kill someone during a robbery. The tramps lock him up and decide that he must be killed, too. 18 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8450"">DVD 8450Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:573"">vhs 999:573Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0001469/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/GriffithBib.html"">D.W. Griffith bibliographyЖ

","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Ali Zaoua, prince de la rue (Morocco / Tunisia / France / Belgium, 2000)","Directed by Nabil Ayouch. Cast: Mounim Kbab, Mustapha Hansali, Hicham Moussoune, Abdelhak Zhayra, Said Taghmaoui, Amal Ayouch, Mohamed Majd, Hicham Ibrahimi, Khalil Essaadi, Abdessamad Tourab Seddam. Ali, Kwita, Omar, and Boubker are a group of street urchins living in the hard streets of Casablanca. In order to survive they create a bond of friendship and family between them. The bond is cut short when Ali is senselessly killed; his life taken by a single act of a rival gang. Ali's friends decide not to report his death to the police, who would have the boy buried in a potter's field. Instead they decide to give him a worthy burial, to bury Ali on the private island he so often dreamed of. Ali Zaoua captures the power of dreams and presence of hope in the harshest of circumstances. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1905"">DVD 1905Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0260688/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"The Battler(TV, 1955)","Directed by Arthur Penn. Cast: Dewey Martin, Paul Newman, Phyllis Kirk, Frederick O'Neal, Richard Collier. A television drama about a young man leaving home to go ""on the bum,"" who meets a crazed punch-drunk fighter and his giant companion. The story of how the fighter and his companion met and how the fighter went downhill fast after his wife left him creates a starkly realistic portrait of a way of life. Based on the short story The battler by Ernest Hemingway. Originally presented on Playwrights 56, October 18, 1955, NBC-TV. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9688"">Video/C 9688Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Beggars In Ermine (1934)","Directed by Phil Rosen. Cast: Lionel Atwill, Betty Furness, Henry B. Walthall, George 'Gabby' Hayes, Jameson Thomas, James Bush, Astrid Allwyn. John Dawson loses control of his factory when he is crippled in an accident caused by a rival. Destitute and reduced to panhandling, he travels the country organizing the homeless to help him regain control of his steel mill. Based on the novel by Esther Lynd Day. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6040"">DVD X6040Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0024870/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Beggars of Life(1928)","Directed by William A. Wellman. Cast: Wallace Beery, Louise Brooks, Richard Arlen, Blue Washington. After killing her treacherous step-father, a girl tries to escape the country with a young vagabond. She dresses as a boy, they hop freight trains, quarrel with a group of hobos, and steal a car in their attempt to escape the police, and reach Canada. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3097"">DVD X3097Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0018684/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Biao (The Watch) (China, 1949)","Directed by Zuo Lin. Cast: Zhao Qiansun, Han Mingde. Tells the story of a homeless orphan and the valuable watch he stole and how the watch affects those who come in contact with it. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9434"">DVD 9434Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Boudu sauvé des eaux (Boudu Saved From Drowning) (France, 1932)","Directed by Jean Renoir. Cast: Michel Simon, Marcelle Hainia, Severine Lerczynsha, Jean Gehret, Max Dalban, Jean Baste, Charles Granval. A well-off bookseller rescues a tramp from a suicidal plunge into the Seine and his family dedicates itself to reforming him. He shows his gratitude by shaking the household to its foundations, challenging the hidebound principles of his hosts. Special DVD features: Archival introduction by Jean Renoir; excerpt from a ""Cineastes de notre temps"" program, featuring Renoir and Michel Simon; new video interview with filmmaker Jean-Pierre Gorin; archival interview with Eric Rohmer; interactive map of 1930s Paris, featuring locations for the film; a new essay by Renoir scholar Christopher Faulkner. 87 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4359"">DVD 4359Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:118"">vhs 999:118Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0022718/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/renoir.html#boudu"">See separate bibliography of reviews and articles about this filmЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Bound for Glory(1999)","Directed by Hal Ashby. Cast: David Carradine, Ronny Cox, Melinda Dillon, Gail Strickland, Randy Quaid. Set against the grim backdrop of depression America, this film joyously celebrates the life of Woody Guthrie, America's great folk balladeer and poet. As he traveled across America his buoyant spirit and soul-rousing music surrounded him with a quiet strength enabling him to do battle with the social injustice which surrounded him. 149 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1038"">DVD X1038Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1749"">vhs 999:1749Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0074235"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Friedman, Lester. ""America Finds Its Voice: Bound for Glory."" In: American cinema of the 1970s : themes and variations / edited by Lester D. Friedman. New Brunswick, N.J. : Rutgers University Press, 2007. (Main Stack PN1993.5.U6.A8577 2007)
â€¢149;Green, Jim. ""Bound for Glory."" Cineaste, Summer77, Vol. 8 Issue 1, p36-37, 2p
â€¢149;Kauffmann, Stanley. ""Bound for Glory."" New Republic; 11/27/76, Vol. 175 Issue 22, p18-40, 2p

","The Homeless, Hobos, Tramps, and Bums in the Movies"
