"Source:","http://www.lib.berkeley.edu/MRC/imagesarabs.html"
"
The Movies, Race, and Ethnicity: Images of Arabs and the Middle East

This is a static page that is no longer maintained
","See also the following MRC Videographies:"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/MidEastVid.html"">The Middle EastЖ (documentary works)","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/MidEastfilm.html"">Middle Eastern cinemaЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesjews.html"">The Movies, Race, and Ethnicity: JewsЖ","This is a static page that is no longer maintained"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/arabbib.html"">Arabs in FilmЖ","This is a static page that is no longer maintained"
"","This is a static page that is no longer maintained"
"Abdul the Damned (UK, 1935)","Directed by Karl Grune. Cast: Fritz Kortner, Adrienne Ames. ""In 1908, Sultan Abdul Hamid rules the Turkish Empire, but he is faced with the threat of revolt by the Young Turk party. He allows Hilmi Pasha, the leader of the Young Turks, to return from exile and form the country's first constitutional government. With tensions still growing, chief of police Kadar Pasha assassinates Hassan Bey, the leader of the Old Turk party, and makes it look as if a Young Turk committed the crime, in order to give Abdul an excuse for arresting the Young Turk leaders. Meanwhile, Abdul becomes infatuated with a visiting Austrian singer. When she rejects his advances, she endangers both herself and her fiancé, a Turkish officer who also knows who really shot Hassan Bey."" [Ѭ href=""http://us.imdb.com/title/tt0026032/plotsummary"">IMDBЖ] 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4118"">DVD 4118Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0026032/"">Credits and other information from the Internet Movie DatabaseЖ","This is a static page that is no longer maintained"
"Adventure in Sahara (1938)","Directed by Samuel Fuller. Cast: Paul Kelly, C. Henry Gordon, Marc Lawrence, Lorna Gray, Robert Fiske. In this desert adventure, a cruel commander viciously rules a regiment of French foreign legionnaires. They tire of his brutality and rebel, stranding the despot and his few loyal soldiers in the burning sands with a few supplies. The deposed commander, vowing to return to civilization to have his revenge, eventually leads his men back to the lonely outpost and finds it under attack by Arab raiders. The soldiers inside take the leader back and he helps to vanquish the invaders. Later the ring leader of the mutineers is awarded a medal for his courage and then court-martialed for his crime. The leader too gets his just desserts when his second-in-command tells the court of his superior's cruelty. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2350"">DVD X2350Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0029841/"">Credits and other information from the Internet Movie DatabaseЖ","This is a static page that is no longer maintained"
"Adventures In Iraq (1943)","Directed by by D. Ross Lederman. Cast: John Loder, Ruth Ford, Paul Cavanagh. After their small plane runs out of gas, a pilot with the U.S. Flying Tigers and his two civilian passengers are forced to land near a remote area of Iraq populated with fanatic Arab devil worshippers. They come upon the mysterious Kingdom of Ghatsi where a wealthy and sophisticated Sheik welcomes them to his opulent palace. The three American realize, however, that they have become prisoners in the plush castle and that the Sheik is a Nazi collaborator with evil plans for their future. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6002"">DVD X6002Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0035610/"">Credits and other information from the Internet Movie DatabaseЖ","This is a static page that is no longer maintained"
"Adventures of Prince Achmed (Abenteuer des Prinzen Achmed) (Germany, 1927)","Directed by Karl Koch. The earliest extant feature-length animated film. Lotte Reiniger's delicately cut silhouettes against hand-tinted backgrounds are perfect for this adaptation of tales from the Arabian nights. 64 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5007"">DVD 5007Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2110"">vhs 999:2110Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0015532"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Bildhauer, Bettina. ""Animation and the human between animal and cyborg : Jester Till, Beowulf, The adventures of Prince Ahmed."" In: Filming the Middle Ages / Bettina Bildhauer. London : Reaktion Books, 2011 (Main (Gardner) Stacks PN1995.9.M52 B55 2011)
â€¢149;Irwin, Robert. ""A Thousand and One Nights at the Movies."" Middle Eastern Literatures; Jul2004, Vol. 7 Issue 2, p223-233, 11pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=14132550&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","This is a static page that is no longer maintained"
"Agony of Byzance (Agonie de Byzance) (France, 1913)","Directed by Louis Feuillade. A fictional film about the fall of Byzantium (Constantinople) in 1453. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2029"">DVD X2029Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0345747/"">Credits and other information from the Internet Movie DatabaseЖ
","This is a static page that is no longer maintained"
"Aladdin (Walt Disney Pictures, 1992)","Directors: Ron Clements and John Musker. An animated musical film set in the mythical city of Agrabah, the story follows a street-smart peasant, Aladdin, and his mischievous pet monkey, Abu, through magical adventures. Credits: produced and directed by John Musker, Ron Clements; co-producer, Donald W. Ernst; songs, Howard Ashman and Alan Menken, Alan Menken and Tim Rice. Special DVD features: Deleted song ""Proud of your boy"" performed by Clay Aiken; filmmakers' audio commentary; animators' audio commentary; the art of 'Aladdin'; Alan Menken: musical renaissance man; pop-up fun facts; Disney song selection: sing-along to your favorite songs; ""A whole new world"" music videos; ""A diamond in the rough: the making of 'Aladdin'""; deleted scenes; Disney's virtual DVD ride: Aladdin's Magic Carpet Adventure; Inside the Genie's lamp: never-before-seen 3-D tour; The Genie world tour: a hilarious trip around the world with the Genie; 3 Wishes Game: your fortune, revealed. 90 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8430"">DVD 8430Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1719"">vhs 999:1719Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0103639/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/disney.html#aladdin"">See separate bibliography of reviews and articles about this filmЖ
","This is a static page that is no longer maintained"
