"Source:","http://www.lib.berkeley.edu/MRC/imageslatinos.html"
"

LatinosЖ
"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html"">Chicanos/Latinos in the MoviesЖ"
"
","Against All Odds (Contra todo)(2006)","Directed by Michel Franco, Karim Raoul, Dora Peña, and Yuri Makino. Contents: Cyclone -- Crazy life -- Entre dos -- Night breeze -- El Soldado. In the tradition of Amores Perros, the stories in ""Contra todo"" paint a tapestry of experiences depicting Latino American life in the US. Faced with various obstacles, the characters risk everything to survive. Cyclone tells the story of Miguel growing up on the tough streets of New York. In Crazy Life, LA native Dulce's love for Chuy makes her question right and wrong. In Entre Dos, a doctor compromises his ethical code in order to save the life of his 10 year-old son. Traveling to Mexico City can be dangerous, especially in El Soldado, where Gabo's car gets towed, and he's stuck in a bad part of town. In Night breeze Alma is growing up and wanting to hang out with friends. When a border patrol police stops her demanding identification, her true origins are put to the test. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9504"">DVD 9504Ж"
"Alambrista! (The Illegal) (1977)","Directed by Robert M. Young. Cast: Domingo Ambriz, Trinidad Silva, Linda Gillin, Ned Beatty, Jerry Hardin, Julius Harris. After his daughter's birth, Roberto leaves his town in Michoacan to make money in the United States. He's ""an illegal,"" crossing into California and taking work wherever he can: picking strawberries, grapes, lettuce, and cucumbers. He hitchhikes, rides freight trains, and depends on the kindness of strangers. Near Stockton, things look up when a sympathetic waitress gives him a place to live and he gets a better job washing helicopters. But immigration raids are a constant possibility that can end stability. Depicts the harsh realities of Mexican life on both sides of the border. Special feature: Robert Young's 1973 documentary ""Children of the fields"" (26 min.) ; interviews with the director, composer of the new sound track, and scholars. Director's cut version (c2004) is a restored, resubtitled, rescored and longer version of the motion picture originally produced in 1977. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X521"">DVD X521Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0075654/"">Credits and other information from Internet Movie DatabaseЖ
"
"America 101(2005)","Directed by Mark A. Russell. Cast: Miguel Castro, Richard Azurdia, Christine Carlo, Gerald Brodin, Jordi Caballero, Louie Olivos Jr. When two brothers from a small Mexican town decide to cross the border and live the great ""American Dream,"" they get far less than they bargained for. Double-crossed by a smuggler, they find themselves alone in the desert. What follows is a strange and hilarious adventure as they make their way to Tucson, working as day-laborers and sleeping in the park, living as social outcasts. Filled with crazy characters and eye-opening truths. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6579"">DVD 6579Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0446082/"">Credits and other information from Internet Movie DatabaseЖ
"
"America, The Encounter(2002)","Directed and edited by José Garrotte. Cast: Oscar Rojas, Mireia Negre, Victor Viveros, Paula Tejeda. Examines the human experience and the individual's struggle for the understanding of his own soul through the eyes of a recently arrived hispanic immigrant and his disillusionment with America. The film communicates its message through poetry, dance, songs and painting. Based on the theatrical play by Oscar Rojas. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7383"">DVD X7383Ж"
"American Family. Season one.(TV, 2002)","Created by Gregory Nava. American Family, the first drama series to air on broadcast television featuring a Latino cast, reveals the enduring strength of family in America today as it chronicles the lives of the Gonzalez's, residents of East Los Angeles.Cast: Edward James Olmos, Sonia Braga, Constance Marie, Esai Morales, Raquel Welch, A.J. Lamas, Rachel Ticotin, Austin Marques.","â€¢149; Episodes 1-4. Contents: American family (Pilot) -- The sewing machine -- Crash boom love, parts 1 & 2. Creator/executive producer/director, Gregory Nava. ca. 180 min. 4 episodes of the first season, broadcast on PBS 1/23/02 - 3/27/02. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2142"">DVD 2142Ж","â€¢149; Episodes 5-8. Contents: La estrella (The star) -- La llorona, parts 1 & 2 -- Circle of fire. 4 episodes of the first season, broadcast on PBS 1/30/02 - 2/27/02. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2143"">DVD 2143Ж","â€¢149; Episodes 9-12. Mexican revolution -- The forgotten war -- La cama (The bed) -- Citizen Cisco. 4 episodes of the first season, broadcast on PBS 5/1/02 - 5/22/02.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2144"">DVD 2144Ж","â€¢149; Episodes 13-16. Contents: Silence of God -- The father -- The glass ceiling -- The fighting Fridas. 4 episodes of the first season, broadcast on PBS 5/29/02 - 7/31/02. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2145"">DVD 2145Ж","â€¢149; Episodes 17-19. Contents: The barbershop -- The masked eagle, parts 1 & 2. 3 episodes of the first season, broadcast on PBS 8/7/02 - 8/21/02. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2146"">DVD 2146Ж","â€¢149; Episodes 20-22. Contents: The journey, parts 1 & 2 -- La casa (The house). 3 episodes of the first season, broadcast on PBS 8/28/02 - 9/18/02. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2147"">DVD 2147Ж"
"American Fusion (2005 )","Directed by Frank Lin. Cast: Esai Morales, Sylvia Chang, Pat Morita, Collin Chou. Yvonne is a divorced middle-aged Chinese immigrant who thinks her life is over, doomed to spend the rest of her days as a slave to her large and eccentric family. Suddenly, romance enters her life and Yvonne gets a long deferred chance for true love. Cultures collide as she falls for the last person a Chinese family would ever accept, Jose, a Mexican-American dentist. A warm-hearted satire of ethnic stereotypes and family relationships providing nonstop laughs. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X872"">DVD X872Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0448989/"">Credits and other information from the Internet Movie DatabaseЖ"
"American Me (1992)","Directed by Edward James Olmos. Cast: Edward James Olmos, William Forsythe, Pepe Serna, Evelina Fernandez. Inspired by a true life story, this is the story of a vicious Latino prison gang leader, Santana, who becomes the leader of the Mexican Mafia while in Folsom prison and is doomed by his past to a life of harsh, unforgiving violence after his release from jail. 125 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6697"">DVD 6697Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1112"">vhs 999:1112Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0103671/"">Credits and other information from Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html#americanme"">See separate bibliography of reviews and articles about this filmЖ"
"Amexicano (1994)","Directed by Matthew Bonifacio. Cast: Carmine Famiglietti, Raúl Castillo, Jennifer Peña, Michael Aronov, Manny Perez. When blue-collar Italian-American Bruno loses his job, he finds himself working alongside illegal aliens in the landscaping business. After befriending Ignacio and his wife Gabriela, he develops a respect and admiration for them as they work to improve their lives, but the specter of deportation continues to loom large. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5342"">DVD X5342Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0867241/"">Credits and other information from Internet Movie DatabaseЖ"
"And the Earth Did Not Swallow Him (1994)","Directed by Severo Perez. Cast: José Alcala, Rose Portillo, Marco Rodriquez, Daniel Valdez. ""The year is 1952. A Mexican American family is struggling to survive, working as migrant laborers in fields from Texas to Minnesota. The younger son, Marcos, is a sensitive 12-year-old who is forced to confront the ineluctable facts of his life - grinding poverty, back-breaking work, racism, hopelessness. He manages to pull himself out of his miserable life, eventually becoming a professor and author of a landmark work of Chicano literature, ""And the Earth Did Not Swallow Him."""" (Gary Kamiya, San Francisco Examiner, Sept. 22, 1995). 99 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X648"">DVD X648Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1610"">vhs 999:1610Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0108999/"">Credits and other information from Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html#earthdid"">See separate bibliography of reviews and articles about this filmЖ
"
