"Source:","http://www.lib.berkeley.edu/MRC/journalistsmovies.html"
"
Journalists & the Media in the Movies

"
"

Bibliography on this topic: 
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/journalistsbib.html"">Journalists and the Media in the MoviesЖ

","Journalists & the Media in the Movies"
"Absence of Malice (1981)","Directed by Sydney Pollack. Cast: Paul Newman, Sally Field, Bob Balaban, Melinda Dillon, Luther Adler, Barry Primus, Josef Sommer, John Harkins, Don Hood, Wilford Brimley. Megan, an ambitious newspaper reporter, based on information from an FBI investigator, writes a scathing article that implicates Gallagher, a reclusive business-owner in the recent disappearance of a labor leader. When Gallagher confronts Megan and sets her straight, the two team together to prove his innocence. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2331"">DVD 2331Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0081974/"">Credits and other information from the Internet Movie DatabaseЖ","Journalists & the Media in the Movies"
"Ace in the Hole (1951)","Directed by Billy Wilder. Cast: Kirk Douglas, Jan Sterling, Bob Arthur, Porter Hall, Frank Cady, Richard Benedict, Ray Teal, Frank Jaquet. An early look at the impact of mass media in the public arena. Ex-New York reporter Charles Tatum (Kirk Douglas) lands a job on a Albuquerque newspaper in hopes that a sensational story will return him to the big time. When a man is trapped in an Indian cave, Tatum conspires with an unscrupulous sheriff to keep him there until the story can build to national proportions, which it does. Special features (Disc 2) : ""Portrait of a 60% perfect man"", featurette (includes in-depth interviews with Wilder by film critic Michel Ciment (60 min.)); excerpts from a 1986 appearance by Wilder at the American Film Institute (24 min.); a 1984 interview with Douglas by Michael Thomas (14 min.); excerpts from a 1970 audio interview with co-scriptwriter Newman (10 min.); new video afterword by filmmaker Spike Lee (6 min.); gallery of production stills and behind-the-scenes photos. Program notes on container insert include an essay ""Noir in broad daylight"" by writer and film critic Molly Haskell, and an essay ""Chin up for mother"" on actor Kirk Douglas by director Guy Maddin. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8311"">DVD 8311Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0043338/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/wilderbib.html#ace"">See separate bibliography of reviews and articles about this filmЖ","Journalists & the Media in the Movies"
"All the President's Men (1976)","Directed by Alan Pakula. Cast: Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam, Hal Holbrook, Jason Robards, Jane Alexander. A dramatic reconstruction of the true story of the discovery of the White House link with the Watergate affair by two young reporters from the Washington Post. 127 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1045"">DVD 1045Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:451"">vhs 999:451Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0074119/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors

â€¢149;National Board of Review, USA - Best Film; Best Director; Best Supporting Actor (Jason Robards)
â€¢149;National Society of Film Critics Awards, USA - Best Film; Best Supporting Actor (Jason Robards)
â€¢149;New York Film Critics Circle Awards - Best Film; Best Director; Best Supporting Actor (Jason Robards)
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#presidentsmen"">See separate bibliography of reviews and articles about this filmЖ","Journalists & the Media in the Movies"
