"Source:","http://www.lib.berkeley.edu/MRC/katrina.html"
"
Hurricane Katrina
"
"
Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/about.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/access.html"">Ж

Ѭ href=""http://www.lib.berkeley.edu/MRC/moviedb.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/FilmBibMenu.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/Catalogs/"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/filmstudies/index.html"">Ж","
"
"

See also:
â€¢149;Walker, Janet. ""Moving testimonies and the geography of suffering: Perils and fantasies of belonging after Katrina."" Continuum: Journal of Media & Cultural Studies; Feb2010, Vol. 24 Issue 1, p47-64, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=47760497&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


"
"The Axe in the Attic","In the aftermath of Hurricane Katrina, two filmmakers, drawn together by outrage, take a sixty-day road trip from New England to New Orleans. Along the way they meet evacuees and witness the loss, dignity, perseverance and humor of people who have become exiles in their own country. The breakdown of trust between a government and its citizens, the influence of race, class, and gender, as well as the ethics of documentary filmmaking itself, form the backdrop for this universal story of the search for home. Directed, and written by Lucia Small and Ed Pincus. 2007. 110 min. 

Related web sites:
â€¢149;Ѭ href=""http://cinemaguild.com/catalog/index.html?http%3A//cinemaguild.com/catalog/african_american.htm"">Description from Cinema Guild catalogЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X195"">DVD X195Ж"
"Big Easy to Big Empty: The Untold Story of the Drowning of New Orleans","Reporter Greg Palast investigates the government's management of planning and relief for Hurricane Katrina. On his arrival to view the relief efforts, he discovers the population of New Orleans is minuscule, the reconstruction sparse, suicide rates climbing, and that many citizens have not, or even know how to return to the city that care forgot. Special features: ""Tomorrow's New Orleans: whose city will it be?"", a half-hour conversation with Amy Goodman and Greg Palast; excerpt on Katrina and New Orleans from Palast's book, Armed madhouse; extended interviews from LSU's Hurricane Center; booklet featuring ""Busted"" report by Greg Palast; Crescent City Music, the ""New Orleans comes alive, one year later"" slideshow. Filmed and edited and co-produced by Big Noise Tactical Media. 2006. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8325"">DVD 8325Ж"
"Homelessness Marathon, February 15-16, 2006, Atlanta, Georgia (The Ninth Annual)","A marathon radio program of issues surrounding homelessness in America with interviews and panel discussions by service providers, authors in the field, and homeless persons. This program broadcast from Atlanta, Georgia includes three segments on the experiences of homeless persons during the devastation of Hurricane Katrina. 14 sound discs (ca. 14 hrs.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FD+234"">Sound/D 234Ж"
"If God is Willing and da Creek Don't Rise","This follow-up to director Spike Lee's documentary, When the levees broke: a requiem in four acts, focuses on the rebuilding efforts in New Orleans, five years after the devastation of Hurricane Katrina. Bookending stories of individual heartache and perseverance are two momentous events: the historic 2010 Super Bowl victory by the New Orleans Saints and the disastrous British Petroleum oil spill in the Gulf of Mexico. Contents: Disc 1: Feature, Part 1 (ca. 120 min.) -- Special feature: Optional audio feature commentary by Spike Lee ; Disc 2: Feature, Part 2 (ca. 120 min.) -- Special features: Optional audio feature commentary by Spike Lee -- Pickin' up da pieces (ca. 67 min., 2010) ; featurette with never-before-seen interviews ; directed by Spike Lee; editor, Barry Alexander Brown). Director, Spike Lee. 2010. 240 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6859"">DVD X6859Ж"
"Inside Hurricane Katrina","Hurricane Katrina's path and power were known and its arrival was also known. Yet, somehow, when it slammed into the Louisiana coast with Category 4 winds and an equally strong storm surge, no one was prepared for the chaos it unleashed. Using comprehensive analysis of events, hours of government audio tapes, and personal interviews, sheds new light on the fateful decisions of those in charge and the struggles of those fighting to survive its impact. c2005. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5530"">DVD 5530Ж"
"The Katrina Experience. Disc 1, A Compilation of Short Films","An eye in the storm (USA, 2006, 20 min.) / directed by Neil Alexander -- Still standing (USA, 2006, 7 min.) / directed by Paola Mendoza -- New Orleans furlough (USA, 2006, 10 min.) / directed by Amir Bar-Lev -- After Katrina: rebuilding St. Bernard Parish (USA, 2006, 22 min.) / directed by Adam Finberg. Eye on the storm: A stunning video diary offering up first person accounts that go way beyond the television coverage, beginning from the day the hurricane barreled its way into the lives of New Orleans' residents through their struggles to make sense of the aftermath. Still standing: A filmmaker comforts her Columbian grandmother as they examine the wreckage of her home in Waveland, Mississippi after the hurricane. The vulnerability of the foreign and the elderly is poignantly revealed, as well as this grandmother's surprisingly indomitable spirit. New Orleans furlough: A member of the National Guard returns from Iraq and sees in New Orleans' devastation a new mission. But his personal demons make him as dysfunctional as our own government was in coping with the tragedy. After Katrina: rebuilding St. Bernard Parish: A sensitive elegy to a working-class community's destroyed neighborhood and its passionate commitment to rebuild. We are offered intimate views of the nitty-gritty challenges that confront its residents. 2006. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6048"">DVD 6048Ж"
"The Katrina Experience. Disc 2, Desert Bayou","During Hurricane Katrina, without their knowledge, nearly 600 African Americans were airlifted to the almost entirely white state of Utah. This film seeks to examine whether two cultures can come together in a time of utter chaos, or whether their differences will prove too great a challenge to overcome. In their own words, evacuees tell how they survived the storm of the century only to end up at a military installation in the deserts of Utah. 2006. 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6049"">DVD 6049Ж"
"The Katrina Experience. Disc 3, New Orleans Music in Exile","Like their neighbors, the legendary New Orleans music community was devastated by Hurricane Katrina and its aftermath. Music documentarian Robert Mugge creates an emotional portrait of horror, heartbreak, and hope as the musicians who lived through the disaster pick up the pieces and try to rebuild their lives. New Orleans artists comment on how broken levees, flood, looting, and black mold wreaked havoc on music and life in this colorful city. Directed by Robert Mugge. 2006. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6050"">DVD 6050Ж"
"The Katrina Experience. Disc 4, Tim's Island","On August 29, 2005, when Hurricane Katrina hit the Gulf Coast, sixteen people, seven dogs and eight cats took shelter in Tim's loft in an old dairy in New Orleans. When the levees broke, they found themselves surrounded by eight feet of water with a clear view of others stranded and access to news reports of the dire circumstances at the Superdome -- meanwhile, they had to find a way to survive. A wry study of group behavior under severe stress as Tim's houseguests cope with survival. 2006. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6051"">DVD 6051Ж"
