"Source:","http://www.lib.berkeley.edu/MRC/labormovies.html"
"
Labor Themes in the Movies and on TV

"
"

See also:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/corporationsmovies.html"">Corporations, Wall Street, and Sundry Capitalism in the MoviesЖ



Bibliography on this topic: 
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/labormoviesbib.html"">Labor Themes in the MoviesЖ

","Labor Themes in the Movies and on TV"
"Arsenal (Soviet Union, 1928-29)","Directed by Alexander Dovzhenko. Based on an actual incident, this is a dramatic account of the Ukraine from the First World War through the February and October Revolutions, to the suppression of a workers' revolt in 1918. Dovzhenko presents harsh, realistic scenes of Czarist brutality and war's destruction, but his juxtapositions of the Russian workers and peasants are both impressionistic and symbolic. 75 min. ;  (digitally mastered)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8448"">DVD 8448Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2101"">vhs 999:2101Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0019649/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#dovzhenko"">Dovzhenko bibliographyЖ


","Labor Themes in the Movies and on TV"
