"Source:","http://www.lib.berkeley.edu/MRC/language.html"
"
Language and Communication

"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/LifeSciVid.html"">Life SciencesЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/PsychVid.html"">PsychologyЖ","Language and Communication"
"Adventure of English: 500 A.D. to 2000 A.D.","2004.","â€¢149; Program 1: Birth of a Language. Melvyn Bragg begins the story of English in Holland, finding ancestral echoes in the Frisian dialect. What follows is a chapter on survival as the English language weathers Viking and Norman invasions, vying with and eventually absorbing rival tongues. Lively settings such as village pubs and markets bring home the lasting influence of Anglo-Saxon, Old Norse, and Old French. The connection between Christianity, Latin, and an alphabet is explored, as well as the role of the language's first champion, King Alfred the Great. Nobel prize-winning poet Seamus Heaney reads from and discusses the first epic in English, Beowulf. 51 min.  English goes underground","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2947"">DVD 2947Ж","â€¢149; Program 2: English Goes Underground. With the Norman invasion, English became a third language in its own country, behind French and Latin. In this program, Melvyn Bragg examines the impact of Old French on the development of English. Manuscripts, tapestries, and dozens of curious etymologies help illustrate a tremendous influx of vocabulary pertaining to romance, chivalry, and, of course, food. The influence of Eleanor of Aquitaine's partronage is heard in works of poets and troubadours as the cult of courtly love flourished in England. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2948"">DVD 2948Ж","â€¢149; Program 3: The Battle for the Language of the Bible. In late medieval England, English quietly ousted French in law and government, but the move to make it God's language meant bloodshed. This film looks at the battle for a Bible in English, a struggle with huge impact on the language itself. Dramatic readings from successive English Bibles show the language's evolution. Location footage and original manuscripts illustrate key figures and events, such as John Wycliffe, the Lollards, and the first English Bible; William Langland's Piers Plowman; Henry V's official letters, the role of the Chancery or the English civil service; William Caxton's printing press; William Tyndale's translation; and the King James Bible. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2949"">DVD 2949Ж","â€¢149; Program 4: This Earth, This Realm, This England.No single person has shaped English more than William Shakespeare. This menu-powered DVD uses unparalleled access to some of the greatest English texts, including the first English dictionary and a rare first folio of Shakespeare's plays, to illustrate the great Bard's influence. John Barton, honorary associate director of the Royal Shakespeare Company, discusses the sound and accessibility of Shakespeare's words. His impact is also examined in the larger context of Elizabethan England and the Renaissance. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2950"">DVD 2950Ж","â€¢149; Program 5: English in America.When Massasoit hailed the Plymouth settlers in their own language, they might have taken it as a sign that English would dominate the New World. Packed with surprising etymologies and intriguing stories, this enhanced DVD traces the dynamic relationship between English and America, exploring the linguistic influence of westward expansion, cowboy culture, slave culture, and encounters with the French and Spanish languages. Key works examined include The New England Primer and Webster's The American Spelling Book. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2951"">DVD 2951Ж","â€¢149; Program 6:Speaking Proper. This menu-driven DVD follows English through the 18th and 19th centuries, from attempts at reforming and standardizing the tongue in the Age of Reason to the soaring verse of Romanticism and the verbal prudishness of the Victorian era. Linguistic milestones are highlighted by original editions of critical texts, including Newton's Opticks, Samuel Johnson's Dictionary of the English Language, Thomas Sheridan's British Education, and George Bernard Shaw's Pygmalion. Other key figures discussed include Jonathan Swift, Robert Burns, Jane Austen, And William Wordsworth. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2952"">DVD 2952Ж","â€¢149; The Language of Empire. ""Amok,"" ""boomerang,"" ""bungalow,"" ""bangle,"" ""dumdum,"" ""plonk,"" ""assassin"" -- These are some of the many words that have entered English by way of colonial expansion. This enhanced DVD explores how the British Empire exported its language around the globe and how different forms of speech and vocabulary, as well as different attitudes to English, developed out of colonial expansion. Rich variations of dialect, accent, and slang are heard in many samples from India, the Caribbean, and Australia. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2953"">DVD 2953Ж","â€¢149; Many Tongues Called English, One World Language. Explores how America's rise as an economic power made it the driving force behind the spread of English in the 20th century. A world tour illustrates how English has mixed with other languages - from ""Franglais"" in France to ""Singlish"" in Singapore - and how the dollar's power, coupled with the lure of consumerism, has made English the international trade language. Bringing it full circle, host Melvyn Bragg returns to the British Isles to survey English as it is spoken now, measuring the influence of American slang and vocabulary from other languages. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2954"">DVD 2954Ж","Language and Communication"
"American Tongues","Illustrates various dialects of the English language within the United States and various attitudes about regional, social, and ethnic differences in American speech. A videotape by Andrew Kolker and Louis Alvarez. 57 min.  

Related web sites:
â€¢149; Ѭ href=""http://www.cnam.com/downloads/amt_ts.html"">Transcript of this programЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7571"">DVD 7571Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+993"">Video/C 993Ж","Language and Communication"
"Angst & Nirvana: A Film About Two Words.","Utilizing personal narratives, lighthearted irony and mockery, film explores the limits/potential of language by examining the meaning of two words: Angst [and] Nirvana. 1990. 12 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3200"">Video/C 3200Ж","Language and Communication"
"Are We Different?: Young African Americans Talk About Cultural Difference and Race in America.","Film gives voice to African-American students around the country as they articulate issues of race, racisim, and race relations. The discussion ranges from whether stylistic differences between whites and blacks are superficial or profound, and the causes and nature of anger and frustration in the black community. Students also question why ""blackness"" is suddenly so fashionable and talk about black culture with its special speech patterns and gestures and black sprituality and energy. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X8624"">DVD X8624Ж","Language and Communication"
"Best Storytellers in the West. (UCB student film)","Examines the role of storytelling in deaf culture and shows deaf storytellers signing stories. 1994. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3754"">Video/C 3754Ж","Language and Communication"
"Bilingual Education.","This program examines efforts to increase literacy levels and English language skills among Latinos. It also looks at both the use of non-Spanish speakers as bilingual education teachers and the increasing opportunities for Spanish speakers in the workforce. 1991. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2870"">Video/C 2870Ж","Language and Communication"
"The Birth of Language","Explores the history and development of language from the time when early humans began to have the need to communicate, through the development of speech in modern infants. In interviews with anthropologists Sherwood Washburn and Jane Goodall, considers communication in animals. Also depicts an ape using sign language, artwork of hominoids digging for food and making tools, and anatomical models of the speech mechanism. Director, Paul Jay. 1987. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3633"">DVD X3633Ж","Language and Communication"
"Border Brujo.","A performance art monolog which examines linguistic and cultural stereotypes that create ""borders"" between people. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3455"">Video/C 3455Ж","Language and Communication"
