"Source:","http://www.lib.berkeley.edu/MRC/lawfilms.html"
"

Lawyers and the Legal Process in the Movies


"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/lawyersbib.html"">ЖѬ href=""http://www.lib.berkeley.edu/MRC/prisonfilms.html"">Prison MoviesЖ","Lawyers and the Legal Process in the Movies"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/lawyerbib.html"">Bibliography of articles/books about lawyers and the legal process in the moviesЖ","Lawyers and the Legal Process in the Movies"
"","Lawyers and the Legal Process in the Movies"
"12 (Russia, 2007)","Directed by Nikita Mikhalkov. Cast: Sergey Makovetsky, Nikita Mikhalkov, Sergei Garmash, Valentin Gaft, Alexei Petrenko, Yuri Stoyanov, Sergey Gazarov, Mikhail Efremov, Alexei Gorbunov, Sergey Artsbashev, Victor Verzhbitsky, Roman Madyanov, Alexander Adarashian. Set in contemporary Moscow where 12 men must decide the fate of a young man accused of murdering his step-father. Consigned to a makeshift jury room, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1875"">DVD X1875Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0488478/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Lane, Anthony. ""12"" New Yorker, 3/16/2009, Vol. 85 Issue 5, p36-36 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=36975555&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Toumarkine, D. ""12."" Film Journal International v. 112 no. 3 (March 2009) p. 41 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fcafef41cd6dade1191aa2a9b47ed9bab7b894c6fb0654496ad&fmt=P%20Toumarkine,%20D.%2012.%20Film%20Journal%20International%20v.%20112%20no.%203%20(March%202009)%20p.%2041"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rapold, Nicolas. ""12"" Film Comment, Mar/Apr2009, Vol. 45 Issue 2, p73-73, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=37007895&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Smorodinska, Tatiana. ""Rule of law vs. 'Russian justice': Nikita Mikhalkov's 12."" Studies in Russian & Soviet Cinema, 2010, Vol. 4 Issue 2, p161-170, 10p Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fca8b74cd13f59cd9df1a3db98763ae15a60a85ac84262c217f&fmt=P%20Smorodinska,%20T.%20Rule%20of%20law%20vs.%20'Russian%20justice':%20Nikita%20Mikhalkov's%2012%20[Part%20of%20a%20special%20section:%20The%20theme%20of%20retribution%20in%20contemporary%20Russian%20cinema].%20Studies%20in%20Russian%20&%20Soviet%20Cinema%20v.%204%20no.%202%20(2010)%20p.%20161-70"">Full-text of this article / review is available:UC users onlyЖ

","Lawyers and the Legal Process in the Movies"
"The Accused (1988)","Director, Jonathan Kaplan. Cast: Kelly McGillis, Jodie Foster, Bernie Coulson, Leo Rossi, Carmen Argenziano. fiercely independent woman is gang raped, then battles the legal system twice, going after both her attackers and the onlookers whose cheering fueled and encouraged the assault. 110 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5279"">DVD X5279Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2338"">vhs 999:2338Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0094608"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Lucia, Cynthia A. Barto. ""Feminist Address and Spectatorship in The Accused, Love Crimes, and Female Perversions."" In: Framing female lawyers : women on trial in film / Cynthia Lucia. Austin : University of Texas Press, 2005. (Main (Gardner) Stacks PN1995.9.J8 L83 2005)
â€¢149;Fleck, Patrice ""The Silencing of Women in the Hollywood ""Feminist"" Film: The Accused."" Post Script 9: 49 (Summer 1990).
â€¢149;Kolker, Robert Phillip. """"Your Brains Don't Show a Bit"": Double Readings of The Accused."" Film Criticism, Winter84/85, Vol. 9 Issue 2, p28-40, 13p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31286241&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Lawyers and the Legal Process in the Movies"
"Adam's Rib (1949)","Director, George Cukor. Cast: Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell. A romantic comedy in which husband and wife are lawyers on opposite sides of an attempted murder case. 61 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2320"">DVD 2320Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:100"">vhs 999:100Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0041090"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


Ѭ href=""http://www.lib.berkeley.edu/MRC/cukor.html#adam"">See separate bibliography of reviews and articles about this filmЖ","Lawyers and the Legal Process in the Movies"
"Ally McBeal","SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html#legal"">TV Programs: Legal DramaЖ","Lawyers and the Legal Process in the Movies"
"American Tragedy (TV, 2000)","Directed by Steven Spielberg. Cast: Ving Rhames, Ron Silver, Bruno Kirby, Darryl Alan Reed, Nicholas Pryor, Robert LuPone, Ruben Santiago-Hudson, Diana LaMar, Sandra Prosper, Clyde Kusatsu, Christopher Plummer. This is the story the public never saw of four high profile attorneys, Johnnie Cochran, Robert Shapiro, Barry Scheck and F. Lee Bailey in the O. J. Simpson murder trial. What started as a cohesive defense team ends up as a fractured and tarnished group of disagreeing attorneys vying for the spotlight and focusing as much on their egos as their defense of Simpson. The film is interspersed with real footage of the media coverage. Based on the book ""American tragedy"" by Lawrence Schiller and James Willwerth. Special features (Disc 2): O.J. Simpson documentary ; trial evidence. 171 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+923"">DVD 923Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0250135"">Credits and other information from the Internet Movie DatabaseЖ
","Lawyers and the Legal Process in the Movies"
"AmistadЖ (1998)","Directed by Steven Spielberg. Cast: Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, David Paymer, Pete Postlethwaite, Stellan Skarsgard. Based on true events, this film chronicles the 1839 revolt on board a slave ship bound for America. When the ship, La Amistad, is recaptured the Black Africans are brought to the United States where they are charged with murder. Much of the story involves the court-room drama about the slave who led the revolt, a battle that captured the attention of the entire nation, confronting the foundations of the American justice system. 155 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+956"">DVD 956Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1997"">vhs 999:1997Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0118607/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/amistad.html"">See separate bibliography of reviews and articles about this filmЖ
","Lawyers and the Legal Process in the Movies"
