"Source:","http://www.lib.berkeley.edu/MRC/mixedracevid.html"
"
People of Mixed Race
Interracial Marriage/Dating/Families



"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African American VideographyЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American VideographyЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/mixedracemovies.html"">The Movies, Race, and Ethnicity: Interracial Marriage & RelationshipsЖ","People of Mixed Race
Interracial Marriage/Dating/Families"
"
","People of Mixed Race
Interracial Marriage/Dating/Families"
"After the Immigrant. Disc 2, Topics and Themes","A compilation of six short documentaries each with a variety of segments addressing issues in the overall theme of each film. Presents a unique mixed race persepective on the cultural shifts of people whose families moved from Mexico to the United States during the 20th and 21st centuries addressing a wide spectrum of issues and representations. Contents: History (10 segments, 41 min.) -- Cultural identity (14 segments, 46 min.) -- Family dynamics (8 segments, 24 min.) -- National ethnic identity (9 segments, 27 min.) -- Mix race perspectives (5 segments, 19 min.) -- Storytime (5 segments, 14 min.) 2005. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X102"">DVD X102Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Amerasians.","This documentary film consists of interviews in Vietnam and the U.S. with some of the more 100,000 children of U.S. soldiers born to Vietnamese mothers during the Vietnam War. Most of the Amerasians portrayed in the film have moved to the United States under the Amerasian homecoming act of 1987, which permitted the children of American soldiers to immigrate to the United States with their immediate relatives. They talk of the discrimination they experienced growing up in Vietnam, issues of identity and their struggles to adapt to American society. Directed by Erik Gandini. Dist.: Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. 1998. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9396"">Video/C 9396Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"An American Love Story.","Documentary condensed from 1000 hours of filming the bi-racial Wilson Sims family: Karen Wilson, a white woman, Bill Sims, a black man, and their two daughters--daughter Cicily's entrance to college, her semester in Nigeria, and job search, daughter Chaney's first date, Karen Wilson's solitary visit to her mother, and ill health, Bill Simms' visit to his past life, and career struggles, and, 25 years after their first meeting, Karen and Bill's deciding to attend her high school reunion to face people who have ostracized them in the past. Contents: v. 1. Episode 1. Welcome to America. Episode 2. A piece of the puzzle is missing -- v. 2. Episode 3. I've fallen and I can't get up. Episode 4. It's another new year and I ain't gone -- v. 3. Episode 5. Chaney & the boy. Episode 6. You & me against the world -- v. 4. Episode 7. True love. Episode 8. Marion truth -- v. 5. Episode 9. It's my job. Episode 10. We were never Ozzie and Harriet. 1999. ca. 500 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6503"">Video/C 6503Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/afamdocbib.html#lovestory"">See separate bibliography of reviews and articles about this filmЖ
","People of Mixed Race
Interracial Marriage/Dating/Families"
"Banana Split: 25 Stories.","In this film Kip Fulbeck focuses on biracial ethnicity exploration and Asian self-identity. He examines the relationship between his father who is Caucasian and his mother who is Asian and also explores ethnic patterns and media stereotypes of Asian American men. 37 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4563"">DVD X4563Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2522"">Video/C 2522Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Between: Living in the Hyphen","In Canada, diversity often means 'an ethnicity + a hyphen + Canadian,' but what if you ... don't fit into an obvious category? What if your background is a hybrid of ancestries and you live ... somewhere in between, where cultural identities overlap? This program shares the experiences of a group of Canadians with one parent from a European background and one from a visible minority, all struggling to find a satisfying frame of reference and cultural identity. Directed and written by Anne Marie Nakagawa. 2005. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2946"">DVD X2946Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Between Worlds.","This unique documentary explores the lives of several Vietnamese Amerasians (children of Vietnamese women and American servicemen) and their families who left Vietnam in 1992 through the Orderly Departure Program. Each of the families was sent to a refugee camp in the Philippines for 6 months of ESL and cultural orientation. The film details their experiences in the camp, and their arrival in different regions of this country. It then follows their lives for 5 more years as they struggle to learn English, find jobs and pursue their educations and for one Amerasian, to be re-united with his American father. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6118"">Video/C 6118Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Bittersweet.","Interviews with East Indians living in the United States and with Americans of East Indian descent are intercut with fictional exchanges between members of an Indian-American family. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4184"">Video/C 4184Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"The Body Beautiful.","Film situated in England examines the relationship between a Caucasian mother and her bi-racial Caucasian/Nigerian daughter. 1991. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3274"">Video/C 3274Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Camp Arirang.","Filmmakers explore prostitution near American military bases in South Korea and examine the lives of the sex workers and their Amerasian children who live in U.S. camp towns throughout South Korea. Through interviews with the workers, soldiers and scholars the film examines the historical roots of the problem and the complicity of the Korean and American governments. 1995. 28 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.28&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5299"">Video/C 5299Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
