"Source:","http://www.lib.berkeley.edu/MRC/moviesaboutmovies.html"
"

Movies About Filmmaking and Hollywood /
Movie Parodies and Homages


Contents:
"
"â€¢149;Ѭ href=""#movies"">Movies About Movies and FilmmakingЖ","â€¢149;Ѭ href=""#parodies"">Movie Genre Parodies and Movie HomagesЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/mockumentaries.html"">MockumentariesЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/moviesaboutmoviesbib.html"">Movies about MoviesЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"","
Movies About Movies and FilmmakingЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"2LDK (Japan, 2003)","Director, Yukihiko Tsutsumi. Cast: YMaho Nonami, Eiko Koike, Daisuke Kizaki. Two actresses who share an apartment in Tokyo are in fierce competition with each other. As they vie for the same film role and the same boyfriend, their petty squabbles escalate to all-out war as they resort to violence to settle their dispute. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9675"">DVD 9675Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0362387/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Abbott and Costello in Hollywood (1945)","Director, S. Sylvan Simon. Cast: Bud Abbott, Lou Costello, Frances Rafferty, Robert Stanton, Jean Porter, Warner Anderson, ""Rags"" Ragland, Mike Mazurki. Bud and Lou turn Hollywood inside out with their pranks and comedy as they play the role of two barbers who want their own shop in Hollywood and try to raise money by becoming talent agents. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7449"">DVD 7449Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0037492/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Adaptation(2002)","Directed by Spike Jonze. Cast: Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton, Cara Seymour, Brian Cox, Judy Greer, Maggie Gyllenhaal.Blends fictional characters and situations with the lives of real people: obsessive orchid hunter John Laroche, ""New Yorker"" journalist Susan Orlean, Hollywood screenwriter Charlie Kaufman and his twin brother Donald. As Charlie struggles to adapt a best-selling book, he writes himself into the movie plot. 114 min. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2813"">DVD 2813Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0159259/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/kaufman.html#adaptation"">See separate bibliography of reviews and articles about this filmЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"And Starring Pancho Villa as Himself (2003)","Directed by Bruce Beresford. Cast: Antonio Banderas, Eion Bailey, Matt Day, Michael McKean, Colm Feore, Alexa Davalos, Anthony Stewart Head, Alan Arkin, Jim Broadbent. The true story of how Mexican revolutionary Pancho Villa allowed a Hollywood crew to film him in battle, altering the course of film and military history in the process. Early movie giants D.W. Griffin and Harry Aiken send Frank Thayer to Mexico to persuade the cash-strapped, publicity-hungry Villa to let them film his revolution. Stepping into the literal cross fire, Thayer's crew risk their lives in the mingling of fiction and reality. The two make their movie and its original U.S. release helps change public opinion in Villa's favor and proves ""the lens is mightier than the sword"". 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2682"">DVD 2682Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0337824/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"The Auteur Theory (1999)","Directed by Evan Oppenheimer. Cast: Natasha Lyonne, Alan Cox, Jeremy Sisto, Rachel True, Angeline Ball. At a relentless self-important student film festival, the directors of the (mostly terrible) short films are being killed off one-by-one. A budding British filmmaker decides to make a film about the search for the killer. The surviving filmmakers are the main suspects, so he begins to review their films, searching for footprints amidst the celluloid. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2813"">DVD 2813Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0159259/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Auto Focus (2002)","Directed by Paul Schrader. Cast: Greg Kinnear, Willem Dafoe, Rita Wilson, Kurt Fuller, Maria Bello, Ron Leibman, Ed Begley, Jr. A provocative drama about the life and mysterious death of television actor Bob Crane who became well known as the star of the comedy hit series ""Hogan's Heroes."" With fame and success, Crane drove headfirst into the darker, destructive side of celebrity life. He eventually teamed with a video technician who helped him document his numerous sexploits. But when his fast living got out of control, the end result was a brutal murder that remains one of Hollywood's most scandalous unsolved mysteries. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2335"">DVD 2335Ж","â€¢149;Ѭ href=""%20http://us.imdb.com/title/tt0298744/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Crawford, Travis. ""I Am a Camera"" Filmmaker - The Magazine of Independent Film 11:1 (Fall 2002) p. 70-73 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00214891"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Denby, David. ""Auto Focus"" The New Yorker 78:32 (28 October 2002) Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00195389"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Doherty, Thomas. ""Sex, Half-Truths and Videotape."" Cineaste, Spring2003, Vol. 28 Issue 2, p10, 4p, Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9422235&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Ferber, Lawrence. ""The lost language of Crane: Greg Kinnear and director Paul Schrader talk about the homoerotic tension behind the Bob Crane biopic Auto Focus."" (film). The Advocate Oct 29, 2002 p55(1)
â€¢149;Haun, Harry. ""Hogan's Secrets"" Film Journal International, Oct2002, Vol. 105 Issue 10, p18, 1pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=7680764&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Jones, Kent. ""Auto Focus"" Film Comment 38:4 (July-August 2002) p. 15 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00202014"">Full-text of this article / review is available:Ж
â€¢149;Peary, Gerald. ""Interview with Paul Schrader."" The Film Journal, Issue 4 January 2003 Ѭ href=""http://www.thefilmjournal.com/issue4/paulschrader.html"">Full-text of this article / review is available:Ж
â€¢149;Williams, Linda Ruth. ""Swing High, Swing Low."" Sight & Sound, Mar2003, Vol. 13 Issue 3, p32-33, 2p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00354269"">Full-text of this article / review is available:Ж


","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
