"Source:","http://www.lib.berkeley.edu/MRC/politicalmovies.html"
"
U.S. Politics and the Movies & Television



"
"â€¢149;Ѭ href=""#presidents"">The PresidentЖ","â€¢149;Ѭ href=""#politicians"">Politicians and PolitickingЖ","â€¢149;Ѭ href=""#coldwar"">The Cold War Goes to the MoviesЖ","â€¢149;Ѭ href=""#counterculture"">Sixties Counterculture Takes on the EstablishmentЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous PoliticsЖ","U.S. Politics and the Movies & Television"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html"">US Politics in the Movies & TelevisionЖ","U.S. Politics and the Movies & Television"
"
","U.S. Politics and the Movies & Television"
"The PresidentЖ","Abe Lincoln in Illinois(1940)","Directed by John Cromwell. Cast: Raymond Massey, Gene Lockhart, Ruth Gordon, Mary Howard, Minor Watson, Alan Baxter, Harvey Stephens, Howard da Silva. Views Lincoln's life, from his early days as a young woodsman to his election to the presidency in 1860. Includes his first love with Ann Rutledge, his marriage to Mary Todd, his early law practice, and his debates with Stephen Douglas. Film version of Robert E. Sherwood's play of the same title. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1799"">DVD X1799Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0032181/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Krukones, Michael G. ""Motion Picture Presidents of the 1930s: Factual and Fictional Leaders for a Time of Crisis."" In: Hollywood's White House : the American presidency in film and history / edited by Peter C. Rollins and John E. O'Connor. Lexington : University Press of Kentucky, c2003. (Main (Gardner) Stacks and Pacific Film Archive PN1995.9.U64 H65 2003)

","U.S. Politics and the Movies & Television"
"Abraham Lincoln(1930)","Directed by D.W. Griffith. Cast: Walter Huston, Una Merkel, Ian Keith, Frank Campeau, Hobart Bosworth, Henry B. Walthall, Kay Hammond, Alyn E. Warren, Fred Warren. This epic biography of the life of Abraham Lincoln is D.W. Griffith's first talking picture. It begins with Lincoln's life just prior to his White House ascent. His romance with Ann Rutledge and the famed Lincoln-Douglas debate receive special attention, and Griffith is in his element when picturing the battle scenes of the Civil War. The film concludes with Lincoln's assassination at Ford's Theatre. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:1882"">Video/C 999:1882Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0032155"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149; Charney, Mark J. ""'Picturizing' History: The Assassination of Lincoln in D. W. Griffith's The Birth of a Nation."" South Carolina Review, 1990 Spring, 22:2, 58-62.
â€¢149; Petric, Vlada ""Two Lincoln Assassinations by D.W. Griffith."" Quarterly Review of Film Studies, III/3, Summer 78; p.345-369.

","U.S. Politics and the Movies & Television"
"Air Force One (1997)","Directed by Wolfgang Petersen. Cast: Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell. An uncompromising U.S. President has just told the world he will not negotiate with terrorists. But when Russian terrorists hijack Air Force One, the world's most secure and extraordinary aircraft, the President is faced with a nearly impossible decision-- give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1269"">DVD 1269Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0118571"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"All the President's Men (1976)","Directed by Alan Pakula. Cast: Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam, Hal Holbrook, Jason Robards, Jane Alexander. A dramatic reconstruction of the true story of the discovery of the White House link with the Watergate affair by two young reporters from the Washington Post. 127 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1045"">DVD 1045Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:451"">vhs 999:451Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0074119/"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#presidentsmen"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"The American President (1995)","Directed by Rob Reiner. Cast: Michael Douglas, Annette Bening, Martin Sheen, David Paymer, Samantha Mathis, Michael J. Fox. Andrew Shepherd is the most popular American President in decades -- a consummate politician and a man of integrity -- who also happens to be a widower, ready to start dancing again. But when lobbyist Sydney Ellen Wade sweeps into his political arena, she unexpectedly sweeps him off his feet! 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2304"">DVD 2304Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0112346/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#americanpresident"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"The Assassination of Richard Nixon (2004)","Directed by Niels Mueller. Cast: Sean Penn, Don Cheadle, Naomi Watts, Jack Thompson, Brad Hanke, Michael Wincott, Mykelti Williamson, April Grace, Lily Knight, Jared Dorrance. Based on real-life events tells the tragic story of Sam Bicke, a disillusioned salesman who in 1972 concocted a plot to kill then-President Nixon by hi-jacking a plane to fly over the White House and drop a gas bomb. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5573"">DVD 5573Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0364961/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Billy Jack Goes to Washington(1977)","Directed by T.C. Frank. Cast: Tom Laughlin, Delores Taylor, E.G. Marshall, Teresa Laughlin, Sam Wanamaker, Dick Gautier, John Lawlor, Peter Donat, Michael Irving, Lucie Arnaz. Billy Jack is appointed as the junior Senator from Arizona in 1976. Arriving in Washington, he discovers that the respected senior Senator from Arizona and a business tycoon are secretly planning to build a nuclear plant in the pristine Arizona landscape. Fourth of four Billy Jack films. Sequel to Born losers, Billy Jack and Trial of Billy Jack. 173 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2006"">DVD X2006Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0075754/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"The Contender (2000)","Director: Rod Lurie. Cast: Gary Oldman, Joan Allen, Jeff Bridges, Christian Slater, William Petersen, Philip Baker Hall, Saul Rubinek, Sam Elliott. As soon as a woman is nominated to replace the deceased vice president of the United States, her political enemies, seeking to keep her from being confirmed, sift through her private life searching for ways to bring her down. 127 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2305"">DVD 2305Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0208874/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
