"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"Contents - separate page:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#general"">General works on modernismЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#earlymodfilm"">Early modernist filmmakersЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#postwarfilm"">Post World War II filmmakers/videomakersЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"","Experimental and Avant Garde Artists, Performers, and Film Makers"
"Theater, Poetry, and Performance Art","Experimental and Avant Garde Artists, Performers, and Film Makers"
"As Seen On TV","Performer: Actors/performers, Anna Levine ... [et al.]; guest artists courtesy of Henson Associates, Joffrey Ballet. New vaudevillian"" performance artist, Bill Irwin, plays a hapless Everyman who inadvertently becomes trapped inside a television set. In this physical comedy that has been likened to a contemporary rendering of Chaplin's Little Tramp, Irwin wanders, baffled, through the television space, caught in the flow of televised soap operas, commercials, sitcoms and ballets.1988. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4683"">Video/C 4683Ж","â€¢149;General Works, Overviews, Miscellany"
"Bandoneon ! (A Combine)","One of a series of dance, music and theater performances from 1966, involving engineers and scientists from Bell Telephone Laboratories. Archival material has been assembled into a film, which reconstructs the artist's original work and uses interviews with the artists, engineers and performers in documentaries that illuminate the artistic, technical and historical aspects of the work. ""Tudor's title Bandoneon ! should be read as Bandoneon factorial. The '!' is the symbol for the mathematical term 'factorial,' which is the product of multiplying a number by all the whole numbers below it."" Performer: David Tudor. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2966"">DVD X2966Ж","â€¢149;General Works, Overviews, Miscellany"
"Carmelita Tropicana: Your Kunst Is Your Waffen","Carmelita Tropicana, a lesbian Latina performance artist who supports herself as a building super on New York's Lower East Side, winds up in jail with three other women after a protest at an abortion clinic. Humorous monologues and campy production numbers ensue. Performers: Carmelita Tropicana, Annie Iobst, Sophia Ramos, Livia Daza Paris. 1994. 28 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8354"">Video/C 8354Ж","â€¢149;General Works, Overviews, Miscellany"
"The Couple in the Cage: a Guatinaui Odyssey","Directed and produced by Coco Fusco and Paula Heredia; Performers: Guillermo Gomez-Penña, Coco Fusco. Color sequences of the display in various museums of performance artists portraying an aboriginal couple from Gautinau (a fictional island off the coast of Mexico) are contrasted with archival footage and still photographs showing various occasions when indigenous persons were put on public display at circuses, sideshows and the like. Emphasis is placed on the response of the people viewing the Gautinaui couple. c1993. 31 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6865"">DVD 6865Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4785"">Video/C 4785Ж","â€¢149;General Works, Overviews, Miscellany"
"Emanuelle Enchanted (Or a Description of This World as if it were a Beautiful Place)","Five performers present a jumbled fragmented account of ""a strange night that the rain stopped"" ... night of urban panic, political crisis and personal reflection. As its central methodology, the piece uses the act of arranging and rearranging texts, images and spaces so that new patterns, narratives and meanings emerge. Credits: Director and text, Tim Etchells ; designer, Richard Lowdon. Cast: Robin Arthur, Richard Lowdon, Claire Marshall, Cathy Naden, Terry O'Connor. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6753"">DVD X6753Ж","â€¢149;General Works, Overviews, Miscellany"
"Exquisite Pain","In this simple and intimate performance, based on a project by renowned French conceptual artist Sophie Calle, the performance art theatre Forced Entertainment explores how language, memory and forgetting move to contain, preserve or erase events. Exquisite pain is about loss, love and the stories we tell ourselves when things have gone wrong. Directed by Tim Etchells. Cast: Jerry Killick, Cathy Naden. 2005. 130 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6754"">DVD X6754Ж","â€¢149;General Works, Overviews, Miscellany"
"[Fabe Jan] Jan Fabre: Performing Arts","Disc 1. Performing arts -- Disc 2. Visual arts. The first disc covers Fabre's stage work, providing a chronological survey of all his theatre pieces, dance performances and operas. The second disc covers Fabre's visual arts including reproductions of drawings, sculptures, installations, short films and one man productions. 360 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6752"">DVD X6752Ж","â€¢149;General Works, Overviews, Miscellany"
"Fact is Stranger Than Fiction","A collection of seven short videorecordings and films which comprise worlds made up of fantasy, illusion, fact, and speculation. Focusing primarily on women, each work addresses the ambiguous questions of what and how we believe. Contents: Illusions / produced, written and directed by Julie Dash -- Kleenex Napkin's Cling like cloth -- Semiotics of the kitchen / Martha Rosler -- Design for dreaming / M.P.O. Productions -- Possibly in Michigan / written & directed by Cecelia Condit -- Art world wizard / by Carole Ann Klonarides, Michael Owen -- Leaving the 20th century / a videotape by Max Almy. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3181"">Video/C 3181Ж","â€¢149;General Works, Overviews, Miscellany"
"Have You Heard the Word?","From alternative rock concerts, to MTV, to clubs, coffee shops, even public parks and buses, poetry in performance, today dubbed ""the spoken word,"" is back. This documentary, hosted by dub poet Clifton Joseph, examines the roots of this phenomenon and demonstrates its rebirth. The film also includes performances and interviews with many of the most popular spoken word artists today as well as such legendary Beat Generation predecessors as Allen Ginsberg. Performer: Performers: Maggie Estep, Regie Cabico, Stan Rogal, Reg E. Gaines, Umar Bin Hassan, Bob Holman, Nicole Blackman, Sheri-D Wilson, Edwin Torres, Jeanette Armstrong, Henry Rollins, Bill Kennedy, Adeena Karasick, Jill Battson, Bill Bissett, Gerry Gilbert, Paul Dutton, Christian Bok, Allen Ginsberg. 1994. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5110"">Video/C 5110Ж","â€¢149;General Works, Overviews, Miscellany"
"In/Word/Out: Thoughts on Poetry and Performance, with E. R. Baxter.","Poetry readings and discussion with poets Jeff Filipski, Lyn Lifshin, Michael Basinski, and Gerald Locklin. 1992. 58 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6230"">Video/C 6230Ж","â€¢149;General Works, Overviews, Miscellany"
"Liveartwork","A unique publication which presents documentation of contemporary live art performances from around the world, introducing an international audience to new artists and new work.","â€¢149;Issue 1, Jan 2006","Contents: Being is in the other / Sylvie Cotton (12:40) -- Sledgehammer songs / Lone Twin (19:11) -- Dispatches / Robin Deacon (16:06) -- Wet 'n' wild revisited / Florian Feigl (6:40) -- 52 pick up / Jamie McMurry (14:34) -- Performance art joke / Dariusz Kostyra (3:45) -- Death is certain / Eva Meyer-Keller (16:06) -- Gomune / Showcase Beat Le Mot (14:32). 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6740"">DVD X6740Ж","â€¢149;Issue 2, Apr 2006","Contents: 386 DX / Alexei Shulgin (7:53) -- Tata scavengers / Joshua Sofaer (14:56) -- Nature study: water / Boris Nieslony (7:03) -- All natural / Kate McIntosh (14:45) -- The beast dwells / These Horses (16:06) -- Remakes / Valie Export Society (9:26) -- White / Grace Surman (16:07) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6741"">DVD X6741Ж","â€¢149;Issue 3, July 2006","Contents: Alice Bell / Lone Twin Theatre (25:50) -- Shifter / Mark Wayman (10:48) -- Black Market International (21:15) -- Breath series / Sylvette Babin (11:40) -- The heart and the chip ; Harissa / Paul Granjon (14:35) -- FunnySorryJesus / Baktruppe (18:03). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6742"">DVD X6742Ж","â€¢149;Issue 4, Nov 2006","Contents: ANTIC / Brian Catling (19:56) -- Room service / Gob Squad (22:00) -- Inafferrabile/Greifbar fern / Nezaket Ekici (8:43) -- Not water proof / Julie Andrée T. (17:42) -- Duorama #91 / Paul Couillard & Ed Johnson (12:29) -- Saemann meets Schneemann / Andrea Saemann (21:04). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6743"">DVD X6743Ж","â€¢149;Issue 6, Aug 2007","Contents: Emily / Gerardo Naumann (22:39) -- A-Z list performance / Magnus Logi Kristinsson (14:29) -- Be drunk, be very drunk / Anders Härm (20:45) -- Friedrich from the front, foaming / Aaron Williamson (3:34) -- Point blank / Edit Kaldor (19:00) -- Three poems / Bernard Heidsieck (20:12). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6744"">DVD X6744Ж","â€¢149;Issue 7, Oct. 2007","Contents: Three days, first encounter, Nobe & Nobe 2 / Kurt Johannessen (16:16) -- 99 needles / He Chengyao (4:25) -- I am Caesar / Yu Ji (5:17) -- Interiors / Pascale Grau (19:52) -- Untitled : at arm's length / Jordan McKenzie (20:33) -- Les Honorables / Les Fermières Obsédées (13:50) -- Performance saga : encounters with women pioneers of performance art (6:52). (20:12). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6745"">DVD X6745Ж","â€¢149;Issue 8, Jan. 2008","Contents: The Institution / André Stitt (20 min.) -- Untitled (Syncope) / Kira O'Reilly (6 min.) -- (Trans)Formations. Part 2 / Essi Kausalainen (20 min.) -- Everything you say will become dust anyway / Oblivia (22 min.) -- Loose promise / Kate McIntosh (22 min.) -- Above board / Siân Robinson Davies (8 min.) . ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6746"">DVD X6746Ж","â€¢149;General Works, Overviews, Miscellany"
"The Misfits: 30 Years of FluxusЖ.","An unconventional video portrait of the Fluxus movement, an international group of artists who since the early 1960s have challenged and disrupted our ideas of what art can be. The tape was produced largely in Venice in 1990, when many of the original Fluxus artists met for a major exhibition in connection with the Biennale, almost thirty years after the first iconoclastic Fluxus concerts were held in cities around the world. Employing layered manipulations of video technology, this portrait includes interviews with leading Fluxus artists, documentation of their works, and historic archival footage from thirty years of groundbreaking Fluxus performances, films, and video tapes. Featuring: Eric Andersen, Philip Corner, Henry Flynt, Ken Friedman, Jon Hendricks, Dick Higgins, Alison Knowles, Jackson Mac Low, Jonas Mekas, Yoko Ono, Nam June Paik, Ben Patterson, Willem De Ridder, Ben Vautier, Emmett Williams, La Monte Young, Ay-O, Joseph Beuys, John Cage, Geoffrey Hendricks, George Maciunas, Larry Miller, Charlotte Moorman, A.O. A video by Lars Movin. 1993. 80 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1835"">DVD X1835Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3402"">Video/C 3402Ж","â€¢149;General Works, Overviews, Miscellany"
"My Life and Times with Antonin Artaud (En compagnie d'Antonin Artaud)","Presents the last two years of the life of French poet, madman, genius, and theatrical impressario, Antonin Artaud. Based on the diaries of Jacques Prevel, a poet who befriended Artaud in 1946 when he was released from an insane asylum. Special features: Documentary by Gerard Mordillat and Jerome Prieur (1933, 21 min.) ""Jacques Prevel, de colere et de haine,"" an intimate portrait of the poet Jacques Prevel, a very close disciple of Artaud, based on the accounts of those close to him ; booklet including interviews with the directors and profiles of the participants ; optional subtitles ; scene selection. Issued with: Veritable histoire d'Artaud le Momo. 1993. 93 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5094"">DVD 5094Ж","â€¢149;General Works, Overviews, Miscellany"
"[Needcompany] Isabella's Room","A Performance art work by Needcompany, an international, multilingual and multidisciplinary performance group. A performance work directed by Jan Lauwers; text by Jan Lauwers; music by Hans Petter Dahl and Maarten Seghers. Videotaped in performance at the Brooklyn Academy of Music Harvey Theater, Brooklyn, N.Y., on Dec. 16, 2004; video documentation, Character Generators Inc.; camera, Mark Robison. Credits: Set and lighting, Jan Lauwers ; costumes, Lemm & Barkey ; sound design, Dré Schneider ; ""The liar's monologue"" written by Anneke Bonnema ; lyrics, Jan Lauwers, Anneke Bonnema ; dance, Julien Faure, Ludde Hagberg, Tijen Lawton, Louise Peterhoff ; additional lighting design, Jeroen Wuyts. 124 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6749"">DVD X6749Ж","â€¢149;General Works, Overviews, Miscellany"
"[Needcompany] Morning Song (1999)","Presents a performance by Needcompany, an international, multilingual and multidisciplinary performance group. Performers: Viviane de Muynck, Gonzalo Cunill, Mil Seghers, Tijen Lawton, Simon Versnel, Misha Downey, Carlotta Sagna, Eduardo Torroja. Text, direction and set, Jan Lauwers. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6755"">DVD X6755Ж","â€¢149;General Works, Overviews, Miscellany"
"Normalisation of Deviance","Comprises the Rolling Video program from the Normalisation of Deviance exhibition, plus bonus performance material. Released to coincide with the exhibition Normalisation of Deviance at Pump House Gallery, London, 19 April - 28 May 2007. Producer, Richard DeDomenici. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6751"">DVD X6751Ж","â€¢149;General Works, Overviews, Miscellany"
"Performance: The Living ArtЖ.","Documentary on the performance art movement through interviews with artists such as Meredith Monk, Joan Jonas, Spaulding Gray, Robert Wilson, Linda Montano, Michael Smith, Ping Chong and others. Art critics and theorists also discuss the past, present and future of performance art. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3471"">Video/C 3471Ж","â€¢149;General Works, Overviews, Miscellany"
"Poetry in Motion.","Feature documentary that explores the nature and vision of contemporary poetry. It introduces the work of 25 North American writers by showing them discussing and reading their work. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+972"">Video/C 972Ж","â€¢149;General Works, Overviews, Miscellany"
"Poetry in Motion II.Ж","Performer: Helen Adam, Amiri Baraka, Ted Berrigan, Charles Bukowski, Jim Carroll, Robert Creeley, Diane Di Prima, Allen Ginsberg, John Giorno, Michael Ondaatje, Gary Snyder, Anne Waldmen, Tom Clark, Spalding Gray, Bob Holman, Rose Lesniak, Cookie Mueller, Eileen Myles, Alice Notley, Joel Oppenheimer, Peter Orlovsky, Pedro Pietri, Jerome Rothenberg, Philip Whalen.
Presents the poems of twenty-four contemporary poets through the dramatic pairing of written text and video performance. Viewers can read a poem, watch it being performed by the author or just sit back and let the words wash over them. Includes some brief interviews. Compu/D 313 (CD-ROM)","â€¢149;General Works, Overviews, Miscellany"
"Savage/Love.","A collaboration of Sam Shepard and Joseph Chaikin. Credits: Producers, Joseph Chaikin, Sam Shepard ; videotape, Shirley Clarke ; editors, Shirley Clarke, Steven E. Browne, Randy Cohen ; camera, Walter Edel, Michel Auder, Bob Garucci ; music, Sam Shepard, Skip LaPlante, Harry Mann. Performers: Joseph Chaikin (actor), Sam Shepard and Harry Mann (music performers).
This one-act monologue written by the playwright Sam Shepard, describes one man's quest for love: the search for romantic attachment, from infatuation to insecurity and disillusionment. Film integrates the distinctive styles of three artists: Shepard's innovative, stream-of-consciousness language; Chaikin's kinetic and exacting performance which unifies the pieces; and Clarke's dynamic choreography of image, sound and text with the syncopated use of digital effects, slow motion and editing techniques to distort and manipulate the image. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4681"">Video/C 4681Ж","â€¢149;General Works, Overviews, Miscellany"
"Sick: The Life and Death of Bob Flanagan, Supermasochist.","Summary: This award winning documentary follows the strikingly original life of the unique artist, comedian and performance artist Bob Flanagan. A provocative, deeply moving, often hilarious chronicle tracing Flanagan's experiences with sadomasochism in his struggle to manage the fatal illness Cystic Fibrosis, ""Sick"" explores the limits of pain, sexuality, love and death. 1998. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6470"">Video/C 6470Ж","â€¢149;General Works, Overviews, Miscellany"
"Sphinxes Without Secrets: Women Performance Artists Speak Out.","Women artists discuss performance art and the significant role women have played in it. Includes excerpts from several performances. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3275"">Video/C 3275Ж","â€¢149;General Works, Overviews, Miscellany"
"Ubu Roi","An early example of modern, expressionistic drama--explained in a documentary section of the program--this anarchic political parody employs many non-realistic theatrical conventions to depict man in a distorted and exaggerated fashion in order to make fun of ambition, nobility, idealism and government. This condendensed video version captures the outrageous tone of the play which was a major influence on the theatre of the absurd. Credits: Writer, Alfred Jarry. For Miami-Dade: producer/director, Andrew Martin ; executive producer, Franklin C. Bounsma ; executive-in-charge, Robert Singer. For BBC/OPEN University: executive producer, Nancy Thomas; producer/director, Paul Kafno; assistant director, Richard Callanan ; designer, Darce Punt. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4048"">Video/C 4048Ж","â€¢149;General Works, Overviews, Miscellany"
"The United States of Poetry.","Performers: Henry Real Bird, George Ella Lyon, Jeff Tagami, Tracie Morris, Lois-Ann Yamanaka, Naomi Shihab Nye, Nora Marks Dauenhauer, Lord Buckley, Sparrow, Everton Sylvester, James Still, Rita Dove (Pt.1); Peter Spiro, Thylias Moss, Czeslaw Milosz, Pedro Pietri, Ismail Azim El, Sheryl Noethe, Matt Cook, Dan Powers, Hal Sirowitz, C.D. Wright, Paul Beatty, Dennis Cooper, Derek Walcott (Pt.2); Thylias Moss, Leonard Cohen, Amiri Baraka, Nerissa Dias, Vess Quinlan, Genny Lim, John Wright, Ruth Forman, Jim Northrup, Luis Alfaro, Wanda Coleman, Javier Pina, Robert Chambers, Lawrence Ferlinghetti, Barbara Kruger (Pt.3).
Short films that illustrate individual poems by American poets recited by their creators. 1996. 72 min. -5034 Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5033"">Video/C 5033Ж","â€¢149;General Works, Overviews, Miscellany"
"4 Performances by Marina Abramovic, 1975-1976","Contents: Art must be beautiful, Artist must be beautiful. -- Freeing the voice -- Freeing the memory -- Freeing the body. Galerie Mike Steiner, Berlin, December, 1976. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5364"">Video/C 5364Ж","â€¢149;Marina Abramovic"
"An Event by Ulay","A performance art piece ""exploring the interrelatedness of physical and mental realms"" by two early artists, Ulay and Marina Abramovic. Galerie Mike Steiner, Berlin, 1976. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5364"">Video/C 5364Ж","â€¢149;Marina Abramovic"
"Relation Work, 1976-1979: 14 performances","Contents: Relation in space -- Talking about similarity -- Breathing in, breathing out -- Imponderabilia -- Expansion in space -- Relation in movement -- Relation in time -- Light/Dark -- Balance proof -- AAA-AAA -- Incision -- Kaiserschnitt -- Charged space -- Three.
Performance art pieces illustrating art in confrontation with life and the individual versus the universal by early artists, Ulay and Marina Abramovic. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1996. 148 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5366"">Video/C 5366Ж","â€¢149;Marina Abramovic"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/postmodbib.html#acconci"">Books and articles about Acconci in the UCB LibraryЖ","â€¢149;Vito Acconci"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","â€¢149; Ѭ href=""#2moon"">Two Moon JulyЖ","â€¢149;Vito Acconci"
"Willoughby Sharp Videoviews Vito Acconci","Willoughby Sharp conducts an informal interview with video artist and performer, Vito Acconci. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1973 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5240"">Video/C 5240Ж","â€¢149;Vito Acconci"
"14 Americans: Directions of the 1970s","Featuring: Vito Acconci, Laurie Anderson, Alice Aycock, Scott Burton, Peter Campus, Chuck Close, Nancy Graves, Joseph Kosuth, Gordon Matta-Clark, Mary Miss, Elizabeth Murray, Dennis Oppenheim, Dorothea Rockburne, Joel Shapiro.
Examines a diverse group of New York-based artists in order to record many of the most provocative works and ideas of the past decade. These artists created performances, sculptures, earthworks, tableaux, furniture, shaped canvases and more using unusual materials. In this ""idea art,"" their focus is often as much social and psychological as artistic. c2000. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9105"">Video/C 9105Ж","â€¢149;Vito Acconci"
"Applications.","A video performance by Acconci, which illustrates his unique engagement of conceptual art, performance and Body Art. In this piece a woman kisses Acconci's body, covering him in red lipstick traces. Acconci then rubs his body against another man (Dennis Oppenheim), transferring the stains onto him. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1970. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5158"">Video/C 5158Ж","â€¢149;Vito Acconci"
"Association Area.","As a document of early performance art, this tape details the process of orientating the body and self in space, providing a physical metaphor for the process of adjusting oneself in society. Blindfolded, with ears plugged, two men try to sense each other's movements to assume the same motion and bearing. An off-screen voice, heard only by the audience, gives directions that would help them attain their goal. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1971. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5207"">Video/C 5207Ж","â€¢149;Vito Acconci"
"Centers.(1971)","The film was made by Acconci's using the video monitor as a mirror. As we look at the artist sighting along his outstretched arm and forefinger toward the center of the screen what we see is a sustained tautology: a line of sight that begins at Acconci's plane of vision and ends at the eyes of his projected double. The result turns the activity around: a pointing away from the filmaker at an outside viewer. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art)   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5362"">DVD 5362Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5206"">Video/C 5206Ж","â€¢149;Vito Acconci"
"Command Performance.","In this performance piece Acconci attempts to replace himself with the viewer. The artist lies on the floor and philosophizes, having the camera focus on his mouth throughout the performance, while the viewer is encouraged to take his place on an empty stool in a spotlight. Originally produced in 1974. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5364"">DVD 5364Ж","â€¢149;Vito Acconci"
"Conversions.","A performance videotape by Acconci who is known for his use of gesture, ritualized action and the human body as performance object. In this 3 part film Acconci, in a dark room burns the hair off of his chest with a candle, then plays with the illusion of having female breasts. In Parts II and III, Acconci continues to play with gender illusions via manipulations of his own body parts. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1971. 66 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5152"">Video/C 5152Ж","â€¢149;Vito Acconci"
"Face-off.","This film is an ironic collusion of private and public, of exposure and masking, a tense ritual wherein Acconci divulges and then censors his self-revelations. He turns on an audiotape of his own voice addressing himself and the viewer, recounting intimate details about his life. Whenever the material becomes too personal however, he tries to drown out his voice and prevent the viewer from hearing yelling ""No, no, no, don't tell this!"" He becomes increasingly agitated as the tape proceedes. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 32 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5243"">Video/C 5243Ж","â€¢149;Vito Acconci"
"Fresh Acconci.","Artists Paul McCarthy and Mike Kelley re-stage classic 1970s performance pieces by Vito Acconci, with a decidedly ironic Southern California sensibility. Based on videotapes by Vito Acconci: ""Claim excerpts"" (1971), ""Contacts"" (1971), ""Focal point"" (1971), ""Pryings"" (1971), and ""Theme song"" (1973). Originally produced in 1995. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5365"">DVD 5365Ж","â€¢149;Vito Acconci"
"Pryings.","This documentation of a live performance at New York University, is a graphic exploration of the physical and psychological dynamics of male/female interaction, a study in control, violation and resistance. The camera focuses tightly on Kathy Dillon's face, as Acconci tries to pry open her closed eyes. Her body is a vehicle for a literal enactment of the desire for and resistance against intimate contact. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art). 17 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5154"">Video/C 5154Ж","â€¢149;Vito Acconci"
