"Source:","http://www.lib.berkeley.edu/MRC/religiousfilms.html"
"
Religious Themes in the Movies & Television


Ж
"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/religionbib.html"">Religion in the MoviesЖ","Religious Themes in the Movies & Television"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesjews.html"">Jews in Film and TVЖ","Religious Themes in the Movies & Television"
"
","Religious Themes in the Movies & Television"
"Absent Father (2008)","Director: Douglas Chang. Cast: Jessica Kadish, J.P. Quicquaro, Debbie Friedlander. Abigail is a typical teenager. When an angel tells her she's been chosen to have God's child, her first instinct is to look for a way out. Eventually she abandons her comfortable middle-class home for the streets of Boston, where she hooks up with a group of runaways led by the enigmatic Sultan. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6673"">DVD X6673Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1176404/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"And God Spoke: The Making of -- a Documentary (1993)","Directed by Arthur Borman. Cast: Michael Riley, Stephen Rappaport, Soupy Sales, Lou Ferrigno, Eve Plumb, Michael Medved, Andy Dick. A ""mockumentary"" about the making of a big budget Bible picture. Producer Steve Rappaport and director Michael Riley have been given carte blanche to make a multimillion-dollar epic based on the Old Testament. One day into production, they blow their budget and are forced to cut corners with a scythe and to scout around for cheap locations in the L.A. area, making do with whatever stars they can afford. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3181"">DVD 3181Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0107492/"">Credits and other information from the Internet Movie DatabaseЖ","Religious Themes in the Movies & Television"
"The Apostle (1997)","Directed by Robert Duvall. Cast: Robert Duvall, Farrah Fawcett, Todd Allen, John Beasley, June Carter Cash, Walton Goggins, Billy Joe Shaver, Billy Bob Thornton, Miranda Richardson. Sonny is a gifted Southern Pentecostal preacher loved by his community in Texas. When Sonny loses control and commits a crime of passion, he is forced to run from the law. Hiding out in the small Louisiana town of Bayou Boutte, Sonny adopts a new identity as the Apostle E.F. and sets out on a new mission--to find the road to redemption. Special features: Commentary with director Robert Duvall; The journey of the apostle (original featurette on the making of the film); theatrical trailer; production notes; cast and filmmakers' biographies. 134 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2509"">DVD X2509Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0118632/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/religionbib.html#apostle"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"At Play in the Fields of the Lord (Brincando nos Campos do Senhor) (USA, 1991)","Directed by Hector Babenco. The tale of two men's experiences with a native Indian tribe in the Brazilian rain forest. One is an American mercenary hired to drive the Niaruna Indians off their land, who joins forces with them instead. The other is a missionary sent to convert the natives to Christianity. Based on the novel by Peter Matthiessen (Main Stack PS3563.A89 A79, and in Moffitt; XMAC.M443.A8 Grad Svcs) 186 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6249"">DVD X6249Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1367"">vhs 999:1367Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0101373/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149; Caesar, Terry. ""'So that's the flag': The representation of Brazil and the politics of nation in American Literature."" Criticism, Summer99, Vol. 41 Issue 3, p365, 20p
â€¢149;Okrent, Neil. ""At Play in the Fields of the Lord."" Cineaste, 1992, Vol. 19 Issue 1, p44-47, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=29332287&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rendleman, Tood. ""'Evil' Images in At Play in the Fields of the Lord: Evangelicals and Representations of Sexuality in Contemporary Film."" Velvet Light Trap: A Critical Journal of Film & Television, Fall2000, Issue 46, p26, 14p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=6551243&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149; Young, Theodore Robert. ""Three Views of the Amazon in International Commercial Film."" Luso-Brazilian Review, 1999, Vol. 36 Issue 2, p23, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=3726730&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Religious Themes in the Movies & Television"
"Ben-Hur (1959)","Director, William Wyler. Cast: Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott. The story of a Jewish nobleman, set in the time of the Roman Empire and the emergence of Christianity. 281 min. ; also ;  pt. 1-2","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3370"">DVD 3370Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2000"">DVD X2000Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:233"">vhs 999:233Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0052618"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Academy Awards - Best Picture; Best Director; Best Actor in a Leading Role (Charlton Heston);
â€¢149;British Academy of Film and Television Arts Awards - Best Film from any Source
â€¢149;Directors Guild of America - Outstanding Directorial Achievement
â€¢149;Golden Globes - Best Motion Picture, Drama; Best Director
â€¢149;New York Film Critics Circle Awards - Best Film
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ




Ѭ href=""http://www.lib.berkeley.edu/MRC/wylerbib.html#benhur"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"Ben-Hur (1925)","Director, Fred Niblo. Cast: Ramon Novarro, Francis X. Bushman, May McAvoy, Betty Bronson, Claire McDowell, Kathleen Key, Carmel Myers, Nigel de Brulier, Mitchell Lewis, Leo White, Frank Currier, Charles Belcher, Dale Fuller, Winter Hall. Silent version of the sweeping saga that tells the story of a young Jewish nobleman who leads his nation against the wrath of the conquering Romans. His self-imposed destiny brings tragedy to himself and his people, as he learns to fight, love, hate and, finally, forgive. 148 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2000"">DVD X2000Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0052618/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


Reviews and articles:

â€¢149;Buchanan, Judith. ""Gospel Narratives on Silent Film."" In: The Cambridge companion to literature on screen / edited by Deborah Cartmell and Imelda Whelehan. Cambridge : Cambridge University Press, 2007. (Main (Gardner) Stacks PN1997.85 .C36 2007; Media Resources Center PN1997.85 .C36 2007)
â€¢149;Pentz-Harris, Marcia L.; Seger, Linda ; Palmer, R. Barton. ""Screening male sentimental power in Ben-Hur."" In: Nineteenth-century American fiction on screen / edited by R. Barton Palmer. Cambridge ; New York : Cambridge University Press, 2007. (Main (Gardner) Stacks PN1997.85 .N54 2007)
â€¢149;Thomas, Gordon. ""Getting It Right the Second Time: Adapting Ben-Hur for the Screen."" Bright Lights Film Journal, vol. 52, 2006 May Ѭ href=""http://www.brightlightsfilm.com/52/benhur.php"">Full-text of this article / review is available:Ж
â€¢149;Williams, Michael. ""The Idol Body: Stars, Statuary and the Classical Epic."" Film & History, Fall2009, Vol. 39 Issue 2, p39-48, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=47659964&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Winchell, Mark Royden. ""Racing for glory : Fred Niblo's Ben-Hur (1926) and William Wyler's Ben-Hur (1959)"" In: God, man, and Hollywood : politically incorrect cinema from ""The birth of a nation"" to ""The Passion of the Christ"". Wilmington, Del. : ISI Books, 2008. (Main Stack PN1995.9.S6.W53 2008)

","Religious Themes in the Movies & Television"
"Ben-Hur (1907)","Directors, Frank Oakes Rose and Sidney Olcott. Cast: Herman Rottger, William S. Hart. Early silent short about a Jewish prince who is betrayed, sent into slavery by a Roman friend, and comes back for revenge. 13 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6324"">DVD X6324Ж","Religious Themes in the Movies & Television"
