"Source:","http://www.lib.berkeley.edu/MRC/sanfranmovies.html"
"

San Francisco and the Bay Area in the Movies



"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/california.html#sf"">Documentaries about San FranciscoЖ","San Francisco and the Bay Area in the Movies"
"See also:"
"â€¢149;Avni, Sheerly. Cinema by the Bay New York : George Lucas Books : Produced and distributed by Welcome Books, c2006. (Media Center: PN1993.5.U718 A96 2006; MAIN: PN1993.5.U718 A96 2006; BUSI: PN1993.5.U718 A96 2006; PFA : PN1993.5.U718 A96 2006; BANC: \f\ PN1993.5.U718 A96 2006)","â€¢149;Kraft, Jeff. Footsteps in the fog : Alfred Hitchcock's San Francisco Santa Monica, CA : Santa Monica Press, c2002. (MAIN: PN1998.3.H58 K73 2002; BANC: PN1998.3.H58 K73 2002)","â€¢149;Rich, Nathaniel. San Francisco noir : the city in film noir from 1940 to the present New York : Little Bookroom, c2005. (MAIN: PN1995.9.F54 R48 2005; PFA : PN1995.9.F54 R48 2005)","â€¢149;Van Buskirk, Jim. Celluloid San Francisco : the film lover's guide to Bay Area movie locations Chicago, Ill. : Chicago Review Press, c2006. (BANC: PN1995.67 .S36 2006; PFA : PN1995.67 .S36 2006)","San Francisco and the Bay Area in the Movies"
"After the Thin Man (1936)","Directed by W.S. VanDyke. Cast: William Powell, Myrna Loy, James Stewart, Elissa Landi, Joseph Calleia. It's New Year's Eve, Nick and Nora Charles have returned to San Francisco, and the philandering hubby of Nora's cousin has gone missing. Retired from sleuthing, Nick must round up the usual suspects. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4155"">DVD 4155Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0027260/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Amarilly of Clothes-line Alley (1918)","Directed by Marshall Neilan. Cast: Mary Pickford, William Scott, Norman Kerry. Amarilly is the belle of Clothes-line Alley, a neighborhood near San Francisco's Chinatown. One night after a fight breaks out in the club where she works as a cigarette girl, Amarilly brings an injured socialite home with her. Grateful for her care, he hires Amarilly to clean his apartment and, over time, begins falling in love with her. But when Amarilly is presented at a posh social gathering, the disastrous results fuel the battle of high and low society. 67 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8452"">DVD 8452Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2096"">vhs 999:2096Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0008827/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"American Graffiti (1973)","Directed by George Lucas. Cast: Richard Dreyfuss, Ronny Howard, Paul Le Mat, Charles Martin Smith, Candy Clark, Mackenzie Phillips. The misadventures of four California teenagers one late summer night in 1962 become the focal point for an audience trip back to the last ""innocent"" years of the 50's and early 60's. The film was inspired by George Lucas' own adolescent years cruising the Strip in Modesto, on Highway 99 between Stockton and Fresno in central California. See: Ѭ href=""http://www.movie-locations.com/movies/a/amgraff.html"">World Guide to Movie Locations for more information.Ж 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+246"">DVD 246Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0069704"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


Reviews and articles:

â€¢149;Cagin, Seth, and Philip Dray. Hollywood Films of the Seventies: Sex, Drugs, Violence, Rock 'n' Roil and Politics. New York: Harper & Row, 1984. (MAIN: PN1993.5.U6 C24 1984)
â€¢149;Dennis, Jeffery P. ""American graffiti: 1950's nostalgia and teenage androgyny"" In: Queering teen culture : all-American boys and same-sex desire in film and television New York : Harrington Park Press, c2006. (Main Stack PN1995.9.Y6.D45 2006)
â€¢149;Lev, Peter. ""Teen Films: American Graffiti, Cooley High, Animal House, Diner, Fast Times at Ridgemont High."" In: American films of the 70s : conflicting visions / Peter Lev. Austin, TX : University of Texas Press, 2000. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10194811"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks; Moffitt PN1993.5.U6 L44 2000)
â€¢149;Sodowsky, Alice, et al. ""Epic world of American Graffiti."" In: Movies as artifacts : cultural criticism of popular film / edited by Michael T. Marsden, John G. Nachbar, and Sam L. Grogg, Jr Chicago : Nelson-Hall, c1982 (Main Stack PN1993.5.U6.M67 1982; Moffitt PN1993.5.U6.M67 1982)
â€¢149;Speed, Lesley. ""Tuesday's Gone: The Nostalgic Teen Film."" Journal of Popular Film and Television, vol. 26, no. 1, pp. 24-32, Spring 1998 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00096581"">Full-text of this article / review is available:UC users onlyЖ

","San Francisco and the Bay Area in the Movies"
"Barbary Coast (1935)","Directed by Howard Hawks. Cast: Miriam Hopkins, Edward G. Robinson, Joel McCrea, Walter Brennan, Frank Craven, Brian Donlevy. Mary Rutledge arrives from the east to find her fiance dead, and goes to work at the roulette wheel of Louis Charnalis' Bella Donna, a rowdy gambling house in San Francisco's Barbary Coast of the 1850s. She falls in love with miner Carmichael and takes his gold dust at the wheel. But when she goes after him, her ruthless gambling boss follows her with intent to harm Carmichael. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X20"">DVD X20Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0026097/"">Credits and other information from the Internet Movie DatabaseЖ","San Francisco and the Bay Area in the Movies"
