"Source:","http://www.lib.berkeley.edu/MRC/spanishculture.html"
"
Spanish and Portuguese History, and Culture
Spanish and Latin American Literature
Contents:
"
"â€¢149; Ѭ href=""#history"">Spanish & Portuguese History and CultureЖ","â€¢149; Latin American History and Culture
SEE separate Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmVid.html"">MRC Latin American videographyЖ","â€¢149; Ѭ href=""#literature"">Spanish/Portuguese/Latin American LiteratureЖ

â€¢149; Ѭ href=""#bio"">Literary BiographyЖ
â€¢149; Ѭ href=""#lit"">Literary, Dramatic readingsЖ

"
"See also the following MRC Videographies:"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmfilm.html"">Spanish and Portuguese cinema in the Media Resources CenterЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/EuroVid.html"">Western Europe videographyЖ"
""
"Antoni Gaudi.","A spellbinding visual journey through the enchanted world of the great Spanish architect whose work influenced such artists as Picasso, Miro and Dali. The film follows every curve of Gaudi's colorful, organic and even erotic architecture. The haunting score by Toru Takemitsu helps bring the fantastical visions of this architectural celebrity to life. 1984. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5656"">Video/C 5656Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Antoni Gaudi, 1852-1926: My House Is A Tree.","Tour of the architectural works in Barcelona of Antoni Gaudi, Spain's most famous architect, which represent the Spanish art nouveau style known as El Modernismo. 1991. 51 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2491"">Video/C 2491Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Art of the Western World: The Baroque in Spain and the Netherlands.","Examines the divergent themes of the baroque period, including a new emotional appeal as seen in Bernini's The Ecstasy of St. Teresa, Caravaggio's naturalism, Velasquez's multilayered works, and the rise of bourgeois values as seen in Rembrandt's works. Features experts Irving Lavin and Simon Schama. 30 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1679"">Video/C 1679Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Ж[Buñuel, Luis] Luis Buñuel","Biographical account of Spanish born film director, Luis Bunuel, and a critique of his work through interviews with family, friends and collaborators. Clips of Bunuel at work and from some of his movies provide an additional dimension to the commentary. In Spanish. 75 min. 
Bibliography on this topic: ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4219"">Video/C 4219Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Bunuelbib.html"">Bunuel bibliographyЖ","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"See also:"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/MoviesbydirectorVid.html#Bunuel"">Listing of MRC Bunuel holdingsЖ,","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Ж[Buñuel, Luis] Regarding Buñuel","A thorough, entertaining documentary on the life and work of Spanish filmmaker Luis Bunuel. Using archival photographs, footage, and clips from his films this is a complex portrait of one of the century's most notable filmmakers. Includes footage from an interview with Bunuel before his death, as well as interviews with various actors, friends and family members. 2000. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4219"">Video/C 4219Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Bunuelbib.html"">Bunuel bibliographyЖ","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"See also:"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/MoviesbydirectorVid.html#Bunuel"">Listing of MRC Bunuel holdingsЖ,","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Carlos Saura: Relations and Portraits","In this television interview on his filmmaking career which began under the repressive Franco regime, Saura discusses his filmmaking techniques and how, by incorporating a mixture of incisiveness, humor, action, and romance, he conveys the gist of Spanish and Latin culture to world audiences. An episode of the television program Tratos y Retratos. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5825"">Video/C 5825Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"The Clay Figurines of Galegos (O figurado de Galegos>","Artists: Rosa Romalho, Rosa Cota, Maria Sineta, Rosalina Baraca, Julia Ramalho, Julia Cota, Ana Baraca. Documents art work from two parishes in Galagos, Barcelos, Portugal where local folk artists are creating clay figurines with design themes based on animals, Portuguese folklore and religious themes. 200? 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1040"">Video/C MM1040Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Concierto de Aranjuez.","Performers: Paco de Lucia, Jose M. Bandera, Juan Manuel Canizares; Orquesta de Cadaques (dirigida, Edmon Colomer). Contents: Pt. 1. Concierto de Aranjuez: Allegro con spirito, Adagio, Allegro gentile (25 min.) -- Pt. 2. Solo, Duo, Trio: Mi Nino Curro (Rondena), Zyryab, Cana de Azucar (Rumba), Cancion de amor/Alta mar (66 min.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5227"">Video/C 5227Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"El Greco, 1541-1614.","A biographical examination of El Greco which depicts his paintings of the same subject from different periods to show his development in artistic approach and style. Also reviews the historical significance of his works which so graphically illustrate the Spanish view of reality in the 16th century. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4039"">Video/C 4039Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"El Greco: Spirit of Toledo. (Portrait of an Artist; 23)","This program, filmed on location in Toledo and Venice, shows the settings familiar to El Greco--his house, the streets, churches and countryside of Toledo--and traces his beginnings as a Byzantine icon painter in Crete. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1095"">Video/C 1095Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Flamenco","Director, Carlos Saura. Popular dancers and folk groups demonstrate what is considered to be the national dance of Spain, the Flamenco. Over 300 dancers participate as they are photographed by the master cinematographer, Vittorio Storaro. Performers: Paco de Lucia, Manolo Sanlucar, Enrique Morente, Joaquin Cortes, Jose Menese, Lole y Manuel, Mario Maya, Jose Merce, Matilde Coral, Carmen Linares, Merche Esmeralda, Chocolate, Manuela Carrasco, Farruco, Fernanda de Utrera, La Paquera de Jerez, Manzanita, Ketama, Agujeta, Manuel Moneo, Paco Toronjo, Maria Pages, Aurora Vargas, Remedios Amaya, Juana la del Revuelo, La Macanita, Chano Lobato, Rancapino, Tomatito, Potito, Duquende, Belen Maya, El Grilo. 100 min. Video 999:2041","â€¢149;Ѭ href=""http://us.imdb.com/Title?0113077"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"â€¢149; Holden, Stephen. ""Flamenco."" (movie reviews) New York Times v146 (Fri, April 25, 1997):B4(N), C4(L), col 5, 10 col in.; v145 (Sat, Sept 30, 1995):15(N), 17(L), col 2, 11 col in.","â€¢149; Thom, Rose Anne.""Flamenco."" (movie reviews)Dance Magazine v71, n9 (Sept, 1997):94 (1 page).","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"Flamenco at 5:15","Shows how, for a brief interim each year, senior students at the National Ballet School of Canada meet with Susana and Antonio Robledo, flamenco dancers, teachers and choreographers, to learn flamenco dancing. Includes views of the students and their flamenco dancing as well as views of the students and their teachers dancing, alternated with segments of explanation. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3445"">Video/C 3445Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
"La España Autentica.","Film which celebrates the art treasures of Spain as revealed through architecture, sculpture and illustrated manuscripts. Contents: La Alhambra -- El Toledo de las tres culturas -- Museo Nacional de Escultura -- El tesoro bibliografico de Espana -- Los Beatos -- Biblioteca Basilica de San Isidoro Leon. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2784"">Video/C 2784Ж","Spain & Portugal: History and CultureЖ","ЖArt, Architecture, Cinema, Music, Dance"
