"Source:","http://www.lib.berkeley.edu/MRC/spanishfilm.html"
"
Spanish and Portuguese Cinema
Ж
"
"Contents:","â€¢149;Ѭ href=""#span"">Spanish CinemaЖ","â€¢149;Ѭ href=""#port"">Portuguese CinemaЖ

SEE ALSO:Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmfilm.html#Brazil"">Brazilian CinemaЖ

","Spanish and Portuguese Cinema"
"See also the following MRC Videographies:"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilm.html#spain"">War FilmsЖ (for listing of movies about the Spanish Civil War","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishculture.html"">Spanish History and Culture; Spanish/Latin American LiteratureЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmVid.html"">Latin America & the Caribbean videographyЖ","Spanish and Portuguese Cinema"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishfilmbib.html#saura"">Bibliography of articles and books about Spanish cinemaЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Bunuelbib.html"">Bibliography of articles and books on Luis BuñuelЖ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/almodovar.html"">Bibliography of articles and books on Pedro AlmodóvarЖ","Spanish and Portuguese Cinema"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/StudentFilmsVid.html#Bu%C3%B1uel"">UC Berkeley student writing on the films of Luis Buñuel (Film 51)Ж","Spanish and Portuguese Cinema"
"","Spanish and Portuguese Cinema"
"","Spanish and Portuguese Cinema"
"Los abrazos rotos (Broken Embraces) (Spain, 2009)","Directed by Pedro Almodóvar. Cast: Penélope Cruz, Lluis Homar, Blanca Portillo, José Luis Gómez, Rubén Ochandiano, Tamar Novas,Ángela Molina. Fourteen years ago, he had two names: Harry Caine, the pseudonym he used for his literary works, and Mateo Blanco, his real name which he used to direct films. But that was before the accident when he lost his sight and his beloved Lena. Now he goes by Harry Caine. If he can't direct films, he can only survive with the idea that Mateo Blanco died on Lanzarote with his Lena. When he is given the chance to tell his story, he can't refuse. Special features: Deleted scenes; Pedro directs Penélope; Variety Q&A with Penélope Cruz; ""The cannibalistic councillor"" a short film by Pedro Almodóvar; On the red carpet: the New York film festival closing night.127 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2715"">DVD X2715Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0913425/"">Credits and other information from the Internet Movie DatabaseЖ
","Spanish and Portuguese Cinema"
"â€¢149;Awards","â€¢149;Broadcast Film Critics Association Critics' Choice Awards - Best Foreign Language Film","Spanish and Portuguese Cinema"
"Abre los ojos (Open Your Eyes) (Spain / France / Italy, 1997)","Director, Alejandro Amenábar. Cast: Penelope Cruz, Chete Lera, Fele Martinez, Eduardo Noriega, Najwa Nimri. In this steamy, intriguingly complex, psychological thriller the line between reality and fantasy is hopelessly blurred. Cesar tries to make sense of his life after a car crash leaves his once-handsome face grotesquely disfigured. After he is placed into a psychiatric penitentiary for a murder he doesn't remember committing, Cesar's only hope is to delve into the depths of his subconscious mind where the answer to ending his living nightmare lies in his dreams. 117 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1076"">DVD X1076Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3507"">vhs 999:3507Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0125659/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishfilmbib.html#openyoureyes"">See separate bibliography of reviews and articles about this filmЖ","Spanish and Portuguese Cinema"
"Adorables Mentiras (Spain / Cuba, 1992)","Director, Gerardo Chijona. Cast: Isabel Santos, Luis Alberto Garcia, Mirtha Ibarra, Thais Valdes. Explores the encounter of a promising screenwriter and a woman who fantasizes about becoming the star of his next film. As the two pursue their affair, they enter into a fantasy film that in the end will never be made. In Spanish, no subtitles. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3037"">vhs 999:3037Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0103620"">Credits and other information from the Internet Movie DatabaseЖ
","Spanish and Portuguese Cinema"
