"Source:","http://www.lib.berkeley.edu/MRC/teachermovies.html"
"

Schools and Teachers in the Movies and on TV



"
"","See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/teenpix.html"">Teenpix videographyЖ","Schools and Teachers in the Movies and on TV"
"See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/teachermoviesbib.html"">Bibliography of books/articles about Teachers in the MoviesЖ","Schools and Teachers in the Movies and on TV"
"","Schools and Teachers in the Movies and on TV"
"The Absent Minded Professor(1967)","Director Robert Stevenson. Cast: Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk. A college professor accidently invents flying rubber, or ""Flubber"", an anti-gravity substance and equips his Model T and his college's basketball player's shoes with it. He tries to convince the Pentagon of its value but has problems with a local crook who wants to profit from the idea. Based on a story by Samuel W. Taylor. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2756"">DVD X2756Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0054594/"">Credits and information from the Internet Movie DatabaseЖ
","Schools and Teachers in the Movies and on TV"
"Accident (UK, 1967)","Directed by Joseph Losey. Cast: Dirk Bogarde, Stanley Baker, Jacqueline Sassard, Michael York, Vivien Merchant, Delphine Seyrig, Alexander Knox. When an accident kills one of his students, an Oxford professor recounts the circumstances of their meetings. But as these turbulent memories unfold, they reveal a series of shocking relationships betrayed by adultery, obsession and self-destruction in which nothing is what it seems and everything has its cost. Based on the novel Accident by Nicholas Mosley. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5796"">DVD 5796Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0061328/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Special Jury Prize



Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#accident"">See separate bibliography of reviews and articles about this filmЖ","Schools and Teachers in the Movies and on TV"
"The Adolescent (TV, 1954)","Directed by Roy Kellino. Cast: Ida Lupino, Robert Arthur, Hugh Sanders, Hugh Beaumont, Lewis Martin. A prep school disciplinary board member, Celia, (Ida Lupino) comes across many obstacles and threats as she seeks to uncover a troubled student's dark secret. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2330"">DVD X2330Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0581909/"">Credits and other information from the Internet Movie DatabaseЖ
","Schools and Teachers in the Movies and on TV"
"Art School Confidential(2006)","Directed by Terry Zwigoff. Cast: Max Minghella, Sophia Myles, John Malkovich, Jim Broadbent, Matt Keeslar, Ethan Suplee, Joel David Moore, Anjelica Huston, Adam Scott, Marshall Bell, Jack Ong. Jerome goes to art school in the hopes of having his genuine ability recognized. Instead he finds that his teachers are self-obsessed has-beens and his peers are jaded and floundering. To make matters worse, Jerome finds himself being investigated for a series of gruesome stranglings. He becomes obsessed with a lovely student named Audrey, but she is more interested in the hunky Jonah, whose crude yet acclaimed paintings of cars and tanks disgust Jerome. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6468"">DVD 6468Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0364955/"">Credits and other information from the Internet Movie DatabaseЖ
","Schools and Teachers in the Movies and on TV"
"Autumn Marathon (Osennii marafon) (Soviet Union, 1979)","Director, Georgi Daneliya. Cast: Oleg Basilashvili, Natalia Gundareva, Marina Neâ€¢235;lova, Evgenii Leonov, Norbert Kukhinke, Nikolai Kriuchkov, Galina Volchek. A mild-mannered college professor finds his life made difficult by hounding students, a nagging wife, a demanding mistress, and a neighbor who insists the professor jog with him each morning at dawn. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4825"">DVD X4825Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079679/"">Credits and other information from the Internet Movie DatabaseЖ
","Schools and Teachers in the Movies and on TV"
