"Source:","http://www.lib.berkeley.edu/MRC/transgressivewomen.html"
"

Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies


"
"â€¢149;Movies by Date â€¢149;Ѭ href=""#20s"">1900-1920sЖ â€¢149;Ѭ href=""#30s"">1930sЖ â€¢149;Ѭ href=""#40s"">1940sЖ â€¢149;Ѭ href=""#50s"">1950sЖ â€¢149;Ѭ href=""#60s"">1960s-1970sЖ â€¢149;Ѭ href=""#80s"">1980s-1990sЖ â€¢149;Ѭ href=""#2000"">2000 - presentЖ
â€¢149;Ѭ href=""#fallen"">Streetwalkers, Hustlers, Call Girls and Courtesans in the MoviesЖ
","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Noirfilm.html"">Film NoirЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/horror.html"">Horror FilmsЖ (for female vampires, etc.)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/cultfilms.html#prisons"">Cult Films: Caged Heat: Women in Prison Films / Women Gone WildЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/GayVid2.html#lesbians"">LGBT Films in MRCЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"1900 - 1920sЖ","Petticoat Camp(1912)","Cast: Florence LaBadie, William Garwood, the Jordan Sisters. A light-handed battle-of-the-sexes comedy portraying several married couples vacationing on an island. When the men play and the women work, the ladies rebel and move to an island of their own.Petticoat camp: A light-handed battle-of-the-sexes comedy portraying several married couples vacationing on an island. When the men play and the women work, the ladies rebel and move to an island of their own. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5863"">DVD 5863Ж","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"How Men Propose(1913)","Directed by Lois Weber. Cast: Chester Barnett, Margarita Fischer, Grace Darling, Phillips Smalley. ""How Men Propose illustrates Lois Weber's interest in male-female relationships, even in this early comic short. Structured around repetition and reversal, the comedy shows its heroine entertaining multiple marriage proposals from different suitors, each unaware of the other. If at first the humor seems to revolve around the heroine?s fickleness, those assumptions are reversed in the final scene. There we learn she is a professional journalist studying how men propose and wisely exploiting the men's willingness to be fooled by her feminine charms. By keeping viewers unaware of the heroine's motives until the end, the film challenges expectations about conventional male and female behavior."" [Ѭ href=""http://alt.tcm.turner.com/SPECIAL_THEME/00/08/silent.htm"">Women Film PioneersЖ] 6 min. ; 

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/womenbib2.html#weber"">Lois Weber bibliographyЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+645"">DVD 645Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1024"">vhs 999:1024Ж","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"A Fool There Was(1915)","Directed by Frank Powell. Cast: Edward Josâ€¢233;, Theda Bara, Mabel Frenyear, Victor Benoit. A cunning woman uses her irresistible charms to seduce and abandon a series of influential men. When one lover commits suicide on the deck of a luxury liner, she merely turns her gaze to another passenger, and leads him down a path to moral degradation and public scorn. Based on the play ""A fool there was"" by Porter Emerson Browne, and the poem ""The vampire"" by Rudyard Kipling. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4964"">DVD 4964Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0005339/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Staiger, Janet. ""The Vamp."" In: Bad women : regulating sexuality in early American cinema / Janet Staiger. Minneapolis : University of Minnesota Press, 1995. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10159501"">Full text available onlineЖ [UCB users only]; Print: Main and Moffitt PN1995.9.W6 S73 1995)

","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Joan The Woman (1917)","Directed by Cecil B. DeMille. For various film versions of the life of Joan of Arc, SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/biopic.html"">BiopicsЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
