"Source:","http://www.lib.berkeley.edu/MRC/transportation.html"
"

Transportation Studies

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvidesignVid.html"">Environmental DesignЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvironmentVid.html"">The Environment & Natural ResourcesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html#commer"">Television: CommercialsЖ (for car commercials/advertising)","Transportation Studies"
"
","Transportation Studies"
"Adfolio CD: Automotive","Searchable database of collections of award winning ads by theme and business sector. This disc contains a selection of 28 advertisements for automobiles produced in a variety of countries. 2000. Compu/D 550","Transportation Studies"
"Air Transport: New Rights for People with Reduced Mobility","As the Summer holidays approach a new European regulation will guarantee more rights for both the disabled and people with reduced mobility when they travel by air. Nearly one in five Europeans can require assistance for travelling or communicating. From July 2008, these people will have the right to assistance and certain services in all European Union airports, as well as on board aircraft operating throughout European territory. Luxembourg : Office for Official Publications of the European Communities, c2008. 5 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1274"">DVD X1274Ж","Transportation Studies"
"America on the Road (A Walk Through the 20th Century with Bill Moyers).","A history of the automobile and its profound effects on American society. 1984. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+805"">Video/C 805Ж","Transportation Studies"
"The American Urban Experience.","Traces the history of the American vision of what the city has been and could become, from the original intentions of George Washington for the nations capital to current urban renewal projects. Demonstrates the manner in which changing technology, especially in production and transportation, has influenced the evolving form of the city and shows how American commitment to community is expressed in our metropolitan areas. Part of the ""Understanding cities"" series. 1983. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2593"">Video/C 2593Ж","Transportation Studies"
"At Home in My Street","Examines home zones in the Netherlands and Germany. Home zones are a street or group of streets where pedestrians and cyclists have priority, and cars travel at little more than walking pace. Examines such questions as: What do neighborhood residents think of home zones? What does a home zone look like? How can successful home zones be created? 1999. 23 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7067"">Video/C 7067Ж","Transportation Studies"
"Athens Subway","Part public works project, part archeological excavation, the modernization of Athens' subway was a monstrous undertaking. Project engineers and archaeologists discuss the difficult balance between progress and preservation and how engineers had to resort to ingenious methods of building and tunneling so as not to harm Athens' ancient treasures. Produced & directed by Stan Williams. 2004. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM935"">Video/C MM935Ж","Transportation Studies"
"Autobiography of a Jeep(1943)","Directed by Irving Lerner for the U.S. Army Signal Corps. ""This is a charmingly lighthearted look at that most ""all-American"" of vehicles-the jeep. The film is actually a celebration of our national love affair with the automobile, transferred here to a remarkable little machine that would become a symbol of America's presence around the world - with lots of plugs for Detroit. When The Autobiography of a Jeep was shown to newly-liberated French audiences, they were said to have shouted; ""Vive le Jip! Vive le Jip!"" [from Ѭ href=""http://www.unclesam-movies.com/html/usm02.html#un06"">Uncle Sam Movie CollectionЖ] ; also on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+363"">DVD 363Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+363"">DVD 363Ж","Transportation Studies"
"Automobile Advertising of the 60's","Ads: Volkswagen (4 adds), Vespa (2), Comet (1), Ford trucks (2), Volvo (2), Chrysler (2), Pontiac (1), Chevrolet (3), Buick (2), Fury (1), Ford cars (3), Oldsmobile (2), Dodge trucks (3), Plymouth (2), Rambler Marlin (1), Honda motorcycles (2), Sprite (1), Falcon (2), Impala (2), Karmann Ghia (1), Thunderbird. 199?. 47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6481"">Video/C 6481Ж","Transportation Studies"
"Automobile Advertising of the 70's","Ads: American Motors Pacer (4 adds), Chevrolet (3), Saab (4), Fiat (3), Capri (1), Volkswagen (4), Toyota (5), Triumph (5), Volvo (2), Ford (2), MG (1), Dodge (3), Plymouth (4), Chrysler (3), Honda (1), Jeep (1), Pontiac (3). 199?. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6482"">Video/C 6482Ж","Transportation Studies"
