film,person,topic
A Dry White Season,,African Cinema and African Cinematic Representation
A Life Apart,Menachem Daum;Oren Rudavsky,Jewish Studies
A Soldier's Story,Norman Jewison,African Americans in Film
A. Philip Randolph: For Jobs & Freedom,,African American Studies
Adaptation,Nicolas Cage;Spike Jonze,
Africans in America,,African American Studies
"Afrique, Je te Plumerai",,African Cinema and African Cinematic Representation
After Hours,Martin Scorsese,
Age of Innocence,Martin Scorsese,
Aimee & Jaguar,Max Färberböck,Jews in Film and TV
Ali,Michael Mann,African Americans in Film
Alice Doesn't Live Here Any More,Martin Scorsese,
Alice in Wonderland,Lewis Carroll,Literature and Theater
Allah Tantou,,African Cinema and African Cinematic Representation
America and the Holocaust: Deceit and Indifference,Martin Ostrow,Jewish Studies
America's War on Poverty,,African American Studies
An American Love Story,,African American Studies
Angry Harvest,Agnieszka Holland,Jews in Film and TV
Anne Frank Remembered,Jon Blair;Anne Frank,Jewish Studies
Annie,John Huston,
Arguing the World,Joseph Dorman,Jewish Studies
Attack!,Robert Aldrich,
"Au Revoir, les Enfants",Louis Malle,Jews in Film and TV
Avalon,Barry Levinson,Jews in Film and TV
Baby Boy,John Singleton,African Americans in Film
Battle of San Pietro,John Huston,
Being John Malkovich,Spike Jonze,
Berkeley in the 60s,,African American Studies
Billy Jack,Tom Laughlin,Native Americans in the Movies
Black Book,Paul Verhoeven,Jews in Film and TV
Black Girl,Ousmane Sembène,African Cinema and African Cinematic Representation
Black Robe,Bruce Beresford,Native Americans in the Movies
Blacula,John Singleton,African Americans in Film
Blue Velvet,David Lynch,
Border Incident,Anthony Mann,
Borderline,Kenneth MacPherson;Paul Robeson,African Americans in Film
Borom Sarat,Ousmane Sembène,African Cinema and African Cinematic Representation
Boyz in the Hood,John Singleton,African Americans in Film
Bride and Prejudice,Jane Austen;Gurinder Chadha,Literature and Theater
Bringing Out the Dead,Martin Scorsese,
Broken Arrow,Delmer Daves,Native Americans in the Movies
Broken Flowers,Jim Jarmusch,
Brother From Another Plant,John Sayles,African Americans in Film
Camp de Thiaroye,Ousmane Sembène,African Cinema and African Cinematic Representation
Cape Fear,Martin Scorsese,
Casino,Martin Scorsese,
Ceddo,Ousmane Sembène,African Cinema and African Cinematic Representation
Cheyenne Autumn,John Ford,
